"Program","Year","Schedule","Period","Relatedness-Type","Relatedness-Level","Relatedness-N"
"THE",2012,"FT",24,"U",3,18
"THE",2012,"FT",24,"U",1,16
"THE",2012,"FT",24,"K",3,24
"VME",2012,"FT",24,"U",3,34
"VME",2012,"FT",24,"K",3,35
"ABS",2012,"PT",6,"U",3,46
"ABS",2012,"PT",6,"U",2,68
"ABS",2012,"PT",6,"U",1,154
"ABS",2012,"PT",6,"K",3,64
"ABS",2012,"PT",6,"K",2,79
"ABS",2012,"PT",6,"K",1,124
"BCO",2012,"PT",6,"U",3,27
"BCO",2012,"PT",6,"U",2,65
"BCO",2012,"PT",6,"U",1,112
"BCO",2012,"PT",6,"K",3,32
"BCO",2012,"PT",6,"K",2,74
"BCO",2012,"PT",6,"K",1,97
"CSC",2012,"PT",6,"U",3,13
"CSC",2012,"PT",6,"K",3,13
"EDU",2012,"PT",6,"U",3,328
"EDU",2012,"PT",6,"U",2,146
"EDU",2012,"PT",6,"U",1,163
"EDU",2012,"PT",6,"K",3,328
"EDU",2012,"PT",6,"K",2,162
"EDU",2012,"PT",6,"K",1,147
"ENG",2012,"PT",6,"U",3,23
"ENG",2012,"PT",6,"U",2,22
"ENG",2012,"PT",6,"U",1,27
"ENG",2012,"PT",6,"K",3,28
"ENG",2012,"PT",6,"K",2,18
"ENG",2012,"PT",6,"K",1,26
"FAA",2012,"PT",6,"U",3,77
"FAA",2012,"PT",6,"U",2,51
"FAA",2012,"PT",6,"U",1,108
"FAA",2012,"PT",6,"K",3,72
"FAA",2012,"PT",6,"K",2,85
"FAA",2012,"PT",6,"K",1,77
"FSN",2012,"PT",6,"U",3,29
"FSN",2012,"PT",6,"U",2,15
"FSN",2012,"PT",6,"U",1,29
"FSN",2012,"PT",6,"K",3,25
"FSN",2012,"PT",6,"K",2,24
"FSN",2012,"PT",6,"K",1,23
"HPR",2012,"PT",6,"U",3,25
"HPR",2012,"PT",6,"U",2,21
"HPR",2012,"PT",6,"U",1,48
"HPR",2012,"PT",6,"K",3,32
"HPR",2012,"PT",6,"K",2,31
"HPR",2012,"PT",6,"K",1,30
"HUM",2012,"PT",6,"U",3,120
"HUM",2012,"PT",6,"U",2,120
"HUM",2012,"PT",6,"U",1,378
"HUM",2012,"PT",6,"K",3,156
"HUM",2012,"PT",6,"K",2,183
"HUM",2012,"PT",6,"K",1,279
"KRP",2012,"PT",6,"U",3,52
"KRP",2012,"PT",6,"U",2,35
"KRP",2012,"PT",6,"U",1,81
"KRP",2012,"PT",6,"K",3,48
"KRP",2012,"PT",6,"K",2,55
"KRP",2012,"PT",6,"K",1,63
"LAW",2012,"PT",6,"U",1,10
"MAT",2012,"PT",6,"U",3,23
"MAT",2012,"PT",6,"U",2,11
"MAT",2012,"PT",6,"U",1,24
"MAT",2012,"PT",6,"K",3,22
"MAT",2012,"PT",6,"K",2,18
"MAT",2012,"PT",6,"K",1,19
"NUR",2012,"PT",6,"U",3,104
"NUR",2012,"PT",6,"U",2,15
"NUR",2012,"PT",6,"U",1,15
"NUR",2012,"PT",6,"K",3,98
"NUR",2012,"PT",6,"K",2,25
"NUR",2012,"PT",6,"K",1,11
"OAS",2012,"PT",6,"U",3,35
"OAS",2012,"PT",6,"U",2,39
"OAS",2012,"PT",6,"U",1,97
"OAS",2012,"PT",6,"K",3,40
"OAS",2012,"PT",6,"K",2,58
"OAS",2012,"PT",6,"K",1,73
"PHA",2012,"PT",6,"K",3,11
"PSC",2012,"PT",6,"U",3,18
"PSC",2012,"PT",6,"U",1,26
"PSC",2012,"PT",6,"K",3,18
"PSC",2012,"PT",6,"K",2,10
"PSC",2012,"PT",6,"K",1,21
"SSC",2012,"PT",6,"U",3,277
"SSC",2012,"PT",6,"U",2,286
"SSC",2012,"PT",6,"U",1,679
"SSC",2012,"PT",6,"K",3,308
"SSC",2012,"PT",6,"K",2,418
"SSC",2012,"PT",6,"K",1,514
"ABS",2012,"PT",24,"U",3,54
"ABS",2012,"PT",24,"U",2,71
"ABS",2012,"PT",24,"U",1,124
"ABS",2012,"PT",24,"K",3,67
"ABS",2012,"PT",24,"K",2,80
"ABS",2012,"PT",24,"K",1,99
"BCO",2012,"PT",24,"U",3,32
"BCO",2012,"PT",24,"U",2,43
"BCO",2012,"PT",24,"U",1,47
"BCO",2012,"PT",24,"K",3,33
"BCO",2012,"PT",24,"K",2,54
"BCO",2012,"PT",24,"K",1,34
"CSC",2012,"PT",24,"K",3,10
"EDU",2012,"PT",24,"U",3,340
"EDU",2012,"PT",24,"U",2,88
"EDU",2012,"PT",24,"U",1,68
"EDU",2012,"PT",24,"K",3,347
"EDU",2012,"PT",24,"K",2,102
"EDU",2012,"PT",24,"K",1,47
"ENG",2012,"PT",24,"U",3,23
"ENG",2012,"PT",24,"U",2,16
"ENG",2012,"PT",24,"U",1,26
"ENG",2012,"PT",24,"K",3,31
"ENG",2012,"PT",24,"K",2,17
"ENG",2012,"PT",24,"K",1,17
"FAA",2012,"PT",24,"U",3,79
"FAA",2012,"PT",24,"U",2,67
"FAA",2012,"PT",24,"U",1,104
"FAA",2012,"PT",24,"K",3,91
"FAA",2012,"PT",24,"K",2,75
"FAA",2012,"PT",24,"K",1,84
"FSN",2012,"PT",24,"U",3,25
"FSN",2012,"PT",24,"U",2,13
"FSN",2012,"PT",24,"U",1,20
"FSN",2012,"PT",24,"K",3,29
"FSN",2012,"PT",24,"K",2,12
"FSN",2012,"PT",24,"K",1,18
"HPR",2012,"PT",24,"U",3,34
"HPR",2012,"PT",24,"U",2,29
"HPR",2012,"PT",24,"U",1,36
"HPR",2012,"PT",24,"K",3,49
"HPR",2012,"PT",24,"K",2,30
"HPR",2012,"PT",24,"K",1,20
"HUM",2012,"PT",24,"U",3,144
"HUM",2012,"PT",24,"U",2,141
"HUM",2012,"PT",24,"U",1,282
"HUM",2012,"PT",24,"K",3,189
"HUM",2012,"PT",24,"K",2,185
"HUM",2012,"PT",24,"K",1,192
"KRP",2012,"PT",24,"U",3,56
"KRP",2012,"PT",24,"U",2,54
"KRP",2012,"PT",24,"U",1,48
"KRP",2012,"PT",24,"K",3,66
"KRP",2012,"PT",24,"K",2,57
"KRP",2012,"PT",24,"K",1,35
"LAW",2012,"PT",24,"U",3,10
"LAW",2012,"PT",24,"U",1,14
"LAW",2012,"PT",24,"K",2,14
"LAW",2012,"PT",24,"K",1,10
"MAT",2012,"PT",24,"U",3,25
"MAT",2012,"PT",24,"U",2,10
"MAT",2012,"PT",24,"U",1,11
"MAT",2012,"PT",24,"K",3,22
"MAT",2012,"PT",24,"K",2,15
"NUR",2012,"PT",24,"U",3,112
"NUR",2012,"PT",24,"U",2,20
"NUR",2012,"PT",24,"K",3,111
"NUR",2012,"PT",24,"K",2,23
"OAS",2012,"PT",24,"U",3,38
"OAS",2012,"PT",24,"U",2,36
"OAS",2012,"PT",24,"U",1,88
"OAS",2012,"PT",24,"K",3,47
"OAS",2012,"PT",24,"K",2,53
"OAS",2012,"PT",24,"K",1,62
"PHA",2012,"PT",24,"U",3,10
"PHA",2012,"PT",24,"K",3,11
"PSC",2012,"PT",24,"U",3,22
"PSC",2012,"PT",24,"U",2,11
"PSC",2012,"PT",24,"U",1,26
"PSC",2012,"PT",24,"K",3,24
"PSC",2012,"PT",24,"K",2,17
"PSC",2012,"PT",24,"K",1,18
"SSC",2012,"PT",24,"U",3,267
"SSC",2012,"PT",24,"U",2,269
"SSC",2012,"PT",24,"U",1,467
"SSC",2012,"PT",24,"K",3,344
"SSC",2012,"PT",24,"K",2,355
"SSC",2012,"PT",24,"K",1,302
"ABS",2011,"FT",6,"U",3,163
"ABS",2011,"FT",6,"U",2,169
"ABS",2011,"FT",6,"U",1,204
"ABS",2011,"FT",6,"K",3,209
"ABS",2011,"FT",6,"K",2,190
"ABS",2011,"FT",6,"K",1,137
"ALA",2011,"FT",6,"U",3,41
"ALA",2011,"FT",6,"K",3,41
"ALA",2011,"FT",6,"K",2,11
"BCO",2011,"FT",6,"U",3,1191
"BCO",2011,"FT",6,"U",2,787
"BCO",2011,"FT",6,"U",1,294
"BCO",2011,"FT",6,"K",3,1237
"BCO",2011,"FT",6,"K",2,848
"BCO",2011,"FT",6,"K",1,187
"CSC",2011,"FT",6,"U",3,186
"CSC",2011,"FT",6,"U",2,81
"CSC",2011,"FT",6,"U",1,14
"CSC",2011,"FT",6,"K",3,196
"CSC",2011,"FT",6,"K",2,74
"CSC",2011,"FT",6,"K",1,11
"DEN",2011,"FT",6,"U",3,29
"DEN",2011,"FT",6,"K",3,31
"EDU",2011,"FT",6,"U",3,1012
"EDU",2011,"FT",6,"U",2,292
"EDU",2011,"FT",6,"U",1,327
"EDU",2011,"FT",6,"K",3,1011
"EDU",2011,"FT",6,"K",2,386
"EDU",2011,"FT",6,"K",1,232
"ENG",2011,"FT",6,"U",3,618
"ENG",2011,"FT",6,"U",2,460
"ENG",2011,"FT",6,"U",1,167
"ENG",2011,"FT",6,"K",3,768
"ENG",2011,"FT",6,"K",2,400
"ENG",2011,"FT",6,"K",1,76
"FAA",2011,"FT",6,"U",3,190
"FAA",2011,"FT",6,"U",2,119
"FAA",2011,"FT",6,"U",1,186
"FAA",2011,"FT",6,"K",3,201
"FAA",2011,"FT",6,"K",2,175
"FAA",2011,"FT",6,"K",1,119
"FSN",2011,"FT",6,"U",3,46
"FSN",2011,"FT",6,"U",2,29
"FSN",2011,"FT",6,"U",1,25
"FSN",2011,"FT",6,"K",3,48
"FSN",2011,"FT",6,"K",2,32
"FSN",2011,"FT",6,"K",1,20
"FOR",2011,"FT",6,"U",3,10
"HPR",2011,"FT",6,"U",3,194
"HPR",2011,"FT",6,"U",2,61
"HPR",2011,"FT",6,"U",1,52
"HPR",2011,"FT",6,"K",3,190
"HPR",2011,"FT",6,"K",2,77
"HPR",2011,"FT",6,"K",1,40
"HUM",2011,"FT",6,"U",3,249
"HUM",2011,"FT",6,"U",2,284
"HUM",2011,"FT",6,"U",1,672
"HUM",2011,"FT",6,"K",3,310
"HUM",2011,"FT",6,"K",2,475
"HUM",2011,"FT",6,"K",1,416
"JOU",2011,"FT",6,"U",3,31
"JOU",2011,"FT",6,"U",2,10
"JOU",2011,"FT",6,"U",1,19
"JOU",2011,"FT",6,"K",3,35
"JOU",2011,"FT",6,"K",2,17
"KRP",2011,"FT",6,"U",3,162
"KRP",2011,"FT",6,"U",2,115
"KRP",2011,"FT",6,"U",1,122
"KRP",2011,"FT",6,"K",3,156
"KRP",2011,"FT",6,"K",2,150
"KRP",2011,"FT",6,"K",1,96
"LAW",2011,"FT",6,"U",3,335
"LAW",2011,"FT",6,"U",2,42
"LAW",2011,"FT",6,"U",1,24
"LAW",2011,"FT",6,"K",3,320
"LAW",2011,"FT",6,"K",2,67
"LAW",2011,"FT",6,"K",1,14
"MAT",2011,"FT",6,"U",3,96
"MAT",2011,"FT",6,"U",2,78
"MAT",2011,"FT",6,"U",1,46
"MAT",2011,"FT",6,"K",3,101
"MAT",2011,"FT",6,"K",2,97
"MAT",2011,"FT",6,"K",1,22
"MED",2011,"FT",6,"U",3,170
"MED",2011,"FT",6,"K",3,166
"MED",2011,"FT",6,"K",2,12
"NUR",2011,"FT",6,"U",3,768
"NUR",2011,"FT",6,"U",2,72
"NUR",2011,"FT",6,"U",1,19
"NUR",2011,"FT",6,"K",3,762
"NUR",2011,"FT",6,"K",2,80
"NUR",2011,"FT",6,"K",1,17
"OPT",2011,"FT",6,"U",3,26
"OPT",2011,"FT",6,"K",3,25
"OAS",2011,"FT",6,"U",3,98
"OAS",2011,"FT",6,"U",2,131
"OAS",2011,"FT",6,"U",1,248
"OAS",2011,"FT",6,"K",3,129
"OAS",2011,"FT",6,"K",2,195
"OAS",2011,"FT",6,"K",1,154
"PHA",2011,"FT",6,"U",3,119
"PHA",2011,"FT",6,"K",3,110
"PHA",2011,"FT",6,"K",2,17
"PSC",2011,"FT",6,"U",3,91
"PSC",2011,"FT",6,"U",2,28
"PSC",2011,"FT",6,"U",1,42
"PSC",2011,"FT",6,"K",3,99
"PSC",2011,"FT",6,"K",2,36
"PSC",2011,"FT",6,"K",1,26
"SSC",2011,"FT",6,"U",3,710
"SSC",2011,"FT",6,"U",2,792
"SSC",2011,"FT",6,"U",1,1301
"SSC",2011,"FT",6,"K",3,896
"SSC",2011,"FT",6,"K",2,1084
"SSC",2011,"FT",6,"K",1,820
"THE",2011,"FT",6,"U",3,19
"THE",2011,"FT",6,"K",3,17
"VME",2011,"FT",6,"U",3,41
"VME",2011,"FT",6,"K",3,39
"ABS",2011,"FT",24,"U",3,232
"ABS",2011,"FT",24,"U",2,189
"ABS",2011,"FT",24,"U",1,175
"ABS",2011,"FT",24,"K",3,324
"ABS",2011,"FT",24,"K",2,190
"ABS",2011,"FT",24,"K",1,83
"ALA",2011,"FT",24,"U",3,35
"ALA",2011,"FT",24,"U",2,11
"ALA",2011,"FT",24,"K",3,36
"ALA",2011,"FT",24,"K",2,12
"BCO",2011,"FT",24,"U",3,1470
"BCO",2011,"FT",24,"U",2,876
"BCO",2011,"FT",24,"U",1,248
"BCO",2011,"FT",24,"K",3,1539
"BCO",2011,"FT",24,"K",2,912
"BCO",2011,"FT",24,"K",1,144
"CSC",2011,"FT",24,"U",3,215
"CSC",2011,"FT",24,"U",2,80
"CSC",2011,"FT",24,"U",1,19
"CSC",2011,"FT",24,"K",3,219
"CSC",2011,"FT",24,"K",2,82
"CSC",2011,"FT",24,"K",1,13
"DEN",2011,"FT",24,"U",3,33
"DEN",2011,"FT",24,"K",3,33
"EDU",2011,"FT",24,"U",3,1436
"EDU",2011,"FT",24,"U",2,299
"EDU",2011,"FT",24,"U",1,259
"EDU",2011,"FT",24,"K",3,1443
"EDU",2011,"FT",24,"K",2,396
"EDU",2011,"FT",24,"K",1,154
"ENG",2011,"FT",24,"U",3,749
"ENG",2011,"FT",24,"U",2,541
"ENG",2011,"FT",24,"U",1,147
"ENG",2011,"FT",24,"K",3,943
"ENG",2011,"FT",24,"K",2,448
"ENG",2011,"FT",24,"K",1,47
"FAA",2011,"FT",24,"U",3,251
"FAA",2011,"FT",24,"U",2,157
"FAA",2011,"FT",24,"U",1,194
"FAA",2011,"FT",24,"K",3,283
"FAA",2011,"FT",24,"K",2,208
"FAA",2011,"FT",24,"K",1,113
"FSN",2011,"FT",24,"U",3,92
"FSN",2011,"FT",24,"U",2,36
"FSN",2011,"FT",24,"U",1,32
"FSN",2011,"FT",24,"K",3,97
"FSN",2011,"FT",24,"K",2,40
"FSN",2011,"FT",24,"K",1,23
"HPR",2011,"FT",24,"U",3,226
"HPR",2011,"FT",24,"U",2,70
"HPR",2011,"FT",24,"U",1,57
"HPR",2011,"FT",24,"K",3,240
"HPR",2011,"FT",24,"K",2,80
"HPR",2011,"FT",24,"K",1,33
"HUM",2011,"FT",24,"U",3,428
"HUM",2011,"FT",24,"U",2,447
"HUM",2011,"FT",24,"U",1,701
"HUM",2011,"FT",24,"K",3,628
"HUM",2011,"FT",24,"K",2,598
"HUM",2011,"FT",24,"K",1,347
"JOU",2011,"FT",24,"U",3,39
"JOU",2011,"FT",24,"U",2,23
"JOU",2011,"FT",24,"K",3,44
"JOU",2011,"FT",24,"K",2,23
"KRP",2011,"FT",24,"U",3,178
"KRP",2011,"FT",24,"U",2,148
"KRP",2011,"FT",24,"U",1,127
"KRP",2011,"FT",24,"K",3,221
"KRP",2011,"FT",24,"K",2,169
"KRP",2011,"FT",24,"K",1,64
"LAW",2011,"FT",24,"U",3,346
"LAW",2011,"FT",24,"U",2,59
"LAW",2011,"FT",24,"U",1,26
"LAW",2011,"FT",24,"K",3,344
"LAW",2011,"FT",24,"K",2,78
"MAT",2011,"FT",24,"U",3,130
"MAT",2011,"FT",24,"U",2,96
"MAT",2011,"FT",24,"U",1,39
"MAT",2011,"FT",24,"K",3,155
"MAT",2011,"FT",24,"K",2,96
"MAT",2011,"FT",24,"K",1,14
"MED",2011,"FT",24,"U",3,167
"MED",2011,"FT",24,"U",2,10
"MED",2011,"FT",24,"K",3,165
"MED",2011,"FT",24,"K",2,16
"NUR",2011,"FT",24,"U",3,840
"NUR",2011,"FT",24,"U",2,88
"NUR",2011,"FT",24,"U",1,12
"NUR",2011,"FT",24,"K",3,837
"NUR",2011,"FT",24,"K",2,94
"NUR",2011,"FT",24,"K",1,10
"OPT",2011,"FT",24,"U",3,29
"OPT",2011,"FT",24,"K",3,28
"OAS",2011,"FT",24,"U",3,153
"OAS",2011,"FT",24,"U",2,172
"OAS",2011,"FT",24,"U",1,214
"OAS",2011,"FT",24,"K",3,200
"OAS",2011,"FT",24,"K",2,219
"OAS",2011,"FT",24,"K",1,122
"PHA",2011,"FT",24,"U",3,123
"PHA",2011,"FT",24,"K",3,116
"PHA",2011,"FT",24,"K",2,14
"PSC",2011,"FT",24,"U",3,89
"PSC",2011,"FT",24,"U",2,45
"PSC",2011,"FT",24,"U",1,45
"PSC",2011,"FT",24,"K",3,105
"PSC",2011,"FT",24,"K",2,52
"PSC",2011,"FT",24,"K",1,21
"SSC",2011,"FT",24,"U",3,1045
"SSC",2011,"FT",24,"U",2,1084
"SSC",2011,"FT",24,"U",1,1261
"SSC",2011,"FT",24,"U",0,11
"SSC",2011,"FT",24,"K",3,1405
"SSC",2011,"FT",24,"K",2,1345
"SSC",2011,"FT",24,"K",1,644
"THE",2011,"FT",24,"U",3,21
"THE",2011,"FT",24,"U",1,10
"THE",2011,"FT",24,"K",3,22
"THE",2011,"FT",24,"K",2,11
"VME",2011,"FT",24,"U",3,39
"VME",2011,"FT",24,"K",3,37
"ABS",2011,"PT",6,"U",3,34
"ABS",2011,"PT",6,"U",2,40
"ABS",2011,"PT",6,"U",1,116
"ABS",2011,"PT",6,"K",3,47
"ABS",2011,"PT",6,"K",2,50
"ABS",2011,"PT",6,"K",1,93
"BCO",2011,"PT",6,"U",3,32
"BCO",2011,"PT",6,"U",2,91
"BCO",2011,"PT",6,"U",1,87
"BCO",2011,"PT",6,"K",3,39
"BCO",2011,"PT",6,"K",2,88
"BCO",2011,"PT",6,"K",1,81
"EDU",2011,"PT",6,"U",3,330
"EDU",2011,"PT",6,"U",2,116
"EDU",2011,"PT",6,"U",1,133
"EDU",2011,"PT",6,"K",3,309
"EDU",2011,"PT",6,"K",2,168
"EDU",2011,"PT",6,"K",1,102
"ENG",2011,"PT",6,"U",3,30
"ENG",2011,"PT",6,"U",2,15
"ENG",2011,"PT",6,"U",1,28
"ENG",2011,"PT",6,"K",3,33
"ENG",2011,"PT",6,"K",2,21
"ENG",2011,"PT",6,"K",1,19
"FAA",2011,"PT",6,"U",3,65
"FAA",2011,"PT",6,"U",2,53
"FAA",2011,"PT",6,"U",1,98
"FAA",2011,"PT",6,"K",3,61
"FAA",2011,"PT",6,"K",2,78
"FAA",2011,"PT",6,"K",1,78
"FSN",2011,"PT",6,"U",3,16
"FSN",2011,"PT",6,"U",2,13
"FSN",2011,"PT",6,"U",1,19
"FSN",2011,"PT",6,"K",3,14
"FSN",2011,"PT",6,"K",2,18
"FSN",2011,"PT",6,"K",1,16
"HPR",2011,"PT",6,"U",3,35
"HPR",2011,"PT",6,"U",2,19
"HPR",2011,"PT",6,"U",1,33
"HPR",2011,"PT",6,"K",3,33
"HPR",2011,"PT",6,"K",2,25
"HPR",2011,"PT",6,"K",1,30
"HUM",2011,"PT",6,"U",3,117
"HUM",2011,"PT",6,"U",2,83
"HUM",2011,"PT",6,"U",1,340
"HUM",2011,"PT",6,"K",3,138
"HUM",2011,"PT",6,"K",2,166
"HUM",2011,"PT",6,"K",1,233
"KRP",2011,"PT",6,"U",3,53
"KRP",2011,"PT",6,"U",2,42
"KRP",2011,"PT",6,"U",1,59
"KRP",2011,"PT",6,"K",3,46
"KRP",2011,"PT",6,"K",2,53
"KRP",2011,"PT",6,"K",1,54
"LAW",2011,"PT",6,"U",3,12
"LAW",2011,"PT",6,"U",1,13
"LAW",2011,"PT",6,"K",3,12
"LAW",2011,"PT",6,"K",1,10
"MAT",2011,"PT",6,"U",3,10
"MAT",2011,"PT",6,"U",2,10
"MAT",2011,"PT",6,"K",3,12
"NUR",2011,"PT",6,"U",3,91
"NUR",2011,"PT",6,"U",2,22
"NUR",2011,"PT",6,"U",1,13
"NUR",2011,"PT",6,"K",3,85
"NUR",2011,"PT",6,"K",2,30
"NUR",2011,"PT",6,"K",1,11
"OAS",2011,"PT",6,"U",3,18
"OAS",2011,"PT",6,"U",2,44
"OAS",2011,"PT",6,"U",1,81
"OAS",2011,"PT",6,"K",3,23
"OAS",2011,"PT",6,"K",2,54
"OAS",2011,"PT",6,"K",1,66
"PSC",2011,"PT",6,"U",3,19
"PSC",2011,"PT",6,"U",1,22
"PSC",2011,"PT",6,"K",3,18
"PSC",2011,"PT",6,"K",2,12
"PSC",2011,"PT",6,"K",1,19
"SSC",2011,"PT",6,"U",3,168
"SSC",2011,"PT",6,"U",2,240
"SSC",2011,"PT",6,"U",1,541
"SSC",2011,"PT",6,"K",3,191
"SSC",2011,"PT",6,"K",2,318
"SSC",2011,"PT",6,"K",1,440
"ABS",2011,"PT",24,"U",3,37
"ABS",2011,"PT",24,"U",2,54
"ABS",2011,"PT",24,"U",1,95
"ABS",2011,"PT",24,"K",3,63
"ABS",2011,"PT",24,"K",2,57
"ABS",2011,"PT",24,"K",1,66
"ALA",2011,"PT",24,"U",3,11
"ALA",2011,"PT",24,"K",3,11
"BCO",2011,"PT",24,"U",3,25
"BCO",2011,"PT",24,"U",2,49
"BCO",2011,"PT",24,"U",1,50
"BCO",2011,"PT",24,"K",3,34
"BCO",2011,"PT",24,"K",2,57
"BCO",2011,"PT",24,"K",1,34
"EDU",2011,"PT",24,"U",3,314
"EDU",2011,"PT",24,"U",2,97
"EDU",2011,"PT",24,"U",1,79
"EDU",2011,"PT",24,"K",3,315
"EDU",2011,"PT",24,"K",2,125
"EDU",2011,"PT",24,"K",1,50
"ENG",2011,"PT",24,"U",3,29
"ENG",2011,"PT",24,"U",2,13
"ENG",2011,"PT",24,"U",1,21
"ENG",2011,"PT",24,"K",3,35
"ENG",2011,"PT",24,"K",2,16
"ENG",2011,"PT",24,"K",1,13
"FAA",2011,"PT",24,"U",3,78
"FAA",2011,"PT",24,"U",2,47
"FAA",2011,"PT",24,"U",1,81
"FAA",2011,"PT",24,"K",3,72
"FAA",2011,"PT",24,"K",2,72
"FAA",2011,"PT",24,"K",1,61
"FSN",2011,"PT",24,"U",3,20
"FSN",2011,"PT",24,"U",2,11
"FSN",2011,"PT",24,"U",1,12
"FSN",2011,"PT",24,"K",3,21
"FSN",2011,"PT",24,"K",2,10
"FSN",2011,"PT",24,"K",1,12
"HPR",2011,"PT",24,"U",3,35
"HPR",2011,"PT",24,"U",2,25
"HPR",2011,"PT",24,"U",1,20
"HPR",2011,"PT",24,"K",3,42
"HPR",2011,"PT",24,"K",2,18
"HPR",2011,"PT",24,"K",1,20
"HUM",2011,"PT",24,"U",3,125
"HUM",2011,"PT",24,"U",2,105
"HUM",2011,"PT",24,"U",1,250
"HUM",2011,"PT",24,"K",3,166
"HUM",2011,"PT",24,"K",2,143
"HUM",2011,"PT",24,"K",1,174
"KRP",2011,"PT",24,"U",3,50
"KRP",2011,"PT",24,"U",2,54
"KRP",2011,"PT",24,"U",1,54
"KRP",2011,"PT",24,"K",3,59
"KRP",2011,"PT",24,"K",2,59
"KRP",2011,"PT",24,"K",1,38
"LAW",2011,"PT",24,"U",3,15
"LAW",2011,"PT",24,"K",3,14
"MAT",2011,"PT",24,"U",3,16
"MAT",2011,"PT",24,"K",3,15
"MAT",2011,"PT",24,"K",2,10
"NUR",2011,"PT",24,"U",3,106
"NUR",2011,"PT",24,"U",2,17
"NUR",2011,"PT",24,"K",3,102
"NUR",2011,"PT",24,"K",2,21
"OAS",2011,"PT",24,"U",3,24
"OAS",2011,"PT",24,"U",2,42
"OAS",2011,"PT",24,"U",1,76
"OAS",2011,"PT",24,"K",3,27
"OAS",2011,"PT",24,"K",2,54
"OAS",2011,"PT",24,"K",1,60
"PSC",2011,"PT",24,"U",3,21
"PSC",2011,"PT",24,"U",1,16
"PSC",2011,"PT",24,"K",3,18
"PSC",2011,"PT",24,"K",2,13
"PSC",2011,"PT",24,"K",1,11
"SSC",2011,"PT",24,"U",3,216
"SSC",2011,"PT",24,"U",2,241
"SSC",2011,"PT",24,"U",1,407
"SSC",2011,"PT",24,"K",3,263
"SSC",2011,"PT",24,"K",2,302
"SSC",2011,"PT",24,"K",1,296
