"Program","Year","Schedule","Period","Relatedness-Type","Relatedness-Level","Relatedness-N"
"BCO",2013,"FT",24,"U",3,1936
"BCO",2013,"FT",24,"U",2,1235
"BCO",2013,"FT",24,"U",1,386
"BCO",2013,"FT",24,"K",3,2045
"BCO",2013,"FT",24,"K",2,1286
"BCO",2013,"FT",24,"K",1,231
"CSC",2013,"FT",24,"U",3,308
"CSC",2013,"FT",24,"U",2,111
"CSC",2013,"FT",24,"U",1,24
"CSC",2013,"FT",24,"K",3,316
"CSC",2013,"FT",24,"K",2,115
"CSC",2013,"FT",24,"K",1,12
"DEN",2013,"FT",24,"U",3,49
"DEN",2013,"FT",24,"K",3,47
"EDU",2013,"FT",24,"U",3,1639
"EDU",2013,"FT",24,"U",2,352
"EDU",2013,"FT",24,"U",1,243
"EDU",2013,"FT",24,"K",3,1631
"EDU",2013,"FT",24,"K",2,472
"EDU",2013,"FT",24,"K",1,134
"ENG",2013,"FT",24,"U",3,980
"ENG",2013,"FT",24,"U",2,718
"ENG",2013,"FT",24,"U",1,214
"ENG",2013,"FT",24,"K",3,1189
"ENG",2013,"FT",24,"K",2,642
"ENG",2013,"FT",24,"K",1,80
"FAA",2013,"FT",24,"U",3,374
"FAA",2013,"FT",24,"U",2,212
"FAA",2013,"FT",24,"U",1,241
"FAA",2013,"FT",24,"K",3,408
"FAA",2013,"FT",24,"K",2,292
"FAA",2013,"FT",24,"K",1,125
"FSN",2013,"FT",24,"U",3,130
"FSN",2013,"FT",24,"U",2,73
"FSN",2013,"FT",24,"U",1,56
"FSN",2013,"FT",24,"K",3,156
"FSN",2013,"FT",24,"K",2,71
"FSN",2013,"FT",24,"K",1,32
"HPR",2013,"FT",24,"U",3,225
"HPR",2013,"FT",24,"U",2,88
"HPR",2013,"FT",24,"U",1,93
"HPR",2013,"FT",24,"K",3,258
"HPR",2013,"FT",24,"K",2,113
"HPR",2013,"FT",24,"K",1,34
"HUM",2013,"FT",24,"U",3,664
"HUM",2013,"FT",24,"U",2,667
"HUM",2013,"FT",24,"U",1,844
"HUM",2013,"FT",24,"K",3,917
"HUM",2013,"FT",24,"K",2,905
"HUM",2013,"FT",24,"K",1,353
"JOU",2013,"FT",24,"U",3,33
"JOU",2013,"FT",24,"U",2,28
"JOU",2013,"FT",24,"U",1,23
"JOU",2013,"FT",24,"K",3,42
"JOU",2013,"FT",24,"K",2,25
"JOU",2013,"FT",24,"K",1,17
"KRP",2013,"FT",24,"U",3,269
"KRP",2013,"FT",24,"U",2,203
"KRP",2013,"FT",24,"U",1,157
"KRP",2013,"FT",24,"K",3,335
"KRP",2013,"FT",24,"K",2,217
"KRP",2013,"FT",24,"K",1,78
"LAW",2013,"FT",24,"U",3,470
"LAW",2013,"FT",24,"U",2,75
"LAW",2013,"FT",24,"U",1,34
"LAW",2013,"FT",24,"K",3,431
"LAW",2013,"FT",24,"K",2,130
"LAW",2013,"FT",24,"K",1,18
"MAT",2013,"FT",24,"U",3,163
"MAT",2013,"FT",24,"U",2,138
"MAT",2013,"FT",24,"U",1,63
"MAT",2013,"FT",24,"K",3,199
"MAT",2013,"FT",24,"K",2,132
"MAT",2013,"FT",24,"K",1,32
"MED",2013,"FT",24,"U",3,243
"MED",2013,"FT",24,"K",3,238
"MED",2013,"FT",24,"K",2,12
"NUR",2013,"FT",24,"U",3,1135
"NUR",2013,"FT",24,"U",2,103
"NUR",2013,"FT",24,"U",1,21
"NUR",2013,"FT",24,"K",3,1114
"NUR",2013,"FT",24,"K",2,123
"NUR",2013,"FT",24,"K",1,22
"OPT",2013,"FT",24,"U",3,40
"OPT",2013,"FT",24,"K",3,38
"OAS",2013,"FT",24,"U",3,188
"OAS",2013,"FT",24,"U",2,238
"OAS",2013,"FT",24,"U",1,302
"OAS",2013,"FT",24,"K",3,279
"OAS",2013,"FT",24,"K",2,309
"OAS",2013,"FT",24,"K",1,142
"PHA",2013,"FT",24,"U",3,164
"PHA",2013,"FT",24,"K",3,145
"PHA",2013,"FT",24,"K",2,29
"PSC",2013,"FT",24,"U",3,99
"PSC",2013,"FT",24,"U",2,56
"PSC",2013,"FT",24,"U",1,55
"PSC",2013,"FT",24,"K",3,114
"PSC",2013,"FT",24,"K",2,63
"PSC",2013,"FT",24,"K",1,33
"SSC",2013,"FT",24,"U",3,1453
"SSC",2013,"FT",24,"U",2,1631
"SSC",2013,"FT",24,"U",1,1782
"SSC",2013,"FT",24,"U",0,12
"SSC",2013,"FT",24,"K",3,1955
"SSC",2013,"FT",24,"K",2,2026
"SSC",2013,"FT",24,"K",1,885
"SSC",2013,"FT",24,"K",0,13
"THE",2013,"FT",24,"U",3,14
"THE",2013,"FT",24,"K",3,16
"VME",2013,"FT",24,"U",3,45
"VME",2013,"FT",24,"K",3,43
"ABS",2013,"PT",6,"U",3,66
"ABS",2013,"PT",6,"U",2,85
"ABS",2013,"PT",6,"U",1,159
"ABS",2013,"PT",6,"K",3,76
"ABS",2013,"PT",6,"K",2,98
"ABS",2013,"PT",6,"K",1,136
"BCO",2013,"PT",6,"U",3,47
"BCO",2013,"PT",6,"U",2,109
"BCO",2013,"PT",6,"U",1,150
"BCO",2013,"PT",6,"K",3,52
"BCO",2013,"PT",6,"K",2,144
