"Year","University","Type","Count"
2011,"QUE","R",67
2011,"RYE","A",5608
2011,"RYE","R",772
2011,"TAC","A",4791
2011,"TAC","R",807
2011,"TSG","A",2838
2011,"TSG","R",419
2011,"TMI","A",1724
2011,"TMI","R",232
2011,"TSC","A",1118
2011,"TSC","R",156
2011,"TRE","A",875
2011,"TRE","R",187
2011,"WAT","A",1317
2011,"WAT","R",138
2011,"WMC","A",2890
2011,"WMC","R",412
2011,"WBC","A",169
2011,"WBC","R",35
2011,"WHC","A",157
2011,"WHC","R",14
2011,"WKC","A",439
2011,"WKC","R",77
2011,"WLA","A",977
2011,"WLA","R",81
2011,"WIN","A",896
2011,"WIN","R",219
2011,"YOR","A",3748
2011,"YOR","R",541
2010,"ALG","A",2221
2010,"ALG","R",424
2010,"BRO","A",1118
2010,"BRO","R",328
2010,"CAR","A",1854
2010,"CAR","R",296
2010,"GUE","A",2221
2010,"GUE","R",424
2010,"LAK","A",656
2010,"LAK","R",224
2010,"LAU","A",975
2010,"LAU","R",546
2010,"MCM","A",1757
2010,"MCM","R",255
2010,"NIP","A",395
2010,"NIP","R",204
2010,"OCA","A",382
2010,"OCA","R",210
2010,"OTT","A",3905
2010,"OTT","R",460
2010,"UOI","A",897
2010,"UOI","R",255
2010,"QUE","A",486
2010,"QUE","R",51
2010,"RYE","A",5240
2010,"RYE","R",800
2010,"TAC","A",4507
2010,"TAC","R",768
2010,"TSG","A",2622
2010,"TSG","R",434
2010,"TMI","A",1605
2010,"TMI","R",222
2010,"TSC","A",1049
2010,"TSC","R",112
2010,"TRE","A",822
2010,"TRE","R",201
2010,"WAT","A",1208
2010,"WAT","R",122
2010,"WMC","A",3007
2010,"WMC","R",395
2010,"WBC","A",150
2010,"WBC","R",22
2010,"WHC","A",175
2010,"WHC","R",30
2010,"WKC","A",403
2010,"WKC","R",85
2010,"WLA","A",876
2010,"WLA","R",77
2010,"WIN","A",823
2010,"WIN","R",212
2010,"YOR","A",4007
2010,"YOR","R",581
2009,"ALG","A",345
2009,"ALG","R",240
2009,"BRO","A",1143
2009,"BRO","R",293
2009,"CAR","A",1880
2009,"CAR","R",277
2009,"GUE","A",3128
2009,"GUE","R",375
2009,"LAK","A",621
2009,"LAK","R",202
2009,"LAU","A",854
2009,"LAU","R",624
2009,"MCM","A",1733
2009,"MCM","R",174
2009,"NIP","A",427
2009,"NIP","R",83
2009,"OCA","A",345
2009,"OCA","R",220
2009,"OTT","A",3535
2009,"OTT","R",380
2009,"UOI","A",792
2009,"UOI","R",215
2009,"QUE","A",570
2009,"QUE","R",43
2009,"RYE","A",5454
2009,"RYE","R",827
2009,"TAC","A",4837
2009,"TAC","R",912
2009,"TSG","A",2706
2009,"TSG","R",477
2009,"TMI","A",1693
2009,"TMI","R",235
2009,"TSC","A",1341
2009,"TSC","R",200
2009,"TRE","A",829
2009,"TRE","R",201
2009,"WAT","A",1407
2009,"WAT","R",128
2009,"WMC","A",3021
2009,"WMC","R",380
2009,"WBC","A",165
2009,"WBC","R",22
2009,"WHC","A",180
2009,"WHC","R",16
2009,"WLA","A",982
2009,"WLA","R",89
2009,"WIN","A",843
2009,"WIN","R",207
2009,"YOR","A",3805
2009,"YOR","R",603
2008,"BRO","A",1192
2008,"BRO","R",291
2008,"CAR","A",1923
2008,"CAR","R",287
2008,"GUE","A",2834
2008,"GUE","R",587
2008,"LAK","A",567
2008,"LAK","R",188
2008,"LAU","A",812
2008,"LAU","R",492
2008,"MCM","A",1718
2008,"MCM","R",207
2008,"NIP","A",374
2008,"NIP","R",70
2008,"OCA","A",349
2008,"OCA","R",185
2008,"OTT","A",3228
2008,"OTT","R",373
2008,"UOI","A",740
2008,"UOI","R",222
2008,"QUE","A",629
2008,"QUE","R",34
2008,"RYE","A",5309
2008,"RYE","R",875
2008,"TAC","A",4429
2008,"TAC","R",768
2008,"TRE","A",711
2008,"TRE","R",156
2008,"WAT","A",1409
2008,"WAT","R",128
2008,"WMC","A",2878
2008,"WMC","R",349
2008,"WBC","A",188
2008,"WBC","R",27
2008,"WHC","A",164
2008,"WHC","R",16
2008,"WKC","A",406
2008,"WKC","R",78
2008,"WLA","A",895
2008,"WLA","R",94
2008,"WIN","A",918
2008,"WIN","R",246
2007,"BRO","A",1408
2007,"BRO","R",288
2007,"CAR","A",1971
2007,"CAR","R",296
2007,"GUE","A",3578
2007,"GUE","R",396
2007,"LAK","A",599
2007,"LAK","R",202
2007,"LAU","A",849
2007,"LAU","R",579
2007,"MCM","A",1716
2007,"MCM","R",200
2007,"NIP","A",787
2007,"NIP","R",225
2007,"OCA","A",316
2007,"OCA","R",195
2007,"OTT","A",3229
2007,"OTT","R",385
2007,"UOI","A",621
2007,"UOI","R",186
2007,"QUE","A",637
2007,"QUE","R",70
2007,"RYE","A",4941
2007,"RYE","R",709
2007,"TAC","A",4584
2007,"TAC","R",786
2007,"WAT","A",1479
2007,"WAT","R",160
2007,"WMC","A",2972
2007,"WMC","R",382
2007,"WBC","A",177
2007,"WBC","R",38
2007,"WHC","A",201
2007,"WHC","R",16
2007,"WKC","A",397
2007,"WKC","R",59
2007,"WLA","A",904
2007,"WLA","R",81
2007,"WIN","A",922
2007,"WIN","R",220
2006,"BRO","A",1434
2006,"BRO","R",262
2006,"CAR","A",3466
2006,"CAR","R",1177
2006,"GUE","A",1586
2006,"GUE","R",157
2006,"LAK","A",646
2006,"LAK","R",273
2006,"LAU","A",997
2006,"LAU","R",578
2006,"MCM","A",1640
2006,"MCM","R",211
2006,"NIP","A",380
2006,"NIP","R",75
2006,"OCA","A",279
2006,"OCA","R",154
2006,"OTT","A",2828
2006,"OTT","R",258
2006,"UOI","A",617
2006,"UOI","R",196
2006,"QUE","A",678
2006,"QUE","R",51
2006,"RYE","A",4695
2006,"RYE","R",633
2006,"TAC","A",4577
2006,"TAC","R",771
2006,"TRE","A",755
2006,"TRE","R",214
2006,"WAT","A",1287
2006,"WAT","R",141
2006,"WMC","A",2935
2006,"WMC","R",398
2006,"WBC","A",215
