"Year","Occupation","Metric","Value"
2009,"MAN","EM",689.4
2009,"MAN","UN",17.5
2009,"MAN","UR",2.5
2009,"PRO","LF",1298.2
2009,"PRO","EM",1261
2009,"PRO","UN",37.1
2009,"PRO","UR",2.9
2009,"NSB","LF",2095.2
2009,"NSB","EM",1967.6
2009,"NSB","UN",127.6
2009,"NSB","UR",6.1
2009,"NSC","LF",2033.4
2009,"NSC","EM",1860.6
2009,"NSC","UN",172.8
2009,"NSC","UR",8.5
2009,"NSD","LF",742
2009,"NSD","EM",654
2009,"NSD","UN",88
2009,"NSD","UR",11.9
2009,"UNC","LF",204.4
2009,"UNC","UN",204.4
2009,"UNC","UR",100
2010,"MAN","LF",699.3
2010,"MAN","EM",681.4
2010,"MAN","UN",17.9
2010,"MAN","UR",2.6
2010,"PRO","LF",1348.4
2010,"PRO","EM",1310.4
2010,"PRO","UN",38
2010,"PRO","UR",2.8
2010,"NSB","LF",2077.5
2010,"NSB","EM",1976.9
2010,"NSB","UN",100.6
2010,"NSB","UR",4.8
2010,"NSC","LF",2000
2010,"NSC","EM",1871.2
2010,"NSC","UN",128.8
2010,"NSC","UR",6.4
2010,"NSD","LF",776.3
2010,"NSD","EM",698
2010,"NSD","UN",78.3
2010,"NSD","UR",10.1
2010,"UNC","LF",259.4
2010,"UNC","UN",259.4
2010,"UNC","UR",100
2011,"MAN","LF",674.3
2011,"MAN","EM",659.9
2011,"MAN","UN",14.4
2011,"MAN","UR",2.1
2011,"PRO","LF",1378.3
2011,"PRO","EM",1342.8
2011,"PRO","UN",35.5
2011,"PRO","UR",2.6
2011,"NSB","LF",2109.6
2011,"NSB","EM",2025.7
2011,"NSB","UN",84
2011,"NSB","UR",4
2011,"NSC","LF",2016
2011,"NSC","EM",1898.6
2011,"NSC","UN",117.4
2011,"NSC","UR",5.8
2011,"NSD","LF",799.2
2011,"NSD","EM",731.5
2011,"NSD","UN",67.7
2011,"NSD","UR",8.5
2011,"UNC","LF",250.1
2011,"UNC","UN",250.1
2011,"UNC","UR",100
2012,"MAN","LF",696.2
2012,"MAN","EM",683.9
2012,"MAN","UN",12.3
2012,"MAN","UR",1.8
2012,"PRO","LF",1404.9
2012,"PRO","EM",1369.2
2012,"PRO","UN",35.8
2012,"PRO","UR",2.5
2012,"NSB","LF",2078.1
2012,"NSB","EM",1997.4
2012,"NSB","UN",80.7
2012,"NSB","UR",3.9
2012,"NSC","LF",2011.5
2012,"NSC","EM",1897.6
2012,"NSC","UN",114
2012,"NSC","UR",5.7
2012,"NSD","LF",829.4
2012,"NSD","EM",754.5
2012,"NSD","UN",74.9
2012,"NSD","UR",9
2012,"UNC","LF",256.2
2012,"UNC","UN",256.2
2012,"UNC","UR",100
2013,"MAN","LF",675.2
2013,"MAN","EM",660.2
2013,"MAN","UN",15.1
2013,"MAN","UR",2.2
2013,"PRO","LF",1415.1
2013,"PRO","EM",1383.4
2013,"PRO","UN",31.7
2013,"PRO","UR",2.2
2013,"NSB","LF",2198.4
2013,"NSB","EM",2107.4
2013,"NSB","UN",91
2013,"NSB","UR",4.1
2013,"NSC","LF",2048.8
2013,"NSC","EM",1941.9
2013,"NSC","UN",106.9
2013,"NSC","UR",5.2
2013,"NSD","LF",804.3
2013,"NSD","EM",730.6
2013,"NSD","UN",73.6
2013,"NSD","UR",9.2
2013,"UNC","LF",241.9
2013,"UNC","UN",241.9
2013,"UNC","UR",100
2014,"MAN","LF",649.9
2014,"MAN","EM",635.4
2014,"MAN","UN",14.6
2014,"MAN","UR",2.2
2014,"PRO","LF",1456.8
2014,"PRO","EM",1420.2
2014,"PRO","UN",36.7
2014,"PRO","UR",2.5
2014,"NSB","LF",2209
2014,"NSB","EM",2131.1
2014,"NSB","UN",77.9
2014,"NSB","UR",3.5
2014,"NSC","LF",2015.3
2014,"NSC","EM",1908.5
2014,"NSC","UN",106.7
2014,"NSC","UR",5.3
2014,"NSD","LF",849.7
2014,"NSD","EM",782.7
2014,"NSD","UN",67
2014,"NSD","UR",7.9
2014,"UNC","LF",237.9
2014,"UNC","UN",237.9
2014,"UNC","UR",100
2015,"MAN","LF",630.9
2015,"MAN","EM",619.2
2015,"MAN","UN",11.8
2015,"MAN","UR",1.9
2015,"PRO","LF",1531.9
2015,"PRO","EM",1502.9
2015,"PRO","UN",29
2015,"PRO","UR",1.9
2015,"NSB","LF",2239.8
