"School","Year","Confirmed","Choice","Count"
"LAK","12-13","N",1,2865
"LAK","12-13","N",2,1774
"LAK","12-13","N",3,1499
"LAK","12-13","N",4,1387
"LAK","13-14","N",1,2835
"LAK","13-14","N",2,1906
"LAK","13-14","N",3,1546
"LAK","13-14","N",4,1531
"LAK","14-15","N",1,2745
"LAK","14-15","N",2,1696
"LAK","14-15","N",3,1489
"LAK","14-15","N",4,1684
"LAK","15-16","N",1,2555
"LAK","15-16","N",2,1570
"LAK","15-16","N",3,1339
"LAK","15-16","N",4,1652
"LAK","16-17","N",1,2599
"LAK","16-17","N",2,1684
"LAK","16-17","N",3,1447
"LAK","16-17","N",4,1845
"LAU","07-08","N",1,2521
"LAU","07-08","N",2,1975
"LAU","07-08","N",3,1840
"LAU","07-08","N",4,1947
"LAU","08-09","N",1,2472
"LAU","08-09","N",2,1908
"LAU","08-09","N",3,1836
"LAU","08-09","N",4,1914
"LAU","09-10","N",1,2451
"LAU","09-10","N",2,1881
"LAU","09-10","N",3,1736
"LAU","09-10","N",4,1811
"LAU","10-11","N",1,2408
"LAU","10-11","N",2,1945
"LAU","10-11","N",3,1784
"LAU","10-11","N",4,1727
"LAU","11-12","N",1,2384
"LAU","11-12","N",2,1826
"LAU","11-12","N",3,1741
"LAU","11-12","N",4,1595
"LAU","12-13","N",1,2379
"LAU","12-13","N",2,1861
"LAU","12-13","N",3,1682
"LAU","12-13","N",4,1572
"LAU","13-14","N",1,2519
"LAU","13-14","N",2,2118
"LAU","13-14","N",3,2070
"LAU","13-14","N",4,2221
"LAU","14-15","N",1,2388
"LAU","14-15","N",2,2074
"LAU","14-15","N",3,1981
"LAU","14-15","N",4,2367
"LAU","15-16","N",1,2323
"LAU","15-16","N",2,1951
"LAU","15-16","N",3,1898
"LAU","15-16","N",4,2228
"LAU","16-17","N",1,2138
"LAU","16-17","N",2,1825
"LAU","16-17","N",3,1818
"LAU","16-17","N",4,1970
"MCM","07-08","N",1,8900
"MCM","07-08","N",2,8595
"MCM","07-08","N",3,8640
"MCM","07-08","N",4,12927
"MCM","08-09","N",1,9086
"MCM","08-09","N",2,8685
"MCM","08-09","N",3,8615
"MCM","08-09","N",4,13229
"MCM","09-10","N",1,9717
"MCM","09-10","N",2,9055
"MCM","09-10","N",3,8789
"MCM","09-10","N",4,12961
"MCM","10-11","N",1,9960
"MCM","10-11","N",2,9213
"MCM","10-11","N",3,8804
"MCM","10-11","N",4,12731
"MCM","11-12","N",1,10233
"MCM","11-12","N",2,9671
"MCM","11-12","N",3,9204
"MCM","11-12","N",4,13258
"MCM","12-13","N",1,10430
"MCM","12-13","N",2,9825
"MCM","12-13","N",3,9347
"MCM","12-13","N",4,13553
"MCM","13-14","N",1,10544
"MCM","13-14","N",2,9815
"MCM","13-14","N",3,9710
"MCM","13-14","N",4,14911
"MCM","14-15","N",1,10741
"MCM","14-15","N",2,10464
"MCM","14-15","N",3,9608
"MCM","14-15","N",4,15681
"MCM","15-16","N",1,10505
"MCM","15-16","N",2,10320
"MCM","15-16","N",3,9551
"MCM","15-16","N",4,16158
"MCM","16-17","N",1,10486
"MCM","16-17","N",2,10354
"MCM","16-17","N",3,9769
"MCM","16-17","N",4,17422
"NIP","07-08","N",1,1128
"NIP","07-08","N",2,888
"NIP","07-08","N",3,877
"NIP","07-08","N",4,1281
"NIP","08-09","N",1,1217
"NIP","08-09","N",2,905
"NIP","08-09","N",3,912
"NIP","08-09","N",4,1240
"NIP","09-10","N",1,1131
"NIP","09-10","N",2,880
"NIP","09-10","N",3,934
"NIP","09-10","N",4,1023
"NIP","10-11","N",1,1275
"NIP","10-11","N",2,971
"NIP","10-11","N",3,948
"NIP","10-11","N",4,1082
"NIP","11-12","N",1,1239
"NIP","11-12","N",2,903
"NIP","11-12","N",3,836
"NIP","11-12","N",4,883
"NIP","12-13","N",1,1300
"NIP","12-13","N",2,889
"NIP","12-13","N",3,917
"NIP","12-13","N",4,1007
"NIP","13-14","N",1,1391
"NIP","13-14","N",2,901
"NIP","13-14","N",3,938
