Programs / Programmes
---------------------

ABS	Agriculture & Biological Science                    	Sciences agricoles et biologiques
0311	Management occupations -> Specialized middle management occupations -> Managers in health care                                                                                                                                                                        	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des soins de santé
041 	Management occupations -> Specialized middle management occupations -> Managers in public administration                                                                                                                                                              	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de la fonction publique
0411	Management occupations -> Specialized middle management occupations -> Government managers - health and social policy development and program administration                                                                                                          	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé
0412	Management occupations -> Specialized middle management occupations -> Government managers - economic analysis, policy development and program administration                                                                                                         	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes
0413	Management occupations -> Specialized middle management occupations -> Government managers - education policy development and program administration                                                                                                                  	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes
0414	Management occupations -> Specialized middle management occupations -> Other managers in public administration                                                                                                                                                        	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Autres gestionnaires de la fonction publique
042 	Management occupations -> Specialized middle management occupations -> Managers in education and social and community services                                                                                                                                        	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de l'enseignement et des services sociaux et communautaires
0421	Management occupations -> Specialized middle management occupations -> Administrators - post-secondary education and vocational training                                                                                                                              	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle
0422	Management occupations -> Specialized middle management occupations -> School principals and administrators of elementary and secondary education                                                                                                                     	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire
0423	Management occupations -> Specialized middle management occupations -> Managers in social, community and correctional services                                                                                                                                        	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices des services sociaux, communautaires et correctionnels
0431	Management occupations -> Specialized middle management occupations -> Commissioned police officers                                                                                                                                                                   	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Officiers/officières de direction des services de police
0432	Management occupations -> Specialized middle management occupations -> Fire chiefs and senior firefighting officers                                                                                                                                                   	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Chefs et officiers supérieurs/officières supérieures des services d'incendie
0433	Management occupations -> Specialized middle management occupations -> Commissioned officers of the Canadian Forces                                                                                                                                                   	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Officiers/officières de direction des Forces armées canadiennes
0511	Management occupations -> Specialized middle management occupations -> Library, archive, museum and art gallery managers                                                                                                                                              	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art
0512	Management occupations -> Specialized middle management occupations -> Managers - publishing, motion pictures, broadcasting and performing arts                                                                                                                       	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène
0513	Management occupations -> Specialized middle management occupations -> Recreation, sports and fitness program and service directors                                                                                                                                   	Gestion -> Cadres intermédiaires spécialisés/cadres intermédiaires spécialisées -> Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique
06  	Management occupations -> Middle management occupations in retail and wholesale trade and customer services                                                                                                                                                           	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle
0601	Management occupations -> Middle management occupations in retail and wholesale trade and customer services -> Corporate sales managers                                                                                                                               	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle -> Directeurs/directrices des ventes corporatives
0621	Management occupations -> Middle management occupations in retail and wholesale trade and customer services -> Retail and wholesale trade managers                                                                                                                    	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle -> Directeurs/directrices - commerce de détail et de gros
063 	Management occupations -> Middle management occupations in retail and wholesale trade and customer services -> Managers in food service and accommodation                                                                                                             	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle -> Directeurs/directrices de la restauration et des services d'hébergement
0631	Management occupations -> Middle management occupations in retail and wholesale trade and customer services -> Restaurant and food service managers                                                                                                                   	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle -> Directeurs/directrices de la restauration et des services alimentaires
0632	Management occupations -> Middle management occupations in retail and wholesale trade and customer services -> Accommodation service managers                                                                                                                         	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle -> Directeurs/directrices des services d'hébergement
0651	Management occupations -> Middle management occupations in retail and wholesale trade and customer services -> Managers in customer and personal services, n.e.c.                                                                                                     	Gestion -> Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle -> Directeurs/directrices du service à la clientèle et des services personnels, n.c.a.
071 	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Managers in construction and facility operation and maintenance                                                                                        	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices de la construction, de l'exploitation et de l'entretien d'immeubles
0711	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Construction managers                                                                                                                                  	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices de la construction
0712	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Home building and renovation managers                                                                                                                  	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Gestionnaires en construction et rénovation domiciliaire
0714	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Facility operation and maintenance managers                                                                                                            	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices de l'exploitation et de l'entretien d'immeubles
0731	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Managers in transportation                                                                                                                             	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices des transports
0811	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Managers in natural resources production and fishing                                                                                                   	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche
0821	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Managers in agriculture                                                                                                                                	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Gestionnaires en agriculture
0822	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Managers in horticulture                                                                                                                               	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Gestionnaires en horticulture
0911	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Manufacturing managers                                                                                                                                 	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices de la fabrication
0912	Management occupations -> Middle management occupations in trades, transportation, production and utilities -> Utilities managers                                                                                                                                     	Gestion -> Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique -> Directeurs/directrices des services d'utilité publique
1   	Business, finance and administration occupations                                                                                                                                                                                                                      	Affaires, finance et administration
11  	Business, finance and administration occupations -> Professional occupations in business and finance                                                                                                                                                                  	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance
111 	Business, finance and administration occupations -> Professional occupations in business and finance -> Auditors, accountants and investment professionals                                                                                                            	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Directeurs financiers/directrices financières
1111	Business, finance and administration occupations -> Professional occupations in business and finance -> Financial auditors and accountants                                                                                                                            	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Vérificateurs/vérificatrices et comptables
1112	Business, finance and administration occupations -> Professional occupations in business and finance -> Financial and investment analysts                                                                                                                             	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Analystes financiers/analystes financières et analystes en placements
1113	Business, finance and administration occupations -> Professional occupations in business and finance -> Securities agents, investment dealers and brokers                                                                                                             	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs
1114	Business, finance and administration occupations -> Professional occupations in business and finance -> Other financial officers                                                                                                                                      	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Autres agents financiers/agentes financières
112 	Business, finance and administration occupations -> Professional occupations in business and finance -> Human resources and business service professionals                                                                                                            	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Directeurs/directrices des ressources humaines
