Programs / Programmes
---------------------

ABS	Agriculture & Biological Science                    	Sciences agricoles et biologiques
1451	Business, finance and administration occupations -> Office support occupations -> Library assistants and clerks                                                                                                                                                       	Affaires, finance et administration -> Personnel de soutien de bureau -> Commis et assistants/assistantes dans les bibliothèques
1452	Business, finance and administration occupations -> Office support occupations -> Correspondence, publication and regulatory clerks                                                                                                                                   	Affaires, finance et administration -> Personnel de soutien de bureau -> Correspondanciers/correspondancières et commis aux publications et aux règlements
1454	Business, finance and administration occupations -> Office support occupations -> Survey interviewers and statistical clerks                                                                                                                                          	Affaires, finance et administration -> Personnel de soutien de bureau -> Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques
15  	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations                                                                                                                                                   	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires
1511	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Mail, postal and related workers                                                                                                               	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Commis au courrier et aux services postaux et personnel assimilé
1512	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Letter carriers                                                                                                                                	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Facteurs/factrices
1513	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Couriers, messengers and door-to-door distributors                                                                                             	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Messagers/messagères et distributeurs/distributrices porte-à-porte
152 	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Supply chain logistics, tracking and scheduling co-ordination occupations                                                                      	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Personnel en logistiques de chaîne d'approvisionnement, en suivi et en coordination d'horaires
1521	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Shippers and receivers                                                                                                                         	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Expéditeurs/expéditrices et réceptionnaires
1522	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Storekeepers and partspersons                                                                                                                  	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Magasiniers/magasinières et commis aux pièces
1523	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Production logistics co-ordinators                                                                                                             	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Coordonnateurs/coordonnatrices de la logistique de la production
1524	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Purchasing and inventory control workers                                                                                                       	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Commis aux achats et au contrôle de l'inventaire
1525	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Dispatchers                                                                                                                                    	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Répartiteurs/répartitrices
1526	Business, finance and administration occupations -> Distribution, tracking and scheduling co-ordination occupations -> Transportation route and crew schedulers                                                                                                       	Affaires, finance et administration -> Personnel de coordination de la distribution, du suivi et des horaires -> Horairistes de trajets et d'équipages
2   	Natural and applied sciences and related occupations                                                                                                                                                                                                                  	Sciences naturelles et appliquées et domaines apparentés
21  	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences                                                                                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées
211 	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Physical science professionals                                                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Professionnels/professionnelles des sciences physiques
2111	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Physicists and astronomers                                                                                                                        	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Physiciens/physiciennes et astronomes
2112	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Chemists                                                                                                                                          	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Chimistes
2113	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Geoscientists and oceanographers                                                                                                                  	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Géoscientifiques et océanographes
2114	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Meteorologists and climatologists                                                                                                                 	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Météorologues et climatologues
2115	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Other professional occupations in physical sciences                                                                                               	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Autres professionnels/professionnelles des sciences physiques
212 	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Life science professionals                                                                                                                        	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Professionnels/professionnelles des sciences de la vie
2121	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Biologists and related scientists                                                                                                                 	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Biologistes et personnel scientifique assimilé
2122	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Forestry professionals                                                                                                                            	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Professionnels/professionnelles des sciences forestières
2123	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Agricultural representatives, consultants and specialists                                                                                         	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Agronomes, conseillers/conseillères et spécialistes en agriculture
213 	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Civil, mechanical, electrical and chemical engineers                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Professionnels/professionnelles en génie civil, mécanique, électrique et chimique
2131	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Civil engineers                                                                                                                                   	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs civils/ingénieures civiles
2132	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Mechanical engineers                                                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs mécaniciens/ingénieures mécaniciennes
2133	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Electrical and electronics engineers                                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes
2134	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Chemical engineers                                                                                                                                	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs chimistes/ingénieures chimistes
214 	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Other engineers                                                                                                                                   	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Autres professionnels/professionnelles en génie
2141	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Industrial and manufacturing engineers                                                                                                            	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs/ingénieures d'industrie et de fabrication
2142	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Metallurgical and materials engineers                                                                                                             	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs/ingénieures métallurgistes et des matériaux
2143	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Mining engineers                                                                                                                                  	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs miniers/ingénieures minières
2144	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Geological engineers                                                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs géologues/ingénieures géologues
2145	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Petroleum engineers                                                                                                                               	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole
2146	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Aerospace engineers                                                                                                                               	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs/ingénieures en aérospatiale
2147	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Computer engineers (except software engineers and designers)                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel)
2148	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Other professional engineers, n.e.c.                                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Autres ingénieurs/ingénieures, n.c.a.
215 	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Architects, urban planners and land surveyors                                                                                                     	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Professionnels/professionnelles en architecture, en urbanisme et en arpentage
2151	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Architects                                                                                                                                        	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Architectes
2152	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Landscape architects                                                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Architectes paysagistes
2153	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Urban and land use planners                                                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Urbanistes et planificateurs/planificatrices de l'utilisation des sols
2154	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Land surveyors                                                                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Arpenteurs-géomètres/arpenteuses-géomètres
2161	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Mathematicians, statisticians and actuaries                                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires
217 	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Computer and information systems professionals                                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Professionnels/professionnelles en informatique
2171	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Information systems analysts and consultants                                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Analystes et consultants/consultantes en informatique
2172	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Database analysts and data administrators                                                                                                         	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Analystes de bases de données et administrateurs/administratrices de données
2173	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Software engineers and designers                                                                                                                  	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
2174	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Computer programmers and interactive media developers                                                                                             	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
2175	Natural and applied sciences and related occupations -> Professional occupations in natural and applied sciences -> Web designers and developers                                                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel professionnel des sciences naturelles et appliquées -> Concepteurs/conceptrices et développeurs/développeuses Web
22  	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences                                                                                                                                                 	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées
221 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in physical sciences                                                                                                   	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique des sciences physiques
2211	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Chemical technologists and technicians                                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en chimie
2212	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Geological and mineral technologists and technicians                                                                                         	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en géologie et en minéralogie
222 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in life sciences                                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique des sciences de la vie
2221	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Biological technologists and technicians                                                                                                     	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en biologie
2222	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Agricultural and fish products inspectors                                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Inspecteurs/inspectrices des produits agricoles et de la pêche
2223	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Forestry technologists and technicians                                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en sciences forestières
2224	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Conservation and fishery officers                                                                                                            	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Techniciens/techniciennes du milieu naturel et de la pêche
2225	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Landscape and horticulture technicians and specialists                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture
223 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in civil, mechanical and industrial engineering                                                                        	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique en génie civil, mécanique et industriel
2231	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Civil engineering technologists and technicians                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en génie civil
2232	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Mechanical engineering technologists and technicians                                                                                         	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en génie mécanique
2233	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Industrial engineering and manufacturing technologists and technicians                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
2234	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Construction estimators                                                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Estimateurs/estimatrices en construction
224 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in electronics and electrical engineering                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique en génie électronique et électrique
2241	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Electrical and electronics engineering technologists and technicians                                                                         	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en génie électronique et électrique
2242	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Electronic service technicians (household and business equipment)                                                                            	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
2243	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Industrial instrument technicians and mechanics                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels
2244	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Aircraft instrument, electrical and avionics mechanics, technicians and inspectors                                                           	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs
225 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in architecture, drafting, surveying, geomatics and meteorology                                                        	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique en architecture, en dessin, en arpentage, en géomatique et en météorologie
2251	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Architectural technologists and technicians                                                                                                  	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en architecture
2252	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Industrial designers                                                                                                                         	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Designers industriels/designers industrielles
2253	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Drafting technologists and technicians                                                                                                       	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en dessin
2254	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Land survey technologists and technicians                                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Technologues et techniciens/techniciennes en arpentage
2255	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in geomatics and meteorology                                                                                           	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique en géomatique et en météorologie
226 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Other technical inspectors and regulatory officers                                                                                           	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Autres contrôleurs/contrôleuses techniques et officiers/officières de réglementation
2261	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Non-destructive testers and inspection technicians                                                                                           	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs
2262	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Engineering inspectors and regulatory officers                                                                                               	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation
2263	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Inspectors in public and environmental health and occupational health and safety                                                             	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail
2264	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Construction inspectors                                                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Inspecteurs/inspectrices en construction
2271	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Air pilots, flight engineers and flying instructors                                                                                          	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien
2272	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Air traffic controllers and related occupations                                                                                              	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Contrôleurs aériens/contrôleuses aériennes et personnel assimilé
2273	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Deck officers, water transport                                                                                                               	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Officiers/officières de pont du transport par voies navigables
2275	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Railway traffic controllers and marine traffic regulators                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime
228 	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Technical occupations in computer and information systems                                                                                    	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Personnel technique en informatique
2281	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Computer network technicians                                                                                                                 	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Techniciens/techniciennes de réseau informatique
2282	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> User support technicians                                                                                                                     	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Agents/agentes de soutien aux utilisateurs
2283	Natural and applied sciences and related occupations -> Technical occupations related to natural and applied sciences -> Information systems testing technicians                                                                                                      	Sciences naturelles et appliquées et domaines apparentés -> Personnel technique assimilé aux sciences naturelles et appliquées -> Évaluateurs/évaluatrices de systèmes informatiques
3   	Health occupations                                                                                                                                                                                                                                                    	Secteur de la santé
30  	Health occupations -> Professional occupations in nursing                                                                                                                                                                                                             	Secteur de la santé -> Personnel professionnel en soins infirmiers
3011	Health occupations -> Professional occupations in nursing -> Nursing co-ordinators and supervisors                                                                                                                                                                    	Secteur de la santé -> Personnel professionnel en soins infirmiers -> Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers
3012	Health occupations -> Professional occupations in nursing -> Registered nurses and registered psychiatric nurses                                                                                                                                                      	Secteur de la santé -> Personnel professionnel en soins infirmiers -> Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
31  	Health occupations -> Professional occupations in health (except nursing)                                                                                                                                                                                             	Secteur de la santé -> Personnel professionnel des soins de santé (sauf soins infirmiers)
311 	Health occupations -> Professional occupations in health (except nursing) -> Physicians, dentists and veterinarians                                                                                                                                                   	Secteur de la santé -> Personnel professionnel des soins de santé (sauf soins infirmiers) -> Médecins, dentistes et vétérinaires
3111	Health occupations -> Professional occupations in health (except nursing) -> Specialist physicians                                                                                                                                                                    	Secteur de la santé -> Personnel professionnel des soins de santé (sauf soins infirmiers) -> Médecins spécialistes
3112	Health occupations -> Professional occupations in health (except nursing) -> General practitioners and family physicians                                                                                                                                              	Secteur de la santé -> Personnel professionnel des soins de santé (sauf soins infirmiers) -> Omnipraticiens/omnipraticiennes et médecins en médecine familiale
3113	Health occupations -> Professional occupations in health (except nursing) -> Dentists                                                                                                                                                                                 	Secteur de la santé -> Personnel professionnel des soins de santé (sauf soins infirmiers) -> Dentistes
3114	Health occupations -> Professional occupations in health (except nursing) -> Veterinarians                                                                                                                                                                            	Secteur de la santé -> Personnel professionnel des soins de santé (sauf soins infirmiers) -> Vétérinaires
