"Program","Year","University","Grades","Percent"
"AGR","2016","WHC","80-84",0
"AGR","2016","WHC","75-79",0
"AGR","2016","WHC","70-74",0
"AGR","2016","WHC","<70",0
"AGR","2016","WHC","Avg",0
"AGR","2016","WKC",">=95",0
"AGR","2016","WKC","90-94",0
"AGR","2016","WKC","85-89",0
"AGR","2016","WKC","80-84",0
"AGR","2016","WKC","75-79",0
"AGR","2016","WKC","70-74",0
"AGR","2016","WKC","<70",0
"AGR","2016","WKC","Avg",0
"AGR","2016","WLA",">=95",0
"AGR","2016","WLA","90-94",0
"AGR","2016","WLA","85-89",0
"AGR","2016","WLA","80-84",0
"AGR","2016","WLA","75-79",0
"AGR","2016","WLA","70-74",0
"AGR","2016","WLA","<70",0
"AGR","2016","WLA","Avg",0
"AGR","2016","WIN",">=95",0
"AGR","2016","WIN","90-94",0
"AGR","2016","WIN","85-89",0
"AGR","2016","WIN","80-84",0
"AGR","2016","WIN","75-79",0
"AGR","2016","WIN","70-74",0
"AGR","2016","WIN","<70",0
"AGR","2016","WIN","Avg",0
"AGR","2016","YOR",">=95",0
"AGR","2016","YOR","90-94",0
"AGR","2016","YOR","85-89",0
"AGR","2016","YOR","80-84",0
"AGR","2016","YOR","75-79",0
"AGR","2016","YOR","70-74",0
"AGR","2016","YOR","<70",0
"AGR","2016","YOR","Avg",0
"AGR","2015","ALG",">=95",0
"AGR","2015","ALG","90-94",0
"AGR","2015","ALG","85-89",0
"AGR","2015","ALG","80-84",0
"AGR","2015","ALG","75-79",0
"AGR","2015","ALG","70-74",0
"AGR","2015","ALG","<70",0
"AGR","2015","ALG","Avg",0
"AGR","2015","BRO",">=95",0
"AGR","2015","BRO","90-94",0
"AGR","2015","BRO","85-89",0
"AGR","2015","BRO","80-84",0
"AGR","2015","BRO","75-79",0
"AGR","2015","BRO","70-74",0
"AGR","2015","BRO","<70",0
"AGR","2015","BRO","Avg",0
"AGR","2015","CAR",">=95",0
"AGR","2015","CAR","90-94",0
"AGR","2015","CAR","85-89",0
"AGR","2015","CAR","80-84",0
"AGR","2015","CAR","75-79",0
"AGR","2015","CAR","70-74",0
"AGR","2015","CAR","<70",0
"AGR","2015","CAR","Avg",0
"AGR","2015","GUE",">=95",0
"AGR","2015","GUE","90-94",0
"AGR","2015","GUE","85-89",0
"AGR","2015","GUE","80-84",0
"AGR","2015","GUE","75-79",0
"AGR","2015","GUE","70-74",0
"AGR","2015","GUE","<70",0
