"School","Year","Metric","Value","Headcount"
"ALG","13-14","CIP","19.0709","513"
"ALG","14-15","CIP","19.0709","527"
"ALG","15-16","CIP","19.0709","523"
"ALG","12-13","CIP","21.0101","53"
"ALG","13-14","CIP","21.0101","37"
"ALG","14-15","CIP","21.0101","42"
"ALG","15-16","CIP","21.0101","56"
"ALG","12-13","CIP","22.0301",
"ALG","13-14","CIP","22.0301",
"ALG","14-15","CIP","22.0301",
"ALG","15-16","CIP","22.0301","22"
"ALG","12-13","CIP","22.0302",
"ALG","13-14","CIP","22.0302","114"
"ALG","14-15","CIP","22.0302","103"
"ALG","15-16","CIP","22.0302","134"
"ALG","12-13","CIP","22.9999","249"
"ALG","13-14","CIP","22.9999","217"
"ALG","14-15","CIP","22.9999","212"
"ALG","15-16","CIP","22.9999","226"
"ALG","12-13","CIP","23.1101","129"
"ALG","13-14","CIP","23.1101","130"
"ALG","14-15","CIP","23.1101","138"
"ALG","15-16","CIP","23.1101","122"
"ALG","12-13","CIP","24.0102","52"
"ALG","13-14","CIP","24.0102","52"
"ALG","14-15","CIP","24.0102","44"
"ALG","15-16","CIP","24.0102","131"
"ALG","12-13","CIP","25.0301","75"
"ALG","13-14","CIP","25.0301","76"
"ALG","14-15","CIP","25.0301","68"
"ALG","15-16","CIP","25.0301","71"
"ALG","12-13","CIP","30.1401","116"
"ALG","13-14","CIP","30.1401","129"
"ALG","14-15","CIP","30.1401","116"
"ALG","15-16","CIP","30.1401","125"
"ALG","12-13","CIP","30.1701",
"ALG","13-14","CIP","30.1701","64"
"ALG","14-15","CIP","30.1701","68"
"ALG","15-16","CIP","30.1701","50"
"ALG","12-13","CIP","31.0101","113"
"ALG","13-14","CIP","31.0101","110"
"ALG","14-15","CIP","31.0101","106"
"ALG","15-16","CIP","31.0101","119"
"ALG","12-13","CIP","31.0501","358"
"ALG","13-14","CIP","31.0501","419"
"ALG","14-15","CIP","31.0501","374"
"ALG","15-16","CIP","31.0501","386"
"ALG","12-13","CIP","31.0504","25"
"ALG","13-14","CIP","31.0504","43"
"ALG","14-15","CIP","31.0504","40"
"ALG","15-16","CIP","31.0504","39"
"ALG","12-13","CIP","41.0101","158"
"ALG","13-14","CIP","41.0101","159"
"ALG","14-15","CIP","41.0101","153"
"ALG","15-16","CIP","41.0101","148"
"ALG","12-13","CIP","43.0107","842"
"ALG","13-14","CIP","43.0107","783"
"ALG","14-15","CIP","43.0107","663"
"ALG","15-16","CIP","43.0107","691"
"ALG","12-13","CIP","43.0199","145"
"ALG","13-14","CIP","43.0199","152"
"ALG","14-15","CIP","43.0199","169"
"ALG","15-16","CIP","43.0199","167"
"ALG","12-13","CIP","43.0203","59"
"ALG","13-14","CIP","43.0203","58"
"ALG","14-15","CIP","43.0203","59"
"ALG","15-16","CIP","43.0203","58"
"ALG","12-13","CIP","44.0701","250"
"ALG","13-14","CIP","44.0701","261"
"ALG","14-15","CIP","44.0701","270"
"ALG","15-16","CIP","44.0701","269"
"ALG","12-13","CIP","44.0702","271"
"ALG","13-14","CIP","44.0702","310"
"ALG","14-15","CIP","44.0702","343"
"ALG","15-16","CIP","44.0702","350"
"ALG","12-13","CIP","44.0799","126"
"ALG","13-14","CIP","44.0799","111"
"ALG","14-15","CIP","44.0799","127"
"ALG","15-16","CIP","44.0799","126"
"ALG","12-13","CIP","45.0702","31"
"ALG","13-14","CIP","45.0702","29"
"ALG","14-15","CIP","45.0702","27"
"ALG","15-16","CIP","45.0702","27"
"ALG","12-13","CIP","46.0000","61"
"ALG","13-14","CIP","46.0000","62"
"ALG","14-15","CIP","46.0000","63"
"ALG","15-16","CIP","46.0000","67"
"ALG","12-13","CIP","46.0101","20"
"ALG","13-14","CIP","46.0101","15"
"ALG","14-15","CIP","46.0101","23"
"ALG","15-16","CIP","46.0101","29"
"ALG","12-13","CIP","46.0201","103"
"ALG","13-14","CIP","46.0201","107"
"ALG","14-15","CIP","46.0201","118"
"ALG","15-16","CIP","46.0201","120"
"ALG","12-13","CIP","46.0303",
"ALG","13-14","CIP","46.0303","65"
"ALG","14-15","CIP","46.0303","63"
"ALG","15-16","CIP","46.0303","59"
"ALG","12-13","CIP","47.0201","169"
"ALG","13-14","CIP","47.0201","192"
"ALG","14-15","CIP","47.0201","181"
"ALG","15-16","CIP","47.0201","176"
"ALG","12-13","CIP","47.0604","74"
"ALG","13-14","CIP","47.0604","74"
"ALG","14-15","CIP","47.0604","63"
"ALG","15-16","CIP","47.0604","56"
"ALG","12-13","CIP","47.0607",
"ALG","13-14","CIP","47.0607","37"
"ALG","14-15","CIP","47.0607","39"
"ALG","15-16","CIP","47.0607","0"
"ALG","12-13","CIP","48.0507","39"
"ALG","13-14","CIP","48.0507","0"
"ALG","14-15","CIP","48.0507",
"ALG","15-16","CIP","48.0507",
"ALG","12-13","CIP","48.0508",
"ALG","13-14","CIP","48.0508","60"
"ALG","14-15","CIP","48.0508","65"
"ALG","15-16","CIP","48.0508","59"
"ALG","12-13","CIP","48.0703","62"
"ALG","13-14","CIP","48.0703","70"
"ALG","14-15","CIP","48.0703","72"
"ALG","15-16","CIP","48.0703","59"
"ALG","12-13","CIP","49.0104",
"ALG","13-14","CIP","49.0104","100"
"ALG","14-15","CIP","49.0104","91"
"ALG","15-16","CIP","49.0104","93"
"ALG","12-13","CIP","50.0408","137"
"ALG","13-14","CIP","50.0408","161"
"ALG","14-15","CIP","50.0408","147"
"ALG","15-16","CIP","50.0408","147"
"ALG","12-13","CIP","50.0409","223"
"ALG","13-14","CIP","50.0409","232"
"ALG","14-15","CIP","50.0409","228"
"ALG","15-16","CIP","50.0409","195"
"ALG","12-13","CIP","50.0501","49"
"ALG","13-14","CIP","50.0501","57"
"ALG","14-15","CIP","50.0501","39"
"ALG","15-16","CIP","50.0501","31"
"ALG","12-13","CIP","50.0504","25"
"ALG","13-14","CIP","50.0504","29"
"ALG","14-15","CIP","50.0504","26"
"ALG","15-16","CIP","50.0504","21"
"ALG","12-13","CIP","50.0605","130"
"ALG","13-14","CIP","50.0605","125"
"ALG","14-15","CIP","50.0605","129"
"ALG","15-16","CIP","50.0605","121"
"ALG","12-13","CIP","50.0702",
"ALG","13-14","CIP","50.0702","39"
"ALG","14-15","CIP","50.0702","32"
"ALG","15-16","CIP","50.0702","30"
"ALG","12-13","CIP","50.0909",
"ALG","13-14","CIP","50.0909","79"
"ALG","14-15","CIP","50.0909","73"
"ALG","15-16","CIP","50.0909","78"
"ALG","12-13","CIP","50.0999","79"
"ALG","13-14","CIP","50.0999","79"
"ALG","14-15","CIP","50.0999","70"
"ALG","15-16","CIP","50.0999","76"
"ALG","12-13","CIP","51.0601","32"
"ALG","13-14","CIP","51.0601","29"
"ALG","14-15","CIP","51.0601","31"
"ALG","15-16","CIP","51.0601","38"
"ALG","12-13","CIP","51.0602",
"ALG","13-14","CIP","51.0602","145"
"ALG","14-15","CIP","51.0602","147"
"ALG","15-16","CIP","51.0602","146"
"ALG","12-13","CIP","51.0705",
"ALG","13-14","CIP","51.0705",
"ALG","14-15","CIP","51.0705",
"ALG","15-16","CIP","51.0705","48"
"ALG","12-13","CIP","51.0799","107"
"ALG","13-14","CIP","51.0799","118"
"ALG","14-15","CIP","51.0799","118"
"ALG","15-16","CIP","51.0799","144"
"ALG","12-13","CIP","51.0808","107"
"ALG","13-14","CIP","51.0808","152"
"ALG","14-15","CIP","51.0808","136"
"ALG","15-16","CIP","51.0808","145"
"ALG","12-13","CIP","51.0904","147"
"ALG","13-14","CIP","51.0904","126"
"ALG","14-15","CIP","51.0904","125"
"ALG","15-16","CIP","51.0904","119"
"ALG","12-13","CIP","51.0907",
"ALG","13-14","CIP","51.0907","95"
"ALG","14-15","CIP","51.0907","110"
"ALG","15-16","CIP","51.0907","108"
"ALG","12-13","CIP","51.0908","86"
"ALG","13-14","CIP","51.0908","69"
"ALG","14-15","CIP","51.0908","66"
"ALG","15-16","CIP","51.0908","65"
"ALG","12-13","CIP","51.0916","32"
"ALG","13-14","CIP","51.0916","22"
"ALG","14-15","CIP","51.0916","19"
"ALG","15-16","CIP","51.0916","30"
"ALG","12-13","CIP","51.1105","216"
"ALG","13-14","CIP","51.1105","163"
"ALG","14-15","CIP","51.1105","167"
"ALG","15-16","CIP","51.1105","196"
"ALG","12-13","CIP","51.1199","235"
"ALG","13-14","CIP","51.1199","280"
"ALG","14-15","CIP","51.1199","266"
"ALG","15-16","CIP","51.1199","293"
"ALG","12-13","CIP","51.1601","8"
"ALG","13-14","CIP","51.1601","13"
"ALG","14-15","CIP","51.1601",
"ALG","15-16","CIP","51.1601",
"ALG","12-13","CIP","51.1613","331"
"ALG","13-14","CIP","51.1613","355"
"ALG","14-15","CIP","51.1613","340"
"ALG","15-16","CIP","51.1613","364"
"ALG","12-13","CIP","51.2601","125"
"ALG","13-14","CIP","51.2601","139"
"ALG","14-15","CIP","51.2601","131"
"ALG","15-16","CIP","51.2601","146"
"ALG","12-13","CIP","51.3501","128"
"ALG","13-14","CIP","51.3501","161"
"ALG","14-15","CIP","51.3501","164"
"ALG","15-16","CIP","51.3501","159"
"ALG","12-13","CIP","51.9999","91"
"ALG","13-14","CIP","51.9999","90"
"ALG","14-15","CIP","51.9999","65"
"ALG","15-16","CIP","51.9999","85"
"ALG","12-13","CIP","52.0101","42"
"ALG","13-14","CIP","52.0101","78"
"ALG","14-15","CIP","52.0101","76"
"ALG","15-16","CIP","52.0101","84"
"ALG","12-13","CIP","52.0201","894"
"ALG","13-14","CIP","52.0201","826"
"ALG","14-15","CIP","52.0201","817"
"ALG","15-16","CIP","52.0201","880"
"ALG","12-13","CIP","52.0203","169"
"ALG","13-14","CIP","52.0203","194"
"ALG","14-15","CIP","52.0203","201"
"ALG","15-16","CIP","52.0203","228"
"ALG","12-13","CIP","52.0205","0"
"ALG","13-14","CIP","52.0205",
"ALG","14-15","CIP","52.0205",
"ALG","15-16","CIP","52.0205","20"
"ALG","12-13","CIP","52.0299",
"ALG","13-14","CIP","52.0299","17"
"ALG","14-15","CIP","52.0299",
"ALG","15-16","CIP","52.0299",
"ALG","12-13","CIP","52.0301","62"
"ALG","13-14","CIP","52.0301","119"
"ALG","14-15","CIP","52.0301","94"
"ALG","15-16","CIP","52.0301","93"
"ALG","12-13","CIP","52.0303",
"ALG","13-14","CIP","52.0303",
"ALG","14-15","CIP","52.0303",
"ALG","15-16","CIP","52.0303","15"
"ALG","12-13","CIP","52.0305","486"
"ALG","13-14","CIP","52.0305","389"
"ALG","14-15","CIP","52.0305","250"
"ALG","15-16","CIP","52.0305","316"
"ALG","12-13","CIP","52.0401",
"ALG","13-14","CIP","52.0401","51"
"ALG","14-15","CIP","52.0401","51"
"ALG","15-16","CIP","52.0401","52"
"ALG","12-13","CIP","52.0402","81"
"ALG","13-14","CIP","52.0402","55"
"ALG","14-15","CIP","52.0402","41"
"ALG","15-16","CIP","52.0402","85"
"ALG","12-13","CIP","52.0408","163"
"ALG","13-14","CIP","52.0408","141"
"ALG","14-15","CIP","52.0408","145"
"ALG","15-16","CIP","52.0408","144"
"ALG","12-13","CIP","52.0703","289"
"ALG","13-14","CIP","52.0703","385"
"ALG","14-15","CIP","52.0703","418"
"ALG","15-16","CIP","52.0703","425"
"ALG","12-13","CIP","52.0804",
"ALG","13-14","CIP","52.0804",
"ALG","14-15","CIP","52.0804",
"ALG","15-16","CIP","52.0804","68"
"ALG","12-13","CIP","52.0901",
"ALG","13-14","CIP","52.0901","98"
"ALG","14-15","CIP","52.0901","128"
"ALG","15-16","CIP","52.0901","132"
"ALG","12-13","CIP","52.0903","84"
"ALG","13-14","CIP","52.0903","85"
"ALG","14-15","CIP","52.0903","72"
"ALG","15-16","CIP","52.0903","87"
"ALG","12-13","CIP","52.0904","217"
"ALG","13-14","CIP","52.0904","207"
"ALG","14-15","CIP","52.0904","203"
"ALG","15-16","CIP","52.0904","177"
"ALG","12-13","CIP","52.1001","0"
"ALG","13-14","CIP","52.1001","60"
"ALG","14-15","CIP","52.1001","57"
"ALG","15-16","CIP","52.1001","116"
"ALG","12-13","CIP","52.1003",
"ALG","13-14","CIP","52.1003","11"
"ALG","14-15","CIP","52.1003",
"ALG","15-16","CIP","52.1003",
"ALG","12-13","CIP","52.1101","0"
"ALG","13-14","CIP","52.1101","79"
"ALG","14-15","CIP","52.1101","23"
"ALG","15-16","CIP","52.1101","67"
"ALG","12-13","CIP","52.1401","348"
"ALG","13-14","CIP","52.1401","386"
"ALG","14-15","CIP","52.1401","358"
"ALG","15-16","CIP","52.1401","349"
"ALG","12-13","CIP","52.1402",
"ALG","13-14","CIP","52.1402","16"
"ALG","14-15","CIP","52.1402","24"
"ALG","15-16","CIP","52.1402","19"
"ALG","12-13","CIP","52.1905","172"
"ALG","13-14","CIP","52.1905","189"
"ALG","14-15","CIP","52.1905","177"
"ALG","15-16","CIP","52.1905","180"
"ALG","12-13","CIP","NC","2492"
"ALG","13-14","CIP","NC","1168"
"ALG","14-15","CIP","NC","1658"
"ALG","15-16","CIP","NC","776"
"BOR","12-13","CIP","01.0301",
"BOR","13-14","CIP","01.0301",
"BOR","14-15","CIP","01.0301","29"
"BOR","15-16","CIP","01.0301",
"BOR","12-13","CIP","03.0601","44"
"BOR","13-14","CIP","03.0601","26"
"BOR","14-15","CIP","03.0601","30"
"BOR","15-16","CIP","03.0601","31"
"BOR","12-13","CIP","10.0304",
"BOR","13-14","CIP","10.0304","11"
"BOR","14-15","CIP","10.0304","19"
"BOR","15-16","CIP","10.0304",
"BOR","12-13","CIP","12.0301","18"
"BOR","13-14","CIP","12.0301","20"
"BOR","14-15","CIP","12.0301","14"
"BOR","15-16","CIP","12.0301",
"BOR","12-13","CIP","12.0407",
"BOR","13-14","CIP","12.0407","11"
"BOR","14-15","CIP","12.0407","19"
"BOR","15-16","CIP","12.0407","21"
"BOR","12-13","CIP","12.0409","12"
"BOR","13-14","CIP","12.0409","11"
"BOR","14-15","CIP","12.0409",
"BOR","15-16","CIP","12.0409","12"
"BOR","12-13","CIP","12.0500",
"BOR","13-14","CIP","12.0500","11"
"BOR","14-15","CIP","12.0500","15"
"BOR","15-16","CIP","12.0500",
"BOR","12-13","CIP","13.1001","52"
"BOR","13-14","CIP","13.1001","65"
"BOR","14-15","CIP","13.1001","75"
"BOR","15-16","CIP","13.1001","81"
"BOR","12-13","CIP","15.0303","75"
"BOR","13-14","CIP","15.0303","61"
"BOR","14-15","CIP","15.0303","64"
"BOR","15-16","CIP","15.0303","65"
"BOR","12-13","CIP","15.1001","47"
"BOR","13-14","CIP","15.1001","42"
"BOR","14-15","CIP","15.1001","45"
"BOR","15-16","CIP","15.1001","39"
"BOR","12-13","CIP","15.1201",
"BOR","13-14","CIP","15.1201","20"
"BOR","14-15","CIP","15.1201",
"BOR","15-16","CIP","15.1201","13"
"BOR","12-13","CIP","15.1202",
"BOR","13-14","CIP","15.1202",
"BOR","14-15","CIP","15.1202","23"
"BOR","15-16","CIP","15.1202","19"
"BOR","12-13","CIP","19.0709","134"
"BOR","13-14","CIP","19.0709","127"
"BOR","14-15","CIP","19.0709","149"
"BOR","15-16","CIP","19.0709","169"
"BOR","12-13","CIP","22.0302","39"
"BOR","13-14","CIP","22.0302","29"
"BOR","14-15","CIP","22.0302","29"
"BOR","15-16","CIP","22.0302","24"
"BOR","12-13","CIP","24.0102","12"
"BOR","13-14","CIP","24.0102",
"BOR","14-15","CIP","24.0102","15"
"BOR","15-16","CIP","24.0102",
"BOR","12-13","CIP","31.0501","20"
"BOR","13-14","CIP","31.0501","16"
"BOR","14-15","CIP","31.0501","14"
"BOR","15-16","CIP","31.0501","17"
"BOR","12-13","CIP","41.0399","11"
"BOR","13-14","CIP","41.0399","16"
"BOR","14-15","CIP","41.0399",
"BOR","15-16","CIP","41.0399",
"BOR","12-13","CIP","43.0102","13"
"BOR","13-14","CIP","43.0102",
"BOR","14-15","CIP","43.0102",
"BOR","15-16","CIP","43.0102",
"BOR","12-13","CIP","43.0107","52"
"BOR","13-14","CIP","43.0107","37"
"BOR","14-15","CIP","43.0107","30"
"BOR","15-16","CIP","43.0107","27"
"BOR","12-13","CIP","44.0701","116"
"BOR","13-14","CIP","44.0701","125"
"BOR","14-15","CIP","44.0701","92"
"BOR","15-16","CIP","44.0701","74"
"BOR","12-13","CIP","46.0201",
"BOR","13-14","CIP","46.0201","10"
"BOR","14-15","CIP","46.0201",
"BOR","15-16","CIP","46.0201","21"
"BOR","12-13","CIP","46.0302","46"
"BOR","13-14","CIP","46.0302","54"
"BOR","14-15","CIP","46.0302","47"
"BOR","15-16","CIP","46.0302","39"
"BOR","12-13","CIP","47.0302","30"
"BOR","13-14","CIP","47.0302","12"
"BOR","14-15","CIP","47.0302","40"
"BOR","15-16","CIP","47.0302","45"
"BOR","12-13","CIP","47.0303","12"
"BOR","13-14","CIP","47.0303","57"
"BOR","14-15","CIP","47.0303","32"
"BOR","15-16","CIP","47.0303","28"
"BOR","12-13","CIP","48.0508","15"
"BOR","13-14","CIP","48.0508","21"
"BOR","14-15","CIP","48.0508","21"
"BOR","15-16","CIP","48.0508","17"
"BOR","12-13","CIP","50.0502",
"BOR","13-14","CIP","50.0502","13"
"BOR","14-15","CIP","50.0502",
"BOR","15-16","CIP","50.0502","13"
"BOR","12-13","CIP","51.0602",
"BOR","13-14","CIP","51.0602","37"
"BOR","14-15","CIP","51.0602","27"
"BOR","15-16","CIP","51.0602","21"
"BOR","12-13","CIP","51.0805","16"
"BOR","13-14","CIP","51.0805","17"
"BOR","14-15","CIP","51.0805","22"
"BOR","15-16","CIP","51.0805","15"
"BOR","12-13","CIP","51.0806","24"
"BOR","13-14","CIP","51.0806","18"
"BOR","14-15","CIP","51.0806","15"
"BOR","15-16","CIP","51.0806","16"
"BOR","12-13","CIP","51.0808","101"
"BOR","13-14","CIP","51.0808","97"
"BOR","14-15","CIP","51.0808","97"
"BOR","15-16","CIP","51.0808","106"
"BOR","12-13","CIP","51.0904","34"
"BOR","13-14","CIP","51.0904","25"
"BOR","14-15","CIP","51.0904","26"
"BOR","15-16","CIP","51.0904","30"
"BOR","12-13","CIP","51.0907","76"
"BOR","13-14","CIP","51.0907","75"
"BOR","14-15","CIP","51.0907","75"
"BOR","15-16","CIP","51.0907","74"
"BOR","12-13","CIP","51.0910",
"BOR","13-14","CIP","51.0910","11"
"BOR","14-15","CIP","51.0910","14"
"BOR","15-16","CIP","51.0910","15"
"BOR","12-13","CIP","51.1199","41"
"BOR","13-14","CIP","51.1199","49"
"BOR","14-15","CIP","51.1199","53"
"BOR","15-16","CIP","51.1199","34"
"BOR","12-13","CIP","51.1601","19"
"BOR","13-14","CIP","51.1601","18"
"BOR","14-15","CIP","51.1601","16"
"BOR","15-16","CIP","51.1601","11"
"BOR","12-13","CIP","51.1613","164"
"BOR","13-14","CIP","51.1613","166"
"BOR","14-15","CIP","51.1613","129"
"BOR","15-16","CIP","51.1613","93"
"BOR","12-13","CIP","51.2601","25"
"BOR","13-14","CIP","51.2601","19"
"BOR","14-15","CIP","51.2601","22"
"BOR","15-16","CIP","51.2601","26"
"BOR","12-13","CIP","51.3501","22"
"BOR","13-14","CIP","51.3501","23"
"BOR","14-15","CIP","51.3501","32"
"BOR","15-16","CIP","51.3501","30"
"BOR","12-13","CIP","52.0101","47"
"BOR","13-14","CIP","52.0101","59"
"BOR","14-15","CIP","52.0101","20"
"BOR","15-16","CIP","52.0101",
"BOR","12-13","CIP","52.0305","27"
"BOR","13-14","CIP","52.0305","28"
"BOR","14-15","CIP","52.0305","56"
"BOR","15-16","CIP","52.0305","91"
"BOR","12-13","CIP","52.0401",
"BOR","13-14","CIP","52.0401","15"
"BOR","14-15","CIP","52.0401","15"
"BOR","15-16","CIP","52.0401","11"
"BOR","12-13","CIP","52.0408","27"
"BOR","13-14","CIP","52.0408","33"
"BOR","14-15","CIP","52.0408","24"
"BOR","15-16","CIP","52.0408","30"
"BOR","12-13","CIP","NC","131"
"BOR","13-14","CIP","NC","0"
"BOR","14-15","CIP","NC","0"
"BOR","15-16","CIP","NC","10"
"CAM","12-13","CIP","03.0299",
"CAM","13-14","CIP","03.0299","0"
"CAM","14-15","CIP","03.0299",
"CAM","15-16","CIP","03.0299","26"
"CAM","12-13","CIP","09.0401","15"
"CAM","13-14","CIP","09.0401",
"CAM","14-15","CIP","09.0401",
"CAM","15-16","CIP","09.0401",
"CAM","12-13","CIP","09.0902","81"
"CAM","13-14","CIP","09.0902",
"CAM","14-15","CIP","09.0902",
"CAM","15-16","CIP","09.0902","80"
"CAM","12-13","CIP","10.0304",
"CAM","13-14","CIP","10.0304",
"CAM","14-15","CIP","10.0304",
"CAM","15-16","CIP","10.0304","51"
"CAM","12-13","CIP","11.0501","12"
"CAM","13-14","CIP","11.0501",
"CAM","14-15","CIP","11.0501",
"CAM","15-16","CIP","11.0501",
"CAM","12-13","CIP","11.1001",
"CAM","13-14","CIP","11.1001",
"CAM","14-15","CIP","11.1001",
"CAM","15-16","CIP","11.1001","27"
"CAM","12-13","CIP","15.0201","136"
"CAM","13-14","CIP","15.0201",
"CAM","14-15","CIP","15.0201",
"CAM","15-16","CIP","15.0201","155"
"CAM","12-13","CIP","15.0303","102"
"CAM","13-14","CIP","15.0303",
"CAM","14-15","CIP","15.0303",
"CAM","15-16","CIP","15.0303","253"
"CAM","12-13","CIP","15.0503","29"
"CAM","13-14","CIP","15.0503",
"CAM","14-15","CIP","15.0503",
"CAM","15-16","CIP","15.0503",
"CAM","12-13","CIP","15.0901","86"
"CAM","13-14","CIP","15.0901","0"
"CAM","14-15","CIP","15.0901",
"CAM","15-16","CIP","15.0901","94"
"CAM","12-13","CIP","15.1202","56"
"CAM","13-14","CIP","15.1202",
"CAM","14-15","CIP","15.1202",
"CAM","15-16","CIP","15.1202","64"
"CAM","12-13","CIP","19.0707","58"
"CAM","13-14","CIP","19.0707",
"CAM","14-15","CIP","19.0707",
"CAM","15-16","CIP","19.0707","67"
"CAM","12-13","CIP","19.0709","170"
"CAM","13-14","CIP","19.0709",
"CAM","14-15","CIP","19.0709",
"CAM","15-16","CIP","19.0709","178"
"CAM","12-13","CIP","21.0101","28"
"CAM","13-14","CIP","21.0101",
"CAM","14-15","CIP","21.0101",
"CAM","15-16","CIP","21.0101","47"
"CAM","12-13","CIP","24.0102","99"
"CAM","13-14","CIP","24.0102","0"
"CAM","14-15","CIP","24.0102",
"CAM","15-16","CIP","24.0102","97"
"CAM","12-13","CIP","31.0501","117"
"CAM","13-14","CIP","31.0501","0"
"CAM","14-15","CIP","31.0501",
"CAM","15-16","CIP","31.0501","72"
"CAM","12-13","CIP","41.0301","46"
"CAM","13-14","CIP","41.0301","0"
"CAM","14-15","CIP","41.0301",
"CAM","15-16","CIP","41.0301","86"
"CAM","12-13","CIP","43.0102","42"
"CAM","13-14","CIP","43.0102",
"CAM","14-15","CIP","43.0102",
"CAM","15-16","CIP","43.0102",
"CAM","12-13","CIP","43.0107","120"
"CAM","13-14","CIP","43.0107",
"CAM","14-15","CIP","43.0107",
"CAM","15-16","CIP","43.0107","82"
"CAM","12-13","CIP","43.0109",
"CAM","13-14","CIP","43.0109",
"CAM","14-15","CIP","43.0109",
"CAM","15-16","CIP","43.0109","11"
"CAM","12-13","CIP","43.0199",
"CAM","13-14","CIP","43.0199",
"CAM","14-15","CIP","43.0199",
"CAM","15-16","CIP","43.0199","47"
"CAM","12-13","CIP","43.0203","16"
"CAM","13-14","CIP","43.0203","0"
"CAM","14-15","CIP","43.0203",
"CAM","15-16","CIP","43.0203","21"
"CAM","12-13","CIP","44.0701","137"
"CAM","13-14","CIP","44.0701",
"CAM","14-15","CIP","44.0701",
"CAM","15-16","CIP","44.0701","104"
"CAM","12-13","CIP","44.0702","109"
"CAM","13-14","CIP","44.0702","0"
"CAM","14-15","CIP","44.0702",
"CAM","15-16","CIP","44.0702","32"
"CAM","12-13","CIP","46.0201",
"CAM","13-14","CIP","46.0201",
"CAM","14-15","CIP","46.0201",
"CAM","15-16","CIP","46.0201","20"
"CAM","12-13","CIP","46.0302","121"
"CAM","13-14","CIP","46.0302","0"
"CAM","14-15","CIP","46.0302",
"CAM","15-16","CIP","46.0302",
"CAM","12-13","CIP","46.0303","43"
"CAM","13-14","CIP","46.0303","0"
"CAM","14-15","CIP","46.0303",
"CAM","15-16","CIP","46.0303","48"
"CAM","12-13","CIP","47.0201","85"
"CAM","13-14","CIP","47.0201",
"CAM","14-15","CIP","47.0201",
"CAM","15-16","CIP","47.0201","113"
"CAM","12-13","CIP","47.0302","93"
"CAM","13-14","CIP","47.0302",
"CAM","14-15","CIP","47.0302",
"CAM","15-16","CIP","47.0302","122"
"CAM","12-13","CIP","47.0303","120"
"CAM","13-14","CIP","47.0303","0"
"CAM","14-15","CIP","47.0303",
"CAM","15-16","CIP","47.0303","149"
"CAM","12-13","CIP","47.0501","113"
"CAM","13-14","CIP","47.0501","0"
"CAM","14-15","CIP","47.0501",
"CAM","15-16","CIP","47.0501","124"
"CAM","12-13","CIP","47.0604","26"
"CAM","13-14","CIP","47.0604",
"CAM","14-15","CIP","47.0604",
"CAM","15-16","CIP","47.0604","56"
"CAM","12-13","CIP","48.0508","54"
"CAM","13-14","CIP","48.0508",
"CAM","14-15","CIP","48.0508",
"CAM","15-16","CIP","48.0508","53"
"CAM","12-13","CIP","50.0409","80"
"CAM","13-14","CIP","50.0409",
"CAM","14-15","CIP","50.0409",
"CAM","15-16","CIP","50.0409","51"
"CAM","12-13","CIP","50.0502","30"
"CAM","13-14","CIP","50.0502",
"CAM","14-15","CIP","50.0502",
"CAM","15-16","CIP","50.0502","26"
"CAM","12-13","CIP","50.0701",
"CAM","13-14","CIP","50.0701",
"CAM","14-15","CIP","50.0701",
"CAM","15-16","CIP","50.0701","19"
"CAM","12-13","CIP","50.0901","69"
"CAM","13-14","CIP","50.0901",
"CAM","14-15","CIP","50.0901",
"CAM","15-16","CIP","50.0901","63"
"CAM","12-13","CIP","51.0601","15"
"CAM","13-14","CIP","51.0601","0"
"CAM","14-15","CIP","51.0601",
"CAM","15-16","CIP","51.0601","28"
"CAM","12-13","CIP","51.0602","75"
"CAM","13-14","CIP","51.0602",
"CAM","14-15","CIP","51.0602",
"CAM","15-16","CIP","51.0602","103"
"CAM","12-13","CIP","51.0904","88"
"CAM","13-14","CIP","51.0904",
"CAM","14-15","CIP","51.0904",
"CAM","15-16","CIP","51.0904","97"
"CAM","12-13","CIP","51.0907","103"
"CAM","13-14","CIP","51.0907","0"
"CAM","14-15","CIP","51.0907",
"CAM","15-16","CIP","51.0907","92"
"CAM","12-13","CIP","51.0910",
"CAM","13-14","CIP","51.0910","0"
"CAM","14-15","CIP","51.0910",
"CAM","15-16","CIP","51.0910","57"
"CAM","12-13","CIP","51.0911",
"CAM","13-14","CIP","51.0911",
"CAM","14-15","CIP","51.0911",
"CAM","15-16","CIP","51.0911","13"
"CAM","12-13","CIP","51.1005","105"
"CAM","13-14","CIP","51.1005",
"CAM","14-15","CIP","51.1005",
"CAM","15-16","CIP","51.1005","118"
"CAM","12-13","CIP","51.1199","236"
"CAM","13-14","CIP","51.1199","0"
"CAM","14-15","CIP","51.1199",
"CAM","15-16","CIP","51.1199","228"
"CAM","12-13","CIP","51.1601","308"
"CAM","13-14","CIP","51.1601",
"CAM","14-15","CIP","51.1601",
"CAM","15-16","CIP","51.1601","310"
"CAM","12-13","CIP","51.1613","96"
"CAM","13-14","CIP","51.1613",
"CAM","14-15","CIP","51.1613",
"CAM","15-16","CIP","51.1613","140"
"CAM","12-13","CIP","51.2601","31"
"CAM","13-14","CIP","51.2601",
"CAM","14-15","CIP","51.2601",
"CAM","15-16","CIP","51.2601","43"
"CAM","12-13","CIP","52.0101","62"
"CAM","13-14","CIP","52.0101","0"
