"School","Year","Level","Metric","Value","Headcount"
"CAR","13-14","G","Age","45-49",87
"CAR","13-14","U","Age","45-49",30
"CAR","14-15","G","Age","45-49",64
"CAR","14-15","U","Age","45-49",30
"CAR","15-16","G","Age","45-49",67
"CAR","15-16","U","Age","45-49",27
"CAR","12-13","G","Age","50-54",43
"CAR","12-13","U","Age","50-54",20
"CAR","13-14","G","Age","50-54",53
"CAR","13-14","U","Age","50-54",23
"CAR","14-15","G","Age","50-54",59
"CAR","14-15","U","Age","50-54",13
"CAR","15-16","G","Age","50-54",58
"CAR","15-16","U","Age","50-54",14
"CAR","12-13","G","Age","55-59",26
"CAR","12-13","U","Age","55-59",10
"CAR","13-14","G","Age","55-59",27
"CAR","14-15","G","Age","55-59",25
"CAR","14-15","U","Age","55-59",10
"CAR","15-16","G","Age","55-59",16
"CAR","12-13","G","Age","60+",14
"CAR","13-14","G","Age","60+",22
"CAR","14-15","G","Age","60+",21
"CAR","15-16","G","Age","60+",27
"DOM","12-13","U","Age","20-24",17
"DOM","12-13","U","Age","25-29",11
"DOM","12-13","G","Age","35-39",13
"GUE","12-13","U","Age","0-17",48
"GUE","13-14","U","Age","0-17",49
"GUE","14-15","U","Age","0-17",60
"GUE","15-16","U","Age","0-17",61
"GUE","12-13","U","Age","18-19",9244
"GUE","13-14","U","Age","18-19",9166
"GUE","14-15","U","Age","18-19",9356
"GUE","15-16","U","Age","18-19",9900
"GUE","12-13","G","Age","20-24",795
"GUE","12-13","U","Age","20-24",12367
"GUE","13-14","G","Age","20-24",751
"GUE","13-14","U","Age","20-24",12636
"GUE","14-15","G","Age","20-24",764
"GUE","14-15","U","Age","20-24",12710
"GUE","15-16","G","Age","20-24",800
"GUE","15-16","U","Age","20-24",12866
"GUE","12-13","G","Age","25-29",853
"GUE","12-13","U","Age","25-29",654
"GUE","13-14","G","Age","25-29",853
"GUE","13-14","U","Age","25-29",667
"GUE","14-15","G","Age","25-29",834
"GUE","14-15","U","Age","25-29",633
"GUE","15-16","G","Age","25-29",801
"GUE","15-16","U","Age","25-29",707
