"School","Year","Level","Metric","Value","Headcount"
"TOR","15-16","U","CIP","30.2202",167
"TOR","15-16","G","CIP","30.2202",88
"TOR","12-13","U","CIP","30.2401",474
"TOR","13-14","U","CIP","30.2401",518
"TOR","14-15","U","CIP","30.2401",511
"TOR","15-16","U","CIP","30.2401",527
"TOR","12-13","U","CIP","30.2501",95
"TOR","13-14","U","CIP","30.2501",151
"TOR","14-15","U","CIP","30.2501",194
"TOR","15-16","U","CIP","30.2501",148
"TOR","12-13","U","CIP","30.9999",484
"TOR","13-14","U","CIP","30.9999",557
"TOR","14-15","U","CIP","30.9999",635
"TOR","14-15","G","CIP","30.9999",27
"TOR","15-16","U","CIP","30.9999",719
"TOR","15-16","G","CIP","30.9999",55
"TOR","12-13","U","CIP","31.0501",560
"TOR","13-14","U","CIP","31.0501",596
"TOR","14-15","U","CIP","31.0501",599
"TOR","15-16","U","CIP","31.0501",92
"TOR","12-13","U","CIP","31.0505",286
"TOR","12-13","G","CIP","31.0505",64
"TOR","13-14","U","CIP","31.0505",319
"TOR","13-14","G","CIP","31.0505",75
"TOR","14-15","U","CIP","31.0505",361
"TOR","14-15","G","CIP","31.0505",92
"TOR","15-16","U","CIP","31.0505",894
"TOR","15-16","G","CIP","31.0505",98
"TOR","12-13","U","CIP","38.0101",935
"TOR","12-13","G","CIP","38.0101",85
"TOR","13-14","U","CIP","38.0101",851
"TOR","13-14","G","CIP","38.0101",86
"TOR","14-15","U","CIP","38.0101",846
"TOR","14-15","G","CIP","38.0101",82
"TOR","15-16","U","CIP","38.0101",862
"TOR","15-16","G","CIP","38.0101",85
"TOR","12-13","U","CIP","38.0102",16
"TOR","13-14","U","CIP","38.0102",20
"TOR","12-13","U","CIP","38.0103",89
"TOR","13-14","U","CIP","38.0103",80
"TOR","14-15","U","CIP","38.0103",75
"TOR","15-16","U","CIP","38.0103",83
"TOR","12-13","U","CIP","38.0199",84
"TOR","13-14","U","CIP","38.0199",78
"TOR","14-15","U","CIP","38.0199",78
"TOR","15-16","U","CIP","38.0199",69
"TOR","12-13","U","CIP","38.0201",576
"TOR","12-13","G","CIP","38.0201",81
"TOR","13-14","U","CIP","38.0201",538
"TOR","13-14","G","CIP","38.0201",85
"TOR","14-15","U","CIP","38.0201",466
"TOR","14-15","G","CIP","38.0201",87
"TOR","15-16","U","CIP","38.0201",438
"TOR","15-16","G","CIP","38.0201",86
"TOR","12-13","U","CIP","38.0203",89
"TOR","13-14","U","CIP","38.0203",87
"TOR","14-15","U","CIP","38.0203",72
"TOR","15-16","U","CIP","38.0203",46
"TOR","13-14","U","CIP","38.0205",10
"TOR","12-13","U","CIP","38.0206",13
"TOR","13-14","U","CIP","38.0206",16
"TOR","14-15","U","CIP","38.0206",12
"TOR","15-16","U","CIP","38.0206",14
"TOR","12-13","U","CIP","39.0601",44
"TOR","12-13","G","CIP","39.0601",290
"TOR","13-14","U","CIP","39.0601",50
"TOR","13-14","G","CIP","39.0601",265
"TOR","14-15","U","CIP","39.0601",31
"TOR","14-15","G","CIP","39.0601",246
"TOR","15-16","U","CIP","39.0601",41
"TOR","15-16","G","CIP","39.0601",270
"TOR","12-13","U","CIP","39.0602",181
"TOR","12-13","G","CIP","39.0602",44
"TOR","13-14","U","CIP","39.0602",184
"TOR","13-14","G","CIP","39.0602",45
"TOR","14-15","U","CIP","39.0602",171
"TOR","14-15","G","CIP","39.0602",45
"TOR","15-16","U","CIP","39.0602",170
"TOR","15-16","G","CIP","39.0602",43
"TOR","12-13","U","CIP","40.0201",67
"TOR","12-13","G","CIP","40.0201",38
"TOR","13-14","U","CIP","40.0201",78
"TOR","13-14","G","CIP","40.0201",35
"TOR","14-15","U","CIP","40.0201",133
"TOR","14-15","G","CIP","40.0201",41
"TOR","15-16","U","CIP","40.0201",188
"TOR","15-16","G","CIP","40.0201",40
"TOR","12-13","U","CIP","40.0299",99
"TOR","13-14","U","CIP","40.0299",113
"TOR","14-15","U","CIP","40.0299",146
"TOR","15-16","U","CIP","40.0299",147
"TOR","12-13","U","CIP","40.0501",365
"TOR","12-13","G","CIP","40.0501",268
"TOR","13-14","U","CIP","40.0501",335
"TOR","13-14","G","CIP","40.0501",278
"TOR","14-15","U","CIP","40.0501",421
"TOR","14-15","G","CIP","40.0501",272
"TOR","15-16","U","CIP","40.0501",493
"TOR","15-16","G","CIP","40.0501",239
"TOR","12-13","U","CIP","40.0508",12
"TOR","13-14","U","CIP","40.0508",12
"TOR","14-15","U","CIP","40.0508",14
"TOR","12-13","U","CIP","40.0599",24
"TOR","13-14","U","CIP","40.0599",16
"TOR","14-15","U","CIP","40.0599",10
"TOR","15-16","U","CIP","40.0599",17
"TOR","12-13","U","CIP","40.0601",181
"TOR","12-13","G","CIP","40.0601",47
"TOR","13-14","U","CIP","40.0601",149
"TOR","13-14","G","CIP","40.0601",55
"TOR","14-15","U","CIP","40.0601",117
"TOR","14-15","G","CIP","40.0601",56
"TOR","15-16","U","CIP","40.0601",107
"TOR","15-16","G","CIP","40.0601",42
"TOR","12-13","U","CIP","40.0604",72
"TOR","13-14","U","CIP","40.0604",82
"TOR","14-15","U","CIP","40.0604",101
"TOR","15-16","U","CIP","40.0604",54
"TOR","12-13","U","CIP","40.0699",21
"TOR","13-14","U","CIP","40.0699",22
"TOR","14-15","U","CIP","40.0699",23
"TOR","15-16","U","CIP","40.0699",34
"TOR","12-13","U","CIP","40.0801",164
"TOR","12-13","G","CIP","40.0801",171
"TOR","13-14","U","CIP","40.0801",151
"TOR","13-14","G","CIP","40.0801",179
"TOR","14-15","U","CIP","40.0801",173
"TOR","14-15","G","CIP","40.0801",171
"TOR","15-16","U","CIP","40.0801",185
"TOR","15-16","G","CIP","40.0801",180
"TOR","12-13","U","CIP","42.0101",2866
"TOR","12-13","G","CIP","42.0101",150
"TOR","13-14","U","CIP","42.0101",2774
"TOR","13-14","G","CIP","42.0101",150
"TOR","14-15","U","CIP","42.0101",2643
"TOR","14-15","G","CIP","42.0101",162
"TOR","15-16","U","CIP","42.0101",2458
"TOR","15-16","G","CIP","42.0101",149
"TOR","14-15","G","CIP","42.0201",10
"TOR","15-16","G","CIP","42.0201",15
"TOR","12-13","U","CIP","42.0301",21
"TOR","13-14","U","CIP","42.0301",22
"TOR","14-15","U","CIP","42.0301",33
"TOR","15-16","U","CIP","42.0301",32
"TOR","12-13","G","CIP","42.0601",92
"TOR","13-14","G","CIP","42.0601",100
"TOR","14-15","G","CIP","42.0601",99
"TOR","15-16","G","CIP","42.0601",108
"TOR","12-13","U","CIP","42.0701",23
"TOR","13-14","U","CIP","42.0701",25
"TOR","14-15","U","CIP","42.0701",26
"TOR","15-16","U","CIP","42.0701",27
"TOR","12-13","G","CIP","42.1701",68
"TOR","13-14","G","CIP","42.1701",65
"TOR","14-15","G","CIP","42.1701",62
"TOR","15-16","G","CIP","42.1701",65
"TOR","12-13","G","CIP","42.1801",20
"TOR","13-14","G","CIP","42.1801",31
"TOR","14-15","G","CIP","42.1801",19
"TOR","15-16","G","CIP","42.1801",14
"TOR","13-14","U","CIP","42.9999",10
"TOR","14-15","U","CIP","42.9999",10
"TOR","12-13","U","CIP","43.0106",44
"TOR","13-14","U","CIP","43.0106",50
"TOR","14-15","U","CIP","43.0106",61
"TOR","15-16","U","CIP","43.0106",80
"TOR","12-13","U","CIP","44.0501",77
"TOR","12-13","G","CIP","44.0501",101
"TOR","13-14","U","CIP","44.0501",83
"TOR","13-14","G","CIP","44.0501",140
"TOR","14-15","U","CIP","44.0501",88
"TOR","14-15","G","CIP","44.0501",161
"TOR","15-16","U","CIP","44.0501",106
"TOR","15-16","G","CIP","44.0501",163
"TOR","12-13","G","CIP","44.0701",427
"TOR","13-14","G","CIP","44.0701",443
"TOR","14-15","G","CIP","44.0701",440
"TOR","15-16","G","CIP","44.0701",443
"TOR","12-13","U","CIP","45.0201",389
"TOR","12-13","G","CIP","45.0201",166
"TOR","13-14","U","CIP","45.0201",443
"TOR","13-14","G","CIP","45.0201",160
"TOR","14-15","U","CIP","45.0201",443
"TOR","14-15","G","CIP","45.0201",186
"TOR","15-16","U","CIP","45.0201",458
"TOR","15-16","G","CIP","45.0201",174
"TOR","12-13","U","CIP","45.0301",79
"TOR","13-14","U","CIP","45.0301",83
"TOR","14-15","U","CIP","45.0301",73
"TOR","15-16","U","CIP","45.0301",70
"TOR","12-13","U","CIP","45.0401",366
"TOR","12-13","G","CIP","45.0401",38
"TOR","13-14","U","CIP","45.0401",382
"TOR","13-14","G","CIP","45.0401",39
"TOR","14-15","U","CIP","45.0401",405
"TOR","14-15","G","CIP","45.0401",41
"TOR","15-16","U","CIP","45.0401",435
"TOR","15-16","G","CIP","45.0401",42
"TOR","12-13","U","CIP","45.0601",785
"TOR","12-13","G","CIP","45.0601",143
"TOR","13-14","U","CIP","45.0601",675
"TOR","13-14","G","CIP","45.0601",145
"TOR","14-15","U","CIP","45.0601",659
"TOR","14-15","G","CIP","45.0601",145
"TOR","15-16","U","CIP","45.0601",626
"TOR","15-16","G","CIP","45.0601",152
"TOR","12-13","U","CIP","45.0604",136
"TOR","13-14","U","CIP","45.0604",147
"TOR","14-15","U","CIP","45.0604",137
"TOR","15-16","U","CIP","45.0604",135
"TOR","12-13","U","CIP","45.0701",360
"TOR","12-13","G","CIP","45.0701",119
"TOR","13-14","U","CIP","45.0701",339
"TOR","13-14","G","CIP","45.0701",129
"TOR","14-15","U","CIP","45.0701",356
"TOR","14-15","G","CIP","45.0701",130
"TOR","15-16","U","CIP","45.0701",343
"TOR","15-16","G","CIP","45.0701",139
"TOR","12-13","U","CIP","45.0702",51
"TOR","13-14","U","CIP","45.0702",65
"TOR","14-15","U","CIP","45.0702",61
"TOR","15-16","U","CIP","45.0702",90
"TOR","12-13","U","CIP","45.0799",89
"TOR","13-14","U","CIP","45.0799",95
"TOR","14-15","U","CIP","45.0799",83
"TOR","15-16","U","CIP","45.0799",82
"TOR","12-13","U","CIP","45.0901",229
"TOR","13-14","U","CIP","45.0901",228
"TOR","14-15","U","CIP","45.0901",232
"TOR","15-16","U","CIP","45.0901",231
"TOR","12-13","U","CIP","45.1001",775
"TOR","12-13","G","CIP","45.1001",214
"TOR","13-14","U","CIP","45.1001",787
"TOR","13-14","G","CIP","45.1001",223
"TOR","14-15","U","CIP","45.1001",755
"TOR","14-15","G","CIP","45.1001",243
"TOR","15-16","U","CIP","45.1001",776
"TOR","15-16","G","CIP","45.1001",223
"TOR","12-13","U","CIP","45.1101",1258
"TOR","12-13","G","CIP","45.1101",90
"TOR","13-14","U","CIP","45.1101",1221
"TOR","13-14","G","CIP","45.1101",97
"TOR","14-15","U","CIP","45.1101",1324
"TOR","14-15","G","CIP","45.1101",112
"TOR","15-16","U","CIP","45.1101",1369
"TOR","15-16","G","CIP","45.1101",110
"TOR","12-13","U","CIP","45.1201",185
"TOR","13-14","U","CIP","45.1201",212
"TOR","14-15","U","CIP","45.1201",227
"TOR","15-16","U","CIP","45.1201",251
"TOR","12-13","U","CIP","50.0501",151
"TOR","12-13","G","CIP","50.0501",55
"TOR","13-14","U","CIP","50.0501",155
"TOR","13-14","G","CIP","50.0501",59
"TOR","14-15","U","CIP","50.0501",164
"TOR","14-15","G","CIP","50.0501",59
"TOR","15-16","U","CIP","50.0501",154
"TOR","15-16","G","CIP","50.0501",54
"TOR","12-13","U","CIP","50.0601",178
"TOR","12-13","G","CIP","50.0601",15
"TOR","13-14","U","CIP","50.0601",169
"TOR","13-14","G","CIP","50.0601",20
"TOR","14-15","U","CIP","50.0601",166
"TOR","14-15","G","CIP","50.0601",28
"TOR","15-16","U","CIP","50.0601",181
"TOR","15-16","G","CIP","50.0601",28
"TOR","12-13","U","CIP","50.0702",191
"TOR","12-13","G","CIP","50.0702",16
"TOR","13-14","U","CIP","50.0702",190
"TOR","13-14","G","CIP","50.0702",14
"TOR","14-15","U","CIP","50.0702",174
"TOR","14-15","G","CIP","50.0702",14
"TOR","15-16","U","CIP","50.0702",134
"TOR","15-16","G","CIP","50.0702",14
"TOR","12-13","U","CIP","50.0703",729
"TOR","12-13","G","CIP","50.0703",55
"TOR","13-14","U","CIP","50.0703",693
"TOR","13-14","G","CIP","50.0703",54
"TOR","14-15","U","CIP","50.0703",716
"TOR","14-15","G","CIP","50.0703",53
"TOR","15-16","U","CIP","50.0703",718
"TOR","15-16","G","CIP","50.0703",57
"TOR","12-13","U","CIP","50.0704",55
"TOR","13-14","U","CIP","50.0704",54
"TOR","14-15","U","CIP","50.0704",29
"TOR","15-16","U","CIP","50.0704",14
"TOR","12-13","U","CIP","50.0901",192
"TOR","12-13","G","CIP","50.0901",59
"TOR","13-14","U","CIP","50.0901",183
"TOR","13-14","G","CIP","50.0901",62
"TOR","14-15","U","CIP","50.0901",208
"TOR","14-15","G","CIP","50.0901",66
"TOR","15-16","U","CIP","50.0901",219
"TOR","15-16","G","CIP","50.0901",67
"TOR","12-13","U","CIP","50.0903",279
"TOR","12-13","G","CIP","50.0903",192
"TOR","13-14","U","CIP","50.0903",278
"TOR","13-14","G","CIP","50.0903",196
"TOR","14-15","U","CIP","50.0903",291
"TOR","14-15","G","CIP","50.0903",176
"TOR","15-16","U","CIP","50.0903",281
"TOR","15-16","G","CIP","50.0903",221
"TOR","12-13","U","CIP","50.0905",13
"TOR","13-14","U","CIP","50.0905",15
"TOR","14-15","U","CIP","50.0905",19
"TOR","15-16","U","CIP","50.0905",19
"TOR","12-13","U","CIP","51.0000",16
"TOR","13-14","U","CIP","51.0000",20
"TOR","14-15","U","CIP","51.0000",21
"TOR","15-16","U","CIP","51.0000",32
"TOR","12-13","G","CIP","51.0203",111
"TOR","13-14","G","CIP","51.0203",114
"TOR","14-15","G","CIP","51.0203",115
"TOR","15-16","G","CIP","51.0203",116
"TOR","12-13","U","CIP","51.0401",315
"TOR","13-14","U","CIP","51.0401",344
"TOR","14-15","U","CIP","51.0401",386
"TOR","15-16","U","CIP","51.0401",416
"TOR","12-13","G","CIP","51.0501",42
"TOR","13-14","G","CIP","51.0501",43
"TOR","14-15","G","CIP","51.0501",42
"TOR","15-16","G","CIP","51.0501",34
"TOR","12-13","G","CIP","51.0507",11
"TOR","12-13","G","CIP","51.0508",13
"TOR","13-14","G","CIP","51.0508",15
"TOR","14-15","G","CIP","51.0508",14
"TOR","15-16","G","CIP","51.0508",13
"TOR","12-13","G","CIP","51.0509",12
"TOR","13-14","G","CIP","51.0509",13
"TOR","14-15","G","CIP","51.0509",11
"TOR","15-16","G","CIP","51.0509",11
"TOR","12-13","G","CIP","51.0510",11
"TOR","13-14","G","CIP","51.0510",12
"TOR","14-15","G","CIP","51.0510",11
"TOR","12-13","G","CIP","51.0599",13
"TOR","13-14","G","CIP","51.0599",10
"TOR","12-13","G","CIP","51.0701",297
"TOR","13-14","G","CIP","51.0701",314
"TOR","14-15","G","CIP","51.0701",321
"TOR","15-16","G","CIP","51.0701",344
"TOR","12-13","G","CIP","51.0706",43
"TOR","13-14","G","CIP","51.0706",52
"TOR","14-15","G","CIP","51.0706",55
"TOR","15-16","G","CIP","51.0706",69
"TOR","12-13","U","CIP","51.0904",69
"TOR","13-14","U","CIP","51.0904",80
"TOR","14-15","U","CIP","51.0904",82
"TOR","15-16","U","CIP","51.0904",93
"TOR","12-13","U","CIP","51.0907",316
"TOR","13-14","U","CIP","51.0907",276
"TOR","14-15","U","CIP","51.0907",257
"TOR","15-16","U","CIP","51.0907",265
"TOR","12-13","U","CIP","51.0912",28
"TOR","13-14","U","CIP","51.0912",44
"TOR","14-15","U","CIP","51.0912",88
"TOR","15-16","U","CIP","51.0912",84
"TOR","12-13","U","CIP","51.1201",992
"TOR","13-14","U","CIP","51.1201",1018
"TOR","14-15","U","CIP","51.1201",1032
"TOR","15-16","U","CIP","51.1201",1035
"TOR","12-13","G","CIP","51.1401",462
"TOR","13-14","G","CIP","51.1401",468
"TOR","14-15","G","CIP","51.1401",426
"TOR","15-16","G","CIP","51.1401",433
"TOR","12-13","U","CIP","51.1599",344
"TOR","13-14","U","CIP","51.1599",405
"TOR","14-15","U","CIP","51.1599",422
"TOR","15-16","U","CIP","51.1599",433
"TOR","12-13","U","CIP","51.1601",338
"TOR","13-14","U","CIP","51.1601",348
"TOR","14-15","U","CIP","51.1601",356
"TOR","15-16","U","CIP","51.1601",349
"TOR","12-13","G","CIP","51.1605",119
"TOR","13-14","G","CIP","51.1605",147
"TOR","14-15","G","CIP","51.1605",157
"TOR","15-16","G","CIP","51.1605",160
"TOR","12-13","G","CIP","51.1608",165
"TOR","13-14","G","CIP","51.1608",153
"TOR","14-15","G","CIP","51.1608",155
"TOR","15-16","G","CIP","51.1608",163
"TOR","12-13","U","CIP","51.2001",996
"TOR","13-14","U","CIP","51.2001",975
"TOR","14-15","U","CIP","51.2001",970
"TOR","15-16","U","CIP","51.2001",943
"TOR","12-13","U","CIP","51.2099",74
"TOR","12-13","G","CIP","51.2099",115
"TOR","13-14","U","CIP","51.2099",73
"TOR","13-14","G","CIP","51.2099",127
"TOR","14-15","U","CIP","51.2099",63
"TOR","14-15","G","CIP","51.2099",133
"TOR","15-16","U","CIP","51.2099",63
"TOR","15-16","G","CIP","51.2099",127
"TOR","12-13","G","CIP","51.2201",304
"TOR","13-14","G","CIP","51.2201",302
"TOR","14-15","G","CIP","51.2201",342
"TOR","15-16","G","CIP","51.2201",349
"TOR","12-13","U","CIP","51.2208",178
"TOR","13-14","U","CIP","51.2208",183
"TOR","14-15","U","CIP","51.2208",185
"TOR","15-16","U","CIP","51.2208",187
"TOR","12-13","G","CIP","51.2306",167
"TOR","13-14","G","CIP","51.2306",172
"TOR","14-15","G","CIP","51.2306",191
"TOR","15-16","G","CIP","51.2306",195
"TOR","12-13","G","CIP","51.2308",190
"TOR","13-14","G","CIP","51.2308",174
"TOR","14-15","G","CIP","51.2308",185
"TOR","15-16","G","CIP","51.2308",183
"TOR","12-13","G","CIP","51.2399",69
"TOR","13-14","G","CIP","51.2399",82
"TOR","14-15","G","CIP","51.2399",85
"TOR","15-16","G","CIP","51.2399",81
"TOR","15-16","G","CIP","51.9999",17
"TOR","12-13","U","CIP","52.0101",2793
"TOR","13-14","U","CIP","52.0101",2951
"TOR","14-15","U","CIP","52.0101",2981
"TOR","15-16","U","CIP","52.0101",3225
"TOR","12-13","U","CIP","52.0201",736
"TOR","12-13","G","CIP","52.0201",1159
"TOR","13-14","U","CIP","52.0201",662
"TOR","13-14","G","CIP","52.0201",1249
"TOR","14-15","U","CIP","52.0201",698
"TOR","14-15","G","CIP","52.0201",1269
"TOR","15-16","U","CIP","52.0201",717
"TOR","15-16","G","CIP","52.0201",1281
"TOR","13-14","U","CIP","52.0301",244
"TOR","14-15","U","CIP","52.0301",434
"TOR","15-16","U","CIP","52.0301",598
"TOR","12-13","U","CIP","52.0305",1355
"TOR","12-13","G","CIP","52.0305",161
"TOR","13-14","U","CIP","52.0305",1224
"TOR","13-14","G","CIP","52.0305",171
"TOR","14-15","U","CIP","52.0305",925
"TOR","14-15","G","CIP","52.0305",176
"TOR","15-16","U","CIP","52.0305",746
"TOR","15-16","G","CIP","52.0305",182
"TOR","12-13","G","CIP","52.0601",49
"TOR","13-14","G","CIP","52.0601",48
"TOR","14-15","G","CIP","52.0601",53
"TOR","15-16","G","CIP","52.0601",54
"TOR","12-13","U","CIP","52.0801",1300
"TOR","12-13","G","CIP","52.0801",59
"TOR","13-14","U","CIP","52.0801",1205
"TOR","13-14","G","CIP","52.0801",69
"TOR","14-15","U","CIP","52.0801",1193
"TOR","14-15","G","CIP","52.0801",69
"TOR","15-16","U","CIP","52.0801",1281
"TOR","15-16","G","CIP","52.0801",70
"TOR","12-13","G","CIP","52.0899",32
"TOR","13-14","U","CIP","52.0899",20
"TOR","13-14","G","CIP","52.0899",31
"TOR","14-15","U","CIP","52.0899",37
"TOR","14-15","G","CIP","52.0899",30
"TOR","15-16","U","CIP","52.0899",37
"TOR","15-16","G","CIP","52.0899",26
"TOR","12-13","U","CIP","52.1001",35
"TOR","13-14","U","CIP","52.1001",54
"TOR","14-15","U","CIP","52.1001",37
"TOR","15-16","U","CIP","52.1001",27
"TOR","12-13","U","CIP","52.1002",57
"TOR","12-13","G","CIP","52.1002",66
"TOR","13-14","U","CIP","52.1002",33
"TOR","13-14","G","CIP","52.1002",75
"TOR","14-15","U","CIP","52.1002",13
"TOR","14-15","G","CIP","52.1002",64
"TOR","15-16","G","CIP","52.1002",62
"TOR","12-13","U","CIP","52.1004",39
"TOR","13-14","U","CIP","52.1004",35
"TOR","14-15","U","CIP","52.1004",36
"TOR","15-16","U","CIP","52.1004",44
"TOR","13-14","U","CIP","52.1101",15
"TOR","14-15","U","CIP","52.1101",31
"TOR","15-16","U","CIP","52.1101",41
"TOR","12-13","U","CIP","52.1201",11
"TOR","13-14","U","CIP","52.1201",10
"TOR","14-15","U","CIP","52.1201",14
"TOR","15-16","U","CIP","52.1201",14
"TOR","12-13","U","CIP","52.1304",222
"TOR","13-14","U","CIP","52.1304",250
"TOR","14-15","U","CIP","52.1304",220
"TOR","15-16","U","CIP","52.1304",217
"TOR","12-13","U","CIP","52.1401",104
"TOR","13-14","U","CIP","52.1401",141
"TOR","14-15","U","CIP","52.1401",138
"TOR","15-16","U","CIP","52.1401",162
"TOR","12-13","U","CIP","52.9999",15
"TOR","13-14","U","CIP","52.9999",18
"TOR","14-15","U","CIP","52.9999",21
"TOR","15-16","U","CIP","52.9999",27
"TOR","12-13","U","CIP","53.0102",57
"TOR","13-14","U","CIP","53.0102",58
"TOR","14-15","U","CIP","53.0102",52
"TOR","15-16","U","CIP","53.0102",48
"TOR","13-14","U","CIP","53.0201",11
"TOR","12-13","U","CIP","54.0101",1450
"TOR","12-13","G","CIP","54.0101",154
"TOR","13-14","U","CIP","54.0101",1353
"TOR","13-14","G","CIP","54.0101",154
"TOR","14-15","U","CIP","54.0101",1186
"TOR","14-15","G","CIP","54.0101",159
"TOR","15-16","U","CIP","54.0101",1131
"TOR","15-16","G","CIP","54.0101",152
"TOR","12-13","U","CIP","54.0104",14
"TOR","12-13","G","CIP","54.0104",46
"TOR","13-14","U","CIP","54.0104",13
"TOR","13-14","G","CIP","54.0104",42
"TOR","14-15","U","CIP","54.0104",19
"TOR","14-15","G","CIP","54.0104",45
"TOR","15-16","U","CIP","54.0104",23
"TOR","15-16","G","CIP","54.0104",42
"TOR","12-13","U","CIP","55.0101",316
"TOR","12-13","G","CIP","55.0101",60
"TOR","13-14","U","CIP","55.0101",285
"TOR","13-14","G","CIP","55.0101",56
"TOR","14-15","U","CIP","55.0101",242
"TOR","14-15","G","CIP","55.0101",56
"TOR","15-16","U","CIP","55.0101",201
"TOR","15-16","G","CIP","55.0101",49
"TOR","12-13","U","CIP","60.0101",12
"TOR","13-14","U","CIP","60.0101",13
"TOR","14-15","U","CIP","60.0101",12
"TOR","15-16","U","CIP","60.0101",12
"TOR","12-13","U","CIP","60.0202",10
"TOR","12-13","U","CIP","60.0203",180
"TOR","13-14","U","CIP","60.0203",186
"TOR","14-15","U","CIP","60.0203",198
"TOR","15-16","U","CIP","60.0203",192
"TOR","12-13","U","CIP","60.0205",92
"TOR","13-14","U","CIP","60.0205",100
"TOR","14-15","U","CIP","60.0205",102
"TOR","15-16","U","CIP","60.0205",109
"TOR","12-13","U","CIP","60.0211",66
"TOR","13-14","U","CIP","60.0211",60
"TOR","14-15","U","CIP","60.0211",71
"TOR","15-16","U","CIP","60.0211",72
"TOR","12-13","U","CIP","60.0213",41
"TOR","13-14","U","CIP","60.0213",41
"TOR","14-15","U","CIP","60.0213",44
"TOR","15-16","U","CIP","60.0213",48
"TOR","12-13","U","CIP","60.0215",123
"TOR","13-14","U","CIP","60.0215",120
"TOR","14-15","U","CIP","60.0215",116
"TOR","15-16","U","CIP","60.0215",123
"TOR","12-13","U","CIP","60.0216",68
"TOR","13-14","U","CIP","60.0216",62
"TOR","14-15","U","CIP","60.0216",67
"TOR","15-16","U","CIP","60.0216",68
"TOR","12-13","U","CIP","60.0217",16
"TOR","13-14","U","CIP","60.0217",15
"TOR","14-15","U","CIP","60.0217",21
"TOR","15-16","U","CIP","60.0217",18
"TOR","12-13","U","CIP","60.0218",326
"TOR","13-14","U","CIP","60.0218",355
"TOR","14-15","U","CIP","60.0218",331
"TOR","15-16","U","CIP","60.0218",335
"TOR","12-13","U","CIP","60.0220",45
"TOR","13-14","U","CIP","60.0220",49
"TOR","14-15","U","CIP","60.0220",43
"TOR","15-16","U","CIP","60.0220",51
"TOR","12-13","U","CIP","60.0221",88
"TOR","13-14","U","CIP","60.0221",84
"TOR","14-15","U","CIP","60.0221",91
"TOR","15-16","U","CIP","60.0221",101
"TOR","14-15","U","CIP","60.0222",10
"TOR","15-16","U","CIP","60.0222",10
"TOR","12-13","U","CIP","60.0224",31
"TOR","13-14","U","CIP","60.0224",30
"TOR","14-15","U","CIP","60.0224",27
"TOR","15-16","U","CIP","60.0224",38
"TOR","12-13","U","CIP","60.0227",23
"TOR","13-14","U","CIP","60.0227",26
"TOR","14-15","U","CIP","60.0227",23
"TOR","15-16","U","CIP","60.0227",28
"TOR","12-13","U","CIP","60.0228",228
"TOR","13-14","U","CIP","60.0228",227
"TOR","14-15","U","CIP","60.0228",242
"TOR","15-16","U","CIP","60.0228",265
"TOR","12-13","U","CIP","60.0231",42
"TOR","13-14","U","CIP","60.0231",43
"TOR","14-15","U","CIP","60.0231",47
"TOR","15-16","U","CIP","60.0231",45
"TOR","12-13","U","CIP","60.0232",35
"TOR","13-14","U","CIP","60.0232",34
"TOR","14-15","U","CIP","60.0232",39
"TOR","15-16","U","CIP","60.0232",44
"TOR","12-13","U","CIP","60.0233",57
"TOR","13-14","U","CIP","60.0233",64
"TOR","14-15","U","CIP","60.0233",59
"TOR","15-16","U","CIP","60.0233",51
"TOR","12-13","U","CIP","60.0234",58
"TOR","13-14","U","CIP","60.0234",68
"TOR","14-15","U","CIP","60.0234",63
"TOR","15-16","U","CIP","60.0234",66
"TOR","12-13","U","CIP","60.0238",105
"TOR","13-14","U","CIP","60.0238",105
"TOR","14-15","U","CIP","60.0238",109
"TOR","15-16","U","CIP","60.0238",115
"TOR","12-13","U","CIP","60.0240",37
"TOR","13-14","U","CIP","60.0240",53
"TOR","14-15","U","CIP","60.0240",45
"TOR","15-16","U","CIP","60.0240",46
"TOR","12-13","U","CIP","60.0241",61
"TOR","13-14","U","CIP","60.0241",61
"TOR","14-15","U","CIP","60.0241",63
"TOR","15-16","U","CIP","60.0241",60
"TOR","12-13","U","CIP","60.0242",122
"TOR","13-14","U","CIP","60.0242",112
"TOR","14-15","U","CIP","60.0242",118
"TOR","15-16","U","CIP","60.0242",115
"TOR","12-13","U","CIP","60.0243",46
"TOR","13-14","U","CIP","60.0243",43
"TOR","14-15","U","CIP","60.0243",49
"TOR","15-16","U","CIP","60.0243",43
"TOR","12-13","U","CIP","60.0244",64
"TOR","13-14","U","CIP","60.0244",56
"TOR","14-15","U","CIP","60.0244",58
"TOR","15-16","U","CIP","60.0244",59
"TOR","12-13","U","CIP","60.0245",30
"TOR","13-14","U","CIP","60.0245",29
"TOR","14-15","U","CIP","60.0245",30
"TOR","15-16","U","CIP","60.0245",27
"TOR","12-13","U","CIP","60.0247",39
"TOR","13-14","U","CIP","60.0247",47
"TOR","14-15","U","CIP","60.0247",42
"TOR","15-16","U","CIP","60.0247",41
"TOR","12-13","U","CIP","60.0248",13
"TOR","13-14","U","CIP","60.0248",10
"TOR","12-13","U","CIP","60.0251",88
"TOR","13-14","U","CIP","60.0251",90
"TOR","14-15","U","CIP","60.0251",92
"TOR","15-16","U","CIP","60.0251",89
"TOR","12-13","U","CIP","60.0252",23
"TOR","13-14","U","CIP","60.0252",26
"TOR","14-15","U","CIP","60.0252",28
