"Program","Year","Confirmed","Choice","Count"
"SCI","09-10","N",2,21708
"SCI","09-10","N",3,19945
"SCI","09-10","N",4,30843
"SCI","10-11","N",1,23607
"SCI","10-11","N",2,22917
"SCI","10-11","N",3,21164
"SCI","10-11","N",4,32090
"SCI","11-12","N",1,25030
"SCI","11-12","N",2,24310
"SCI","11-12","N",3,22487
"SCI","11-12","N",4,33742
"SCI","12-13","N",1,26170
"SCI","12-13","N",2,25466
"SCI","12-13","N",3,23485
"SCI","12-13","N",4,35981
"SCI","13-14","N",1,27364
"SCI","13-14","N",2,26479
"SCI","13-14","N",3,24486
"SCI","13-14","N",4,40742
"SCI","14-15","N",1,28381
"SCI","14-15","N",2,27200
"SCI","14-15","N",3,25143
"SCI","14-15","N",4,44061
"SCI","15-16","N",1,28533
"SCI","15-16","N",2,27826
"SCI","15-16","N",3,25655
"SCI","15-16","N",4,46243
"SCI","16-17","N",1,29629
"SCI","16-17","N",2,28788
"SCI","16-17","N",3,26725
"SCI","16-17","N",4,50651
"SWO","07-08","N",1,1801
"SWO","07-08","N",2,1339
"SWO","07-08","N",3,1091
"SWO","07-08","N",4,1014
"SWO","08-09","N",1,1744
"SWO","08-09","N",2,1311
"SWO","08-09","N",3,1094
"SWO","08-09","N",4,990
"SWO","09-10","N",1,1907
"SWO","09-10","N",2,1393
"SWO","09-10","N",3,1199
"SWO","09-10","N",4,1080
"SWO","10-11","N",1,2182
"SWO","10-11","N",2,1546
"SWO","10-11","N",3,1289
"SWO","10-11","N",4,995
"SWO","11-12","N",1,2538
"SWO","11-12","N",2,1831
"SWO","11-12","N",3,1494
"SWO","11-12","N",4,1154
"SWO","12-13","N",1,2649
"SWO","12-13","N",2,1864
"SWO","12-13","N",3,1485
"SWO","12-13","N",4,1161
"SWO","13-14","N",1,2766
"SWO","13-14","N",2,2101
"SWO","13-14","N",3,1670
"SWO","13-14","N",4,1334
"SWO","14-15","N",1,2920
"SWO","14-15","N",2,2205
"SWO","14-15","N",3,1729
"SWO","14-15","N",4,1485
"SWO","15-16","N",1,2782
"SWO","15-16","N",2,2104
"SWO","15-16","N",3,1727
"SWO","15-16","N",4,1518
"SWO","16-17","N",1,2614
"SWO","16-17","N",2,1917
"SWO","16-17","N",3,1528
"SWO","16-17","N",4,1244
"VME","07-08","N",1,120
"VME","07-08","N",2,0
"VME","07-08","N",3,1
"VME","07-08","N",4,0
"VME","08-09","N",1,73
"VME","08-09","N",2,1
"VME","08-09","N",3,1
"VME","08-09","N",4,1
"VME","09-10","N",1,70
"VME","09-10","N",2,0
"VME","09-10","N",3,0
"VME","09-10","N",4,0
"VME","10-11","N",1,89
"VME","10-11","N",2,1
"VME","10-11","N",3,0
"VME","10-11","N",4,0
"VME","11-12","N",1,95
"VME","11-12","N",2,0
"VME","11-12","N",3,0
"VME","11-12","N",4,0
"VME","12-13","N",1,86
"VME","12-13","N",2,0
"VME","12-13","N",3,0
"VME","12-13","N",4,0
"VME","13-14","N",1,92
"VME","13-14","N",2,2
"VME","13-14","N",3,1
"VME","13-14","N",4,0
"VME","14-15","N",1,110
"VME","14-15","N",2,4
"VME","14-15","N",3,0
"VME","14-15","N",4,1
"VME","15-16","N",1,131
"VME","15-16","N",2,2
"VME","15-16","N",3,0
"VME","15-16","N",4,0
"VME","16-17","N",1,174
"VME","16-17","N",2,1
"VME","16-17","N",3,1
"VME","16-17","N",4,0
"AGR","07-08","Y",1,70
"AGR","07-08","Y",2,11
"AGR","07-08","Y",3,3
"AGR","07-08","Y",4,3
"AGR","08-09","Y",1,104
"AGR","08-09","Y",2,14
"AGR","08-09","Y",3,2
"AGR","08-09","Y",4,2
"AGR","09-10","Y",1,100
"AGR","09-10","Y",2,6
"AGR","09-10","Y",3,3
"AGR","09-10","Y",4,3
"AGR","10-11","Y",1,98
"AGR","10-11","Y",2,16
"AGR","10-11","Y",3,1
"AGR","10-11","Y",4,1
"AGR","11-12","Y",1,100
"AGR","11-12","Y",2,10
"AGR","11-12","Y",3,6
"AGR","11-12","Y",4,6
"AGR","12-13","Y",1,105
"AGR","12-13","Y",2,17
"AGR","12-13","Y",3,10
"AGR","12-13","Y",4,10
"AGR","13-14","Y",1,118
"AGR","13-14","Y",2,20
"AGR","13-14","Y",3,8
"AGR","13-14","Y",4,8
"AGR","14-15","Y",1,139
"AGR","14-15","Y",2,22
"AGR","14-15","Y",3,8
"AGR","14-15","Y",4,8
"AGR","15-16","Y",1,137
"AGR","15-16","Y",2,22
"AGR","15-16","Y",3,7
"AGR","15-16","Y",4,7
"AGR","16-17","Y",1,144
"AGR","16-17","Y",2,30
"AGR","16-17","Y",3,11
"AGR","16-17","Y",4,11
"ARC","07-08","Y",1,197
"ARC","07-08","Y",2,68
"ARC","07-08","Y",3,25
"ARC","07-08","Y",4,25
"ARC","08-09","Y",1,187
"ARC","08-09","Y",2,79
"ARC","08-09","Y",3,32
"ARC","08-09","Y",4,32
"ARC","09-10","Y",1,178
"ARC","09-10","Y",2,63
"ARC","09-10","Y",3,26
"ARC","09-10","Y",4,26
"ARC","10-11","Y",1,190
"ARC","10-11","Y",2,68
"ARC","10-11","Y",3,27
"ARC","10-11","Y",4,27
"ARC","11-12","Y",1,181
"ARC","11-12","Y",2,75
"ARC","11-12","Y",3,31
"ARC","11-12","Y",4,31
"ARC","12-13","Y",1,212
"ARC","12-13","Y",2,68
"ARC","12-13","Y",3,25
"ARC","12-13","Y",4,25
"ARC","13-14","Y",1,203
"ARC","13-14","Y",2,99
"ARC","13-14","Y",3,52
"ARC","13-14","Y",4,52
"ARC","14-15","Y",1,237
"ARC","14-15","Y",2,81
"ARC","14-15","Y",3,50
"ARC","14-15","Y",4,50
"ARC","15-16","Y",1,242
"ARC","15-16","Y",2,88
"ARC","15-16","Y",3,37
"ARC","15-16","Y",4,37
"ARC","16-17","Y",1,226
"ARC","16-17","Y",2,100
"ARC","16-17","Y",3,57
"ARC","16-17","Y",4,57
"ART","07-08","Y",1,19678
"ART","07-08","Y",2,7143
"ART","07-08","Y",3,4098
"ART","07-08","Y",4,4098
"ART","08-09","Y",1,20469
"ART","08-09","Y",2,7286
"ART","08-09","Y",3,4155
"ART","08-09","Y",4,4155
"ART","09-10","Y",1,20584
"ART","09-10","Y",2,7691
"ART","09-10","Y",3,4377
"ART","09-10","Y",4,4377
"ART","10-11","Y",1,21951
"ART","10-11","Y",2,7719
"ART","10-11","Y",3,4521
"ART","10-11","Y",4,4521
"ART","11-12","Y",1,21741
"ART","11-12","Y",2,7826
"ART","11-12","Y",3,4625
"ART","11-12","Y",4,4625
"ART","12-13","Y",1,21361
"ART","12-13","Y",2,7814
"ART","12-13","Y",3,4645
"ART","12-13","Y",4,4645
"ART","13-14","Y",1,20503
"ART","13-14","Y",2,7573
"ART","13-14","Y",3,4423
"ART","13-14","Y",4,4423
"ART","14-15","Y",1,18951
"ART","14-15","Y",2,6880
"ART","14-15","Y",3,4158
"ART","14-15","Y",4,4158
"ART","15-16","Y",1,18729
"ART","15-16","Y",2,6736
"ART","15-16","Y",3,3857
"ART","15-16","Y",4,3857
"ART","16-17","Y",1,18578
"ART","16-17","Y",2,6698
"ART","16-17","Y",3,3839
"ART","16-17","Y",4,3839
"BAD","07-08","Y",1,6695
"BAD","07-08","Y",2,2743
"BAD","07-08","Y",3,1622
"BAD","07-08","Y",4,1622
"BAD","08-09","Y",1,7278
"BAD","08-09","Y",2,2848
"BAD","08-09","Y",3,1552
"BAD","08-09","Y",4,1552
"BAD","09-10","Y",1,6618
"BAD","09-10","Y",2,2548
"BAD","09-10","Y",3,1447
"BAD","09-10","Y",4,1447
"BAD","10-11","Y",1,6842
"BAD","10-11","Y",2,2603
"BAD","10-11","Y",3,1526
"BAD","10-11","Y",4,1526
"BAD","11-12","Y",1,7107
"BAD","11-12","Y",2,2753
"BAD","11-12","Y",3,1579
"BAD","11-12","Y",4,1579
"BAD","12-13","Y",1,7377
"BAD","12-13","Y",2,2737
"BAD","12-13","Y",3,1616
"BAD","12-13","Y",4,1616
"BAD","13-14","Y",1,7407
"BAD","13-14","Y",2,3038
"BAD","13-14","Y",3,1809
"BAD","13-14","Y",4,1809
"BAD","14-15","Y",1,7325
"BAD","14-15","Y",2,3006
"BAD","14-15","Y",3,1735
"BAD","14-15","Y",4,1735
"BAD","15-16","Y",1,7837
"BAD","15-16","Y",2,3127
"BAD","15-16","Y",3,1796
"BAD","15-16","Y",4,1796
"BAD","16-17","Y",1,7673
"BAD","16-17","Y",2,3166
"BAD","16-17","Y",3,1880
"BAD","16-17","Y",4,1880
"DPR","07-08","Y",1,83
"DPR","07-08","Y",2,8
"DPR","07-08","Y",3,6
"DPR","07-08","Y",4,6
"DPR","08-09","Y",1,58
"DPR","08-09","Y",2,5
"DPR","08-09","Y",3,3
"DPR","08-09","Y",4,3
"DPR","09-10","Y",1,76
"DPR","09-10","Y",2,6
"DPR","09-10","Y",3,3
"DPR","09-10","Y",4,3
"DPR","10-11","Y",1,95
"DPR","10-11","Y",2,5
"DPR","10-11","Y",3,4
"DPR","10-11","Y",4,4
"DPR","11-12","Y",1,76
"DPR","11-12","Y",2,5
"DPR","11-12","Y",3,4
"DPR","11-12","Y",4,4
"DPR","12-13","Y",1,66
"DPR","12-13","Y",2,9
"DPR","12-13","Y",3,3
"DPR","12-13","Y",4,3
"DPR","13-14","Y",1,103
"DPR","13-14","Y",2,6
"DPR","13-14","Y",3,6
"DPR","13-14","Y",4,6
"DPR","14-15","Y",1,74
"DPR","14-15","Y",2,5
"DPR","14-15","Y",3,1
"DPR","14-15","Y",4,1
"DPR","15-16","Y",1,70
"DPR","15-16","Y",2,6
"DPR","15-16","Y",3,1
"DPR","15-16","Y",4,1
"DPR","16-17","Y",1,58
"DPR","16-17","Y",2,5
"DPR","16-17","Y",3,1
"DPR","16-17","Y",4,1
"EDU","07-08","Y",1,991
"EDU","07-08","Y",2,305
"EDU","07-08","Y",3,165
"EDU","07-08","Y",4,165
"EDU","08-09","Y",1,849
"EDU","08-09","Y",2,234
"EDU","08-09","Y",3,123
"EDU","08-09","Y",4,123
"EDU","09-10","Y",1,917
"EDU","09-10","Y",2,277
"EDU","09-10","Y",3,142
"EDU","09-10","Y",4,142
"EDU","10-11","Y",1,1056
"EDU","10-11","Y",2,296
"EDU","10-11","Y",3,151
"EDU","10-11","Y",4,151
"EDU","11-12","Y",1,955
"EDU","11-12","Y",2,262
"EDU","11-12","Y",3,118
"EDU","11-12","Y",4,118
"EDU","12-13","Y",1,884
"EDU","12-13","Y",2,249
"EDU","12-13","Y",3,137
"EDU","12-13","Y",4,137
"EDU","13-14","Y",1,842
"EDU","13-14","Y",2,217
"EDU","13-14","Y",3,97
"EDU","13-14","Y",4,97
"EDU","14-15","Y",1,598
"EDU","14-15","Y",2,170
"EDU","14-15","Y",3,84
"EDU","14-15","Y",4,84
"EDU","15-16","Y",1,559
"EDU","15-16","Y",2,132
"EDU","15-16","Y",3,63
"EDU","15-16","Y",4,63
"EDU","16-17","Y",1,602
"EDU","16-17","Y",2,154
"EDU","16-17","Y",3,79
"EDU","16-17","Y",4,79
"ENG","07-08","Y",1,4589
"ENG","07-08","Y",2,1438
"ENG","07-08","Y",3,706
"ENG","07-08","Y",4,706
"ENG","08-09","Y",1,4737
"ENG","08-09","Y",2,1555
"ENG","08-09","Y",3,793
"ENG","08-09","Y",4,793
"ENG","09-10","Y",1,4972
"ENG","09-10","Y",2,1601
"ENG","09-10","Y",3,931
"ENG","09-10","Y",4,931
"ENG","10-11","Y",1,5198
"ENG","10-11","Y",2,1723
"ENG","10-11","Y",3,896
"ENG","10-11","Y",4,896
"ENG","11-12","Y",1,5272
"ENG","11-12","Y",2,1824
"ENG","11-12","Y",3,1116
"ENG","11-12","Y",4,1116
"ENG","12-13","Y",1,5451
"ENG","12-13","Y",2,1835
"ENG","12-13","Y",3,1182
"ENG","12-13","Y",4,1182
"ENG","13-14","Y",1,5592
"ENG","13-14","Y",2,2037
"ENG","13-14","Y",3,1251
"ENG","13-14","Y",4,1251
"ENG","14-15","Y",1,5742
"ENG","14-15","Y",2,2203
"ENG","14-15","Y",3,1435
"ENG","14-15","Y",4,1435
"ENG","15-16","Y",1,5943
"ENG","15-16","Y",2,2219
"ENG","15-16","Y",3,1410
"ENG","15-16","Y",4,1410
"ENG","16-17","Y",1,5957
"ENG","16-17","Y",2,2339
"ENG","16-17","Y",3,1519
"ENG","16-17","Y",4,1519
"EST","07-08","Y",1,565
"EST","07-08","Y",2,209
"EST","07-08","Y",3,130
"EST","07-08","Y",4,130
"EST","08-09","Y",1,669
"EST","08-09","Y",2,267
"EST","08-09","Y",3,120
"EST","08-09","Y",4,120
"EST","09-10","Y",1,645
"EST","09-10","Y",2,274
"EST","09-10","Y",3,150
"EST","09-10","Y",4,150
"EST","10-11","Y",1,636
"EST","10-11","Y",2,258
"EST","10-11","Y",3,144
"EST","10-11","Y",4,144
"EST","11-12","Y",1,640
"EST","11-12","Y",2,241
"EST","11-12","Y",3,148
"EST","11-12","Y",4,148
"EST","12-13","Y",1,588
"EST","12-13","Y",2,219
"EST","12-13","Y",3,141
"EST","12-13","Y",4,141
"EST","13-14","Y",1,617
"EST","13-14","Y",2,253
"EST","13-14","Y",3,138
"EST","13-14","Y",4,138
"EST","14-15","Y",1,631
"EST","14-15","Y",2,265
"EST","14-15","Y",3,154
"EST","14-15","Y",4,154
"EST","15-16","Y",1,479
"EST","15-16","Y",2,146
"EST","15-16","Y",3,120
"EST","15-16","Y",4,120
"EST","16-17","Y",1,485
"EST","16-17","Y",2,179
"EST","16-17","Y",3,109
"EST","16-17","Y",4,109
"FCS","07-08","Y",1,510
"FCS","07-08","Y",2,118
"FCS","07-08","Y",3,60
"FCS","07-08","Y",4,60
"FCS","08-09","Y",1,617
"FCS","08-09","Y",2,119
"FCS","08-09","Y",3,60
"FCS","08-09","Y",4,60
"FCS","09-10","Y",1,592
"FCS","09-10","Y",2,132
"FCS","09-10","Y",3,69
"FCS","09-10","Y",4,69
"FCS","10-11","Y",1,581
"FCS","10-11","Y",2,157
"FCS","10-11","Y",3,84
"FCS","10-11","Y",4,84
"FCS","11-12","Y",1,589
"FCS","11-12","Y",2,158
"FCS","11-12","Y",3,93
"FCS","11-12","Y",4,93
"FCS","12-13","Y",1,602
"FCS","12-13","Y",2,193
"FCS","12-13","Y",3,91
"FCS","12-13","Y",4,91
"FCS","13-14","Y",1,621
"FCS","13-14","Y",2,188
"FCS","13-14","Y",3,108
"FCS","13-14","Y",4,108
"FCS","14-15","Y",1,734
"FCS","14-15","Y",2,189
"FCS","14-15","Y",3,100
"FCS","14-15","Y",4,100
"FCS","15-16","Y",1,683
"FCS","15-16","Y",2,202
"FCS","15-16","Y",3,102
"FCS","15-16","Y",4,102
"FCS","16-17","Y",1,695
"FCS","16-17","Y",2,180
"FCS","16-17","Y",3,95
"FCS","16-17","Y",4,95
"FAA","07-08","Y",1,2121
"FAA","07-08","Y",2,557
"FAA","07-08","Y",3,280
"FAA","07-08","Y",4,280
"FAA","08-09","Y",1,2175
"FAA","08-09","Y",2,626
"FAA","08-09","Y",3,310
"FAA","08-09","Y",4,310
"FAA","09-10","Y",1,2309
"FAA","09-10","Y",2,667
"FAA","09-10","Y",3,318
"FAA","09-10","Y",4,318
"FAA","10-11","Y",1,2492
"FAA","10-11","Y",2,676
"FAA","10-11","Y",3,339
"FAA","10-11","Y",4,339
"FAA","11-12","Y",1,2395
"FAA","11-12","Y",2,716
"FAA","11-12","Y",3,301
"FAA","11-12","Y",4,301
"FAA","12-13","Y",1,2458
"FAA","12-13","Y",2,685
"FAA","12-13","Y",3,310
"FAA","12-13","Y",4,310
"FAA","13-14","Y",1,2583
"FAA","13-14","Y",2,692
"FAA","13-14","Y",3,299
"FAA","13-14","Y",4,299
"FAA","14-15","Y",1,2549
"FAA","14-15","Y",2,639
"FAA","14-15","Y",3,289
"FAA","14-15","Y",4,289
"FAA","15-16","Y",1,2746
"FAA","15-16","Y",2,783
"FAA","15-16","Y",3,338
"FAA","15-16","Y",4,338
"FAA","16-17","Y",1,2773
"FAA","16-17","Y",2,722
"FAA","16-17","Y",3,348
"FAA","16-17","Y",4,348
"FOR","07-08","Y",1,23
"FOR","07-08","Y",2,2
"FOR","07-08","Y",3,2
"FOR","07-08","Y",4,2
"FOR","08-09","Y",1,16
"FOR","08-09","Y",2,2
"FOR","08-09","Y",3,0
"FOR","08-09","Y",4,0
"FOR","09-10","Y",1,15
"FOR","09-10","Y",2,3
"FOR","09-10","Y",3,1
"FOR","09-10","Y",4,1
"FOR","10-11","Y",1,20
"FOR","10-11","Y",2,2
"FOR","10-11","Y",3,2
"FOR","10-11","Y",4,2
"FOR","11-12","Y",1,35
"FOR","11-12","Y",2,10
"FOR","11-12","Y",3,3
"FOR","11-12","Y",4,3
"FOR","12-13","Y",1,48
"FOR","12-13","Y",2,5
"FOR","12-13","Y",3,2
"FOR","12-13","Y",4,2
"FOR","13-14","Y",1,39
"FOR","13-14","Y",2,8
"FOR","13-14","Y",3,2
"FOR","13-14","Y",4,2
"FOR","14-15","Y",1,40
"FOR","14-15","Y",2,4
"FOR","14-15","Y",3,4
"FOR","14-15","Y",4,4
"FOR","15-16","Y",1,49
"FOR","15-16","Y",2,5
"FOR","15-16","Y",3,2
"FOR","15-16","Y",4,2
"FOR","16-17","Y",1,30
"FOR","16-17","Y",2,1
"FOR","16-17","Y",3,1
"FOR","16-17","Y",4,1
"IPR","09-10","Y",1,0
"IPR","09-10","Y",2,0
"IPR","09-10","Y",3,0
"IPR","09-10","Y",4,0
"IPR","10-11","Y",1,0
"IPR","10-11","Y",2,0
"IPR","10-11","Y",3,0
"IPR","10-11","Y",4,0
"IPR","11-12","Y",1,0
"IPR","11-12","Y",2,0
"IPR","11-12","Y",3,0
"IPR","11-12","Y",4,0
"IPR","12-13","Y",1,0
"IPR","12-13","Y",2,0
"IPR","12-13","Y",3,0
"IPR","12-13","Y",4,0
"IPR","13-14","Y",1,0
"IPR","13-14","Y",2,0
"IPR","13-14","Y",3,0
"IPR","13-14","Y",4,0
"IPR","14-15","Y",1,0
"IPR","14-15","Y",2,0
"IPR","14-15","Y",3,0
"IPR","14-15","Y",4,0
"IPR","15-16","Y",1,0
"IPR","15-16","Y",2,0
"IPR","15-16","Y",3,0
"IPR","15-16","Y",4,0
"IPR","16-17","Y",1,0
"IPR","16-17","Y",2,0
"IPR","16-17","Y",3,0
"IPR","16-17","Y",4,0
"JOU","07-08","Y",1,408
"JOU","07-08","Y",2,105
"JOU","07-08","Y",3,57
"JOU","07-08","Y",4,57
"JOU","08-09","Y",1,441
"JOU","08-09","Y",2,103
"JOU","08-09","Y",3,39
"JOU","08-09","Y",4,39
"JOU","09-10","Y",1,440
"JOU","09-10","Y",2,107
"JOU","09-10","Y",3,35
"JOU","09-10","Y",4,35
"JOU","10-11","Y",1,419
"JOU","10-11","Y",2,91
"JOU","10-11","Y",3,38
"JOU","10-11","Y",4,38
"JOU","11-12","Y",1,451
"JOU","11-12","Y",2,99
"JOU","11-12","Y",3,41
"JOU","11-12","Y",4,41
"JOU","12-13","Y",1,427
"JOU","12-13","Y",2,87
"JOU","12-13","Y",3,36
"JOU","12-13","Y",4,36
"JOU","13-14","Y",1,416
"JOU","13-14","Y",2,85
"JOU","13-14","Y",3,45
"JOU","13-14","Y",4,45
"JOU","14-15","Y",1,385
"JOU","14-15","Y",2,101
"JOU","14-15","Y",3,46
"JOU","14-15","Y",4,46
"JOU","15-16","Y",1,249
"JOU","15-16","Y",2,65
"JOU","15-16","Y",3,31
"JOU","15-16","Y",4,31
"JOU","16-17","Y",1,276
"JOU","16-17","Y",2,71
"JOU","16-17","Y",3,32
"JOU","16-17","Y",4,32
"LAR","07-08","Y",1,43
"LAR","07-08","Y",2,4
"LAR","07-08","Y",3,0
"LAR","07-08","Y",4,0
"LAR","08-09","Y",1,52
"LAR","08-09","Y",2,1
"LAR","08-09","Y",3,0
"LAR","08-09","Y",4,0
"LAR","09-10","Y",1,49
"LAR","09-10","Y",2,2
"LAR","09-10","Y",3,0
"LAR","09-10","Y",4,0
"LAR","10-11","Y",1,53
"LAR","10-11","Y",2,7
"LAR","10-11","Y",3,1
"LAR","10-11","Y",4,1
"LAR","11-12","Y",1,52
"LAR","11-12","Y",2,8
"LAR","11-12","Y",3,0
"LAR","11-12","Y",4,0
"LAR","12-13","Y",1,51
"LAR","12-13","Y",2,5
"LAR","12-13","Y",3,2
"LAR","12-13","Y",4,2
"LAR","13-14","Y",1,53
"LAR","13-14","Y",2,4
"LAR","13-14","Y",3,0
"LAR","13-14","Y",4,0
"LAR","14-15","Y",1,68
"LAR","14-15","Y",2,5
"LAR","14-15","Y",3,0
"LAR","14-15","Y",4,0
"LAR","15-16","Y",1,67
"LAR","15-16","Y",2,11
"LAR","15-16","Y",3,6
"LAR","15-16","Y",4,6
"LAR","16-17","Y",1,63
"LAR","16-17","Y",2,11
"LAR","16-17","Y",3,7
"LAR","16-17","Y",4,7
"MAT","07-08","Y",1,870
"MAT","07-08","Y",2,263
"MAT","07-08","Y",3,108
"MAT","07-08","Y",4,108
"MAT","08-09","Y",1,930
"MAT","08-09","Y",2,348
"MAT","08-09","Y",3,154
"MAT","08-09","Y",4,154
"MAT","09-10","Y",1,964
"MAT","09-10","Y",2,295
"MAT","09-10","Y",3,160
"MAT","09-10","Y",4,160
"MAT","10-11","Y",1,981
"MAT","10-11","Y",2,310
"MAT","10-11","Y",3,159
"MAT","10-11","Y",4,159
"MAT","11-12","Y",1,969
"MAT","11-12","Y",2,334
"MAT","11-12","Y",3,138
"MAT","11-12","Y",4,138
"MAT","12-13","Y",1,983
"MAT","12-13","Y",2,339
"MAT","12-13","Y",3,168
"MAT","12-13","Y",4,168
"MAT","13-14","Y",1,988
"MAT","13-14","Y",2,364
"MAT","13-14","Y",3,183
"MAT","13-14","Y",4,183
"MAT","14-15","Y",1,975
"MAT","14-15","Y",2,418
"MAT","14-15","Y",3,198
"MAT","14-15","Y",4,198
"MAT","15-16","Y",1,890
"MAT","15-16","Y",2,407
"MAT","15-16","Y",3,161
"MAT","15-16","Y",4,161
"MAT","16-17","Y",1,878
"MAT","16-17","Y",2,482
"MAT","16-17","Y",3,227
"MAT","16-17","Y",4,227
"MUS","07-08","Y",1,421
"MUS","07-08","Y",2,92
"MUS","07-08","Y",3,43
"MUS","07-08","Y",4,43
"MUS","08-09","Y",1,377
"MUS","08-09","Y",2,109
"MUS","08-09","Y",3,49
"MUS","08-09","Y",4,49
"MUS","09-10","Y",1,388
"MUS","09-10","Y",2,127
"MUS","09-10","Y",3,53
"MUS","09-10","Y",4,53
"MUS","10-11","Y",1,416
"MUS","10-11","Y",2,108
"MUS","10-11","Y",3,54
"MUS","10-11","Y",4,54
"MUS","11-12","Y",1,390
"MUS","11-12","Y",2,107
"MUS","11-12","Y",3,33
"MUS","11-12","Y",4,33
"MUS","12-13","Y",1,426
"MUS","12-13","Y",2,88
"MUS","12-13","Y",3,42
"MUS","12-13","Y",4,42
"MUS","13-14","Y",1,407
"MUS","13-14","Y",2,101
"MUS","13-14","Y",3,44
"MUS","13-14","Y",4,44
"MUS","14-15","Y",1,403
"MUS","14-15","Y",2,91
"MUS","14-15","Y",3,39
"MUS","14-15","Y",4,39
"MUS","15-16","Y",1,381
"MUS","15-16","Y",2,94
"MUS","15-16","Y",3,40
"MUS","15-16","Y",4,40
"MUS","16-17","Y",1,419
"MUS","16-17","Y",2,75
"MUS","16-17","Y",3,39
"MUS","16-17","Y",4,39
"NUR","07-08","Y",1,1681
"NUR","07-08","Y",2,493
"NUR","07-08","Y",3,267
"NUR","07-08","Y",4,267
"NUR","08-09","Y",1,1620
"NUR","08-09","Y",2,562
"NUR","08-09","Y",3,256
"NUR","08-09","Y",4,256
"NUR","09-10","Y",1,1610
"NUR","09-10","Y",2,563
"NUR","09-10","Y",3,295
"NUR","09-10","Y",4,295
"NUR","10-11","Y",1,1586
"NUR","10-11","Y",2,597
"NUR","10-11","Y",3,333
"NUR","10-11","Y",4,333
"NUR","11-12","Y",1,1600
"NUR","11-12","Y",2,589
"NUR","11-12","Y",3,304
"NUR","11-12","Y",4,304
"NUR","12-13","Y",1,1607
"NUR","12-13","Y",2,561
"NUR","12-13","Y",3,342
"NUR","12-13","Y",4,342
"NUR","13-14","Y",1,1659
"NUR","13-14","Y",2,636
"NUR","13-14","Y",3,329
"NUR","13-14","Y",4,329
"NUR","14-15","Y",1,1625
"NUR","14-15","Y",2,616
"NUR","14-15","Y",3,329
"NUR","14-15","Y",4,329
"NUR","15-16","Y",1,1766
"NUR","15-16","Y",2,671
"NUR","15-16","Y",3,345
"NUR","15-16","Y",4,345
"NUR","16-17","Y",1,1684
"NUR","16-17","Y",2,636
"NUR","16-17","Y",3,315
"NUR","16-17","Y",4,315
"OPT","07-08","Y",1,55
"OPT","07-08","Y",2,0
"OPT","07-08","Y",3,0
"OPT","07-08","Y",4,0
"OPT","08-09","Y",1,95
"OPT","08-09","Y",2,1
"OPT","08-09","Y",3,0
"OPT","08-09","Y",4,0
"OPT","09-10","Y",1,0
"OPT","09-10","Y",2,0
"OPT","09-10","Y",3,0
"OPT","09-10","Y",4,0
"OPT","10-11","Y",1,0
"OPT","10-11","Y",2,0
"OPT","10-11","Y",3,0
"OPT","10-11","Y",4,0
"OPT","11-12","Y",1,0
"OPT","11-12","Y",2,0
"OPT","11-12","Y",3,0
"OPT","11-12","Y",4,0
"OAD","07-08","Y",1,310
"OAD","07-08","Y",2,134
"OAD","07-08","Y",3,91
"OAD","07-08","Y",4,91
"OAD","08-09","Y",1,311
"OAD","08-09","Y",2,139
"OAD","08-09","Y",3,90
"OAD","08-09","Y",4,90
"OAD","09-10","Y",1,298
"OAD","09-10","Y",2,139
"OAD","09-10","Y",3,93
"OAD","09-10","Y",4,93
"OAD","10-11","Y",1,317
"OAD","10-11","Y",2,145
"OAD","10-11","Y",3,94
"OAD","10-11","Y",4,94
"OAD","11-12","Y",1,353
"OAD","11-12","Y",2,181
"OAD","11-12","Y",3,104
"OAD","11-12","Y",4,104
"OAD","12-13","Y",1,444
"OAD","12-13","Y",2,211
"OAD","12-13","Y",3,89
"OAD","12-13","Y",4,89
"OAD","13-14","Y",1,433
"OAD","13-14","Y",2,152
"OAD","13-14","Y",3,129
"OAD","13-14","Y",4,129
"OAD","14-15","Y",1,467
"OAD","14-15","Y",2,177
"OAD","14-15","Y",3,119
"OAD","14-15","Y",4,119
"OAD","15-16","Y",1,398
"OAD","15-16","Y",2,195
"OAD","15-16","Y",3,123
"OAD","15-16","Y",4,123
"OAD","16-17","Y",1,414
"OAD","16-17","Y",2,152
"OAD","16-17","Y",3,100
"OAD","16-17","Y",4,100
"ODE","07-08","Y",1,987
"ODE","07-08","Y",2,288
"ODE","07-08","Y",3,123
"ODE","07-08","Y",4,123
"ODE","08-09","Y",1,1054
"ODE","08-09","Y",2,256
"ODE","08-09","Y",3,103
"ODE","08-09","Y",4,103
"ODE","09-10","Y",1,1073
"ODE","09-10","Y",2,225
"ODE","09-10","Y",3,85
"ODE","09-10","Y",4,85
"ODE","10-11","Y",1,1099
"ODE","10-11","Y",2,239
"ODE","10-11","Y",3,114
"ODE","10-11","Y",4,114
"ODE","11-12","Y",1,1116
"ODE","11-12","Y",2,257
"ODE","11-12","Y",3,121
"ODE","11-12","Y",4,121
"ODE","12-13","Y",1,1088
"ODE","12-13","Y",2,262
"ODE","12-13","Y",3,100
"ODE","12-13","Y",4,100
"ODE","13-14","Y",1,1137
"ODE","13-14","Y",2,301
"ODE","13-14","Y",3,132
"ODE","13-14","Y",4,132
"ODE","14-15","Y",1,1165
"ODE","14-15","Y",2,309
"ODE","14-15","Y",3,144
"ODE","14-15","Y",4,144
