"AcademicYear","University","Question","StudentYear","Score","Percentage"
2011,"NIP","Q1","Jr","S0",.02
2011,"OCA","Q1","Jr","S3",.28
2011,"OCA","Q1","Jr","S2",.5
2011,"OCA","Q1","Jr","S1",.18
2011,"OCA","Q1","Jr","S0",.04
2011,"OTT","Q1","Jr","S3",.22
2011,"OTT","Q1","Jr","S2",.58
2011,"OTT","Q1","Jr","S1",.18
2011,"OTT","Q1","Jr","S0",.02
2011,"UOI","Q1","Jr","S3",.26
2011,"UOI","Q1","Jr","S2",.51
2011,"UOI","Q1","Jr","S1",.19
2011,"UOI","Q1","Jr","S0",.04
2011,"QUE","Q1","Jr","S3",.54
2011,"QUE","Q1","Jr","S2",.35
2011,"QUE","Q1","Jr","S1",.09
2011,"QUE","Q1","Jr","S0",.02
2011,"RYE","Q1","Jr","S3",.29
2011,"RYE","Q1","Jr","S2",.52
2011,"RYE","Q1","Jr","S1",.16
2011,"RYE","Q1","Jr","S0",.03
2011,"TAC","Q1","Jr","S3",.281
2011,"TAC","Q1","Jr","S2",.474
2011,"TAC","Q1","Jr","S1",.198
2011,"TAC","Q1","Jr","S0",.047
2011,"TSG","Q1","Jr","S3",.296
2011,"TSG","Q1","Jr","S2",.458
2011,"TSG","Q1","Jr","S1",.196
2011,"TSG","Q1","Jr","S0",.05
2011,"TMI","Q1","Jr","S3",.259
2011,"TMI","Q1","Jr","S2",.515
2011,"TMI","Q1","Jr","S1",.191
2011,"TMI","Q1","Jr","S0",.035
2011,"TSC","Q1","Jr","S3",.24
2011,"TSC","Q1","Jr","S2",.49
2011,"TSC","Q1","Jr","S1",.218
2011,"TSC","Q1","Jr","S0",.052
2011,"TRE","Q1","Jr","S3",.385
2011,"TRE","Q1","Jr","S2",.495
2011,"TRE","Q1","Jr","S1",.098
2011,"TRE","Q1","Jr","S0",.022
2011,"WAT","Q1","Jr","S3",.41
2011,"WAT","Q1","Jr","S2",.45
2011,"WAT","Q1","Jr","S1",.12
2011,"WAT","Q1","Jr","S0",.02
2011,"WMC","Q1","Jr","S3",.47
2011,"WMC","Q1","Jr","S2",.41
2011,"WMC","Q1","Jr","S1",.1
2011,"WMC","Q1","Jr","S0",.01
2011,"WBC","Q1","Jr","S3",.4
2011,"WBC","Q1","Jr","S2",.44
2011,"WBC","Q1","Jr","S1",.11
2011,"WBC","Q1","Jr","S0",.05
2011,"WHC","Q1","Jr","S3",.49
2011,"WHC","Q1","Jr","S2",.38
2011,"WHC","Q1","Jr","S1",.11
2011,"WHC","Q1","Jr","S0",.02
2011,"WKC","Q1","Jr","S3",.4
2011,"WKC","Q1","Jr","S2",.48
2011,"WKC","Q1","Jr","S1",.12
2011,"WKC","Q1","Jr","S0",.01
2011,"WLA","Q1","Jr","S3",.39
2011,"WLA","Q1","Jr","S2",.49
2011,"WLA","Q1","Jr","S1",.11
2011,"WLA","Q1","Jr","S0",.01
2011,"WIN","Q1","Jr","S3",.19
2011,"WIN","Q1","Jr","S2",.56
2011,"WIN","Q1","Jr","S1",.21
2011,"WIN","Q1","Jr","S0",.04
2011,"YOR","Q1","Jr","S3",.16
2011,"YOR","Q1","Jr","S2",.552
2011,"YOR","Q1","Jr","S1",.233
2011,"YOR","Q1","Jr","S0",.054
2008,"BRO","Q1","Jr","S3",.286
2008,"BRO","Q1","Jr","S2",.549
2008,"BRO","Q1","Jr","S1",.146
2008,"BRO","Q1","Jr","S0",.02
2008,"CAR","Q1","Jr","S3",.285
2008,"CAR","Q1","Jr","S2",.54
2008,"CAR","Q1","Jr","S1",.151
2008,"CAR","Q1","Jr","S0",.023
2008,"GUE","Q1","Jr","S3",.46
2008,"GUE","Q1","Jr","S2",.45
2008,"GUE","Q1","Jr","S1",.08
2008,"GUE","Q1","Jr","S0",.02
2008,"LAK","Q1","Jr","S3",.25
2008,"LAK","Q1","Jr","S2",.51
2008,"LAK","Q1","Jr","S1",.19
2008,"LAK","Q1","Jr","S0",.05
2008,"LAU","Q1","Jr","S3",.26
2008,"LAU","Q1","Jr","S2",.45
2008,"LAU","Q1","Jr","S1",.23
2008,"LAU","Q1","Jr","S0",.06
2008,"MCM","Q1","Jr","S3",.4
2008,"MCM","Q1","Jr","S2",.45
2008,"MCM","Q1","Jr","S1",.11
2008,"MCM","Q1","Jr","S0",.04
2008,"NIP","Q1","Jr","S3",.46
2008,"NIP","Q1","Jr","S2",.45
2008,"NIP","Q1","Jr","S1",.08
2008,"NIP","Q1","Jr","S0",.01
2008,"OCA","Q1","Jr","S3",.241
2008,"OCA","Q1","Jr","S2",.509
2008,"OCA","Q1","Jr","S1",.202
2008,"OCA","Q1","Jr","S0",.048
2008,"OTT","Q1","Jr","S3",.19
2008,"OTT","Q1","Jr","S2",.59
2008,"OTT","Q1","Jr","S1",.17
2008,"OTT","Q1","Jr","S0",.05
2008,"UOI","Q1","Jr","S3",.34
2008,"UOI","Q1","Jr","S2",.49
2008,"UOI","Q1","Jr","S1",.13
2008,"UOI","Q1","Jr","S0",.03
2008,"QUE","Q1","Jr","S3",.54
2008,"QUE","Q1","Jr","S2",.36
2008,"QUE","Q1","Jr","S1",.09
2008,"QUE","Q1","Jr","S0",.01
2008,"RYE","Q1","Jr","S3",.26
2008,"RYE","Q1","Jr","S2",.52
2008,"RYE","Q1","Jr","S1",.19
2008,"RYE","Q1","Jr","S0",.03
2008,"TAC","Q1","Jr","S3",.228
2008,"TAC","Q1","Jr","S2",.469
2008,"TAC","Q1","Jr","S1",.236
2008,"TAC","Q1","Jr","S0",.067
2008,"TSG","Q1","Jr","S3",.235
2008,"TSG","Q1","Jr","S2",.458
2008,"TSG","Q1","Jr","S1",.236
2008,"TSG","Q1","Jr","S0",.07
2008,"TMI","Q1","Jr","S3",.225
2008,"TMI","Q1","Jr","S2",.512
2008,"TMI","Q1","Jr","S1",.192
2008,"TMI","Q1","Jr","S0",.071
2008,"TSC","Q1","Jr","S3",.16
2008,"TSC","Q1","Jr","S2",.533
2008,"TSC","Q1","Jr","S1",.267
2008,"TSC","Q1","Jr","S0",.04
2008,"TRE","Q1","Jr","S3",.39
2008,"TRE","Q1","Jr","S2",.45
2008,"TRE","Q1","Jr","S1",.12
2008,"TRE","Q1","Jr","S0",.04
2008,"WAT","Q1","Jr","S3",.36
2008,"WAT","Q1","Jr","S2",.46
2008,"WAT","Q1","Jr","S1",.15
2008,"WAT","Q1","Jr","S0",.03
2008,"WMC","Q1","Jr","S3",.45
2008,"WMC","Q1","Jr","S2",.43
2008,"WMC","Q1","Jr","S1",.1
2008,"WMC","Q1","Jr","S0",.02
2008,"WBC","Q1","Jr","S3",.24
2008,"WBC","Q1","Jr","S2",.66
2008,"WBC","Q1","Jr","S1",.07
2008,"WBC","Q1","Jr","S0",.03
2008,"WHC","Q1","Jr","S3",.32
2008,"WHC","Q1","Jr","S2",.49
2008,"WHC","Q1","Jr","S1",.14
2008,"WHC","Q1","Jr","S0",.04
2008,"WKC","Q1","Jr","S3",.36
2008,"WKC","Q1","Jr","S2",.52
2008,"WKC","Q1","Jr","S1",.1
2008,"WKC","Q1","Jr","S0",.02
2008,"WLA","Q1","Jr","S3",.47
2008,"WLA","Q1","Jr","S2",.43
2008,"WLA","Q1","Jr","S1",.09
2008,"WLA","Q1","Jr","S0",.02
2008,"WIN","Q1","Jr","S3",.18
2008,"WIN","Q1","Jr","S2",.53
2008,"WIN","Q1","Jr","S1",.24
2008,"WIN","Q1","Jr","S0",.05
2008,"YOR","Q1","Jr","S3",.18
2008,"YOR","Q1","Jr","S2",.55
2008,"YOR","Q1","Jr","S1",.22
2008,"YOR","Q1","Jr","S0",.05
2006,"BRO","Q1","Jr","S3",.28
2006,"BRO","Q1","Jr","S2",.53
2006,"BRO","Q1","Jr","S1",.15
2006,"BRO","Q1","Jr","S0",.03
2006,"CAR","Q1","Jr","S3",.279
2006,"CAR","Q1","Jr","S2",.534
2006,"CAR","Q1","Jr","S1",.155
2006,"CAR","Q1","Jr","S0",.031
2006,"GUE","Q1","Jr","S3",.44
2006,"GUE","Q1","Jr","S2",.47
2006,"GUE","Q1","Jr","S1",.08
2006,"GUE","Q1","Jr","S0",.01
2006,"LAK","Q1","Jr","S3",.292
2006,"LAK","Q1","Jr","S2",.524
2006,"LAK","Q1","Jr","S1",.151
2006,"LAK","Q1","Jr","S0",.033
2006,"LAU","Q1","Jr","S3",.24
2006,"LAU","Q1","Jr","S2",.51
2006,"LAU","Q1","Jr","S1",.17
2006,"LAU","Q1","Jr","S0",.08
2006,"MCM","Q1","Jr","S3",.366
2006,"MCM","Q1","Jr","S2",.477
2006,"MCM","Q1","Jr","S1",.134
2006,"MCM","Q1","Jr","S0",.023
2006,"NIP","Q1","Jr","S3",.45
2006,"NIP","Q1","Jr","S2",.45
2006,"NIP","Q1","Jr","S1",.09
2006,"NIP","Q1","Jr","S0",.02
2006,"OCA","Q1","Jr","S3",.14
2006,"OCA","Q1","Jr","S2",.51
2006,"OCA","Q1","Jr","S1",.31
2006,"OCA","Q1","Jr","S0",.05
2006,"OTT","Q1","Jr","S3",.191
2006,"OTT","Q1","Jr","S2",.591
2006,"OTT","Q1","Jr","S1",.179
2006,"OTT","Q1","Jr","S0",.04
2006,"UOI","Q1","Jr","S3",.39
2006,"UOI","Q1","Jr","S2",.46
2006,"UOI","Q1","Jr","S1",.12
2006,"UOI","Q1","Jr","S0",.03
2006,"QUE","Q1","Jr","S3",.53
2006,"QUE","Q1","Jr","S2",.38
2006,"QUE","Q1","Jr","S1",.08
2006,"QUE","Q1","Jr","S0",.01
2006,"RYE","Q1","Jr","S3",.27
2006,"RYE","Q1","Jr","S2",.52
2006,"RYE","Q1","Jr","S1",.18
2006,"RYE","Q1","Jr","S0",.04
2006,"TAC","Q1","Jr","S3",.244
2006,"TAC","Q1","Jr","S2",.479
2006,"TAC","Q1","Jr","S1",.222
2006,"TAC","Q1","Jr","S0",.055
2006,"TSG","Q1","Jr","S3",.243
2006,"TSG","Q1","Jr","S2",.484
2006,"TSG","Q1","Jr","S1",.22
2006,"TSG","Q1","Jr","S0",.053
2006,"TMI","Q1","Jr","S3",.253
2006,"TMI","Q1","Jr","S2",.484
2006,"TMI","Q1","Jr","S1",.211
2006,"TMI","Q1","Jr","S0",.052
2006,"TSC","Q1","Jr","S3",.231
2006,"TSC","Q1","Jr","S2",.449
2006,"TSC","Q1","Jr","S1",.25
2006,"TSC","Q1","Jr","S0",.069
2006,"WAT","Q1","Jr","S3",.413
2006,"WAT","Q1","Jr","S2",.444
2006,"WAT","Q1","Jr","S1",.122
2006,"WAT","Q1","Jr","S0",.021
2006,"WMC","Q1","Jr","S3",.47
2006,"WMC","Q1","Jr","S2",.41
2006,"WMC","Q1","Jr","S1",.1
2006,"WMC","Q1","Jr","S0",.02
2006,"WLA","Q1","Jr","S3",.388
2006,"WLA","Q1","Jr","S2",.501
