"Year","University","Subject","Metric","OSSD","Count"
2012,"BCW","AHS","A1","Y",56
2012,"BCW","AHS","A1","N",51
2012,"BCW","AHS","R1","Y",30
2012,"BCW","AHS","R1","N",21
2012,"BCW","AHS","AA","Y",295
2012,"BCW","AHS","AA","N",129
2012,"BCW","AHS","RA","Y",72
2012,"BCW","AHS","RA","N",33
2012,"BCW","CMB","A1","Y",14
2012,"BCW","CMB","A1","N",9
2012,"BCW","CMB","R1","Y",5
2012,"BCW","CMB","R1","N",4
2012,"BCW","CMB","AA","Y",87
2012,"BCW","CMB","AA","N",46
2012,"BCW","CMB","RA","Y",12
2012,"BCW","CMB","RA","N",4
2012,"BCW","PHE","A1","Y",11
2012,"BCW","PHE","A1","N",5
2012,"BCW","PHE","R1","Y",1
2012,"BCW","PHE","AA","Y",95
2012,"BCW","PHE","AA","N",17
2012,"BCW","PHE","RA","Y",5
2012,"BCW","HSC","A1","Y",81
2012,"BCW","HSC","A1","N",78
2012,"BCW","HSC","R1","Y",44
2012,"BCW","HSC","R1","N",15
2012,"BCW","HSC","AA","Y",294
2012,"BCW","HSC","AA","N",176
2012,"BCW","HSC","RA","Y",89
2012,"BCW","HSC","RA","N",29
2012,"BCW","ODE","A1","Y",25
2012,"BCW","ODE","A1","N",8
2012,"BCW","ODE","R1","Y",5
2012,"BCW","ODE","R1","N",2
2012,"BCW","ODE","AA","Y",86
2012,"BCW","ODE","AA","N",35
2012,"BCW","ODE","RA","Y",8
2012,"BCW","ODE","RA","N",3
2012,"BCW","PYE","A1","Y",7
2012,"BCW","PYE","A1","N",2
2012,"BCW","PYE","AA","Y",15
2012,"BCW","PYE","AA","N",3
2011,"BCW","AHS","A1","Y",68
2011,"BCW","AHS","A1","N",36
2011,"BCW","AHS","R1","Y",42
2011,"BCW","AHS","R1","N",18
2011,"BCW","AHS","AA","Y",324
2011,"BCW","AHS","AA","N",130
2011,"BCW","AHS","RA","Y",91
2011,"BCW","AHS","RA","N",34
2011,"BCW","CMB","A1","Y",14
2011,"BCW","CMB","A1","N",5
2011,"BCW","CMB","R1","Y",4
2011,"BCW","CMB","R1","N",2
2011,"BCW","CMB","AA","Y",78
2011,"BCW","CMB","AA","N",36
2011,"BCW","CMB","RA","Y",10
2011,"BCW","CMB","RA","N",5
2011,"BCW","PHE","A1","Y",20
2011,"BCW","PHE","A1","N",4
2011,"BCW","PHE","R1","Y",3
2011,"BCW","PHE","AA","Y",97
2011,"BCW","PHE","AA","N",18
2011,"BCW","PHE","RA","Y",6
2011,"BCW","PHE","RA","N",1
2011,"BCW","HSC","A1","Y",78
2011,"BCW","HSC","A1","N",57
2011,"BCW","HSC","R1","Y",37
2011,"BCW","HSC","R1","N",11
2011,"BCW","HSC","AA","Y",314
2011,"BCW","HSC","AA","N",126
2011,"BCW","HSC","RA","Y",82
2011,"BCW","HSC","RA","N",24
2011,"BCW","ODE","A1","Y",10
2011,"BCW","ODE","A1","N",6
2011,"BCW","ODE","R1","Y",4
2011,"BCW","ODE","AA","Y",85
2011,"BCW","ODE","AA","N",14
2011,"BCW","ODE","RA","Y",10
2011,"BCW","ODE","RA","N",2
2011,"BCW","PYE","A1","Y",2
2011,"BCW","PYE","A1","N",1
2011,"BCW","PYE","AA","Y",23
2011,"BCW","PYE","AA","N",3
2010,"BCW","AHS","A1","Y",69
2010,"BCW","AHS","A1","N",33
2010,"BCW","AHS","R1","Y",39
2010,"BCW","AHS","R1","N",12
2010,"BCW","AHS","AA","Y",311
2010,"BCW","AHS","AA","N",118
2010,"BCW","AHS","RA","Y",73
2010,"BCW","AHS","RA","N",23
2010,"BCW","CMB","A1","Y",11
2010,"BCW","CMB","A1","N",5
2010,"BCW","CMB","R1","Y",8
2010,"BCW","CMB","AA","Y",80
2010,"BCW","CMB","AA","N",38
2010,"BCW","CMB","RA","Y",12
2010,"BCW","CMB","RA","N",1
2010,"BCW","PHE","A1","Y",12
2010,"BCW","PHE","A1","N",3
2010,"BCW","PHE","R1","Y",2
2010,"BCW","PHE","AA","Y",98
2010,"BCW","PHE","AA","N",16
2010,"BCW","PHE","RA","Y",5
2010,"BCW","PHE","RA","N",1
2010,"BCW","HSC","A1","Y",68
2010,"BCW","HSC","A1","N",46
2010,"BCW","HSC","R1","Y",41
2010,"BCW","HSC","R1","N",13
2010,"BCW","HSC","AA","Y",281
2010,"BCW","HSC","AA","N",97
2010,"BCW","HSC","RA","Y",89
2010,"BCW","HSC","RA","N",22
2010,"BCW","ODE","A1","Y",13
2010,"BCW","ODE","A1","N",5
2010,"BCW","ODE","R1","Y",2
2010,"BCW","ODE","R1","N",1
2010,"BCW","ODE","AA","Y",93
2010,"BCW","ODE","AA","N",25
2010,"BCW","ODE","RA","Y",7
2010,"BCW","ODE","RA","N",1
2010,"BCW","PYE","A1","Y",4
2010,"BCW","PYE","A1","N",1
2010,"BCW","PYE","AA","Y",10
2010,"BCW","PYE","AA","N",1
2009,"BCW","AHS","A1","Y",54
2009,"BCW","AHS","A1","N",42
2009,"BCW","AHS","R1","Y",55
2009,"BCW","AHS","R1","N",26
2009,"BCW","AHS","AA","Y",317
2009,"BCW","AHS","AA","N",146
2009,"BCW","AHS","RA","Y",74
2009,"BCW","AHS","RA","N",29
2009,"BCW","CMB","A1","Y",7
2009,"BCW","CMB","A1","N",8
2009,"BCW","CMB","R1","Y",9
2009,"BCW","CMB","R1","N",5
2009,"BCW","CMB","AA","Y",79
2009,"BCW","CMB","AA","N",42
2009,"BCW","CMB","RA","Y",13
2009,"BCW","CMB","RA","N",8
2009,"BCW","PHE","A1","Y",12
2009,"BCW","PHE","A1","N",3
2009,"BCW","PHE","R1","Y",2
2009,"BCW","PHE","R1","N",1
2009,"BCW","PHE","AA","Y",81
2009,"BCW","PHE","AA","N",7
2009,"BCW","PHE","RA","Y",2
2009,"BCW","PHE","RA","N",2
2009,"BCW","HSC","A1","Y",63
2009,"BCW","HSC","A1","N",43
2009,"BCW","HSC","R1","Y",42
2009,"BCW","HSC","R1","N",19
2009,"BCW","HSC","AA","Y",278
2009,"BCW","HSC","AA","N",114
2009,"BCW","HSC","RA","Y",71
2009,"BCW","HSC","RA","N",26
2009,"BCW","ODE","A1","Y",15
2009,"BCW","ODE","A1","N",6
2009,"BCW","ODE","R1","Y",6
2009,"BCW","ODE","R1","N",1
2009,"BCW","ODE","AA","Y",77
2009,"BCW","ODE","AA","N",19
2009,"BCW","ODE","RA","Y",9
2009,"BCW","ODE","RA","N",1
2009,"BCW","PYE","A1","Y",2
2009,"BCW","PYE","AA","Y",13
2009,"BCW","PYE","AA","N",5
2008,"BCW","AHS","A1","Y",66
2008,"BCW","AHS","A1","N",40
2008,"BCW","AHS","R1","Y",60
2008,"BCW","AHS","R1","N",16
2008,"BCW","AHS","AA","Y",389
2008,"BCW","AHS","AA","N",151
2008,"BCW","AHS","RA","Y",82
2008,"BCW","AHS","RA","N",23
2008,"BCW","CMB","A1","Y",11
2008,"BCW","CMB","A1","N",11
2008,"BCW","CMB","R1","Y",5
2008,"BCW","CMB","AA","Y",71
2008,"BCW","CMB","AA","N",46
2008,"BCW","CMB","RA","Y",12
2008,"BCW","CMB","RA","N",3
2008,"BCW","PHE","A1","Y",10
2008,"BCW","PHE","A1","N",3
2008,"BCW","PHE","R1","Y",1
2008,"BCW","PHE","R1","N",2
2008,"BCW","PHE","AA","Y",79
