"Grade","Years","Sex","Credential","Field","Measure","Value"
2005,1,"All","DEG","All","P10",13400
2005,1,"All","DEG","All","P90",73900
2005,1,"All","DEG","All","P20",22600
2005,1,"All","DEG","All","P40",37600
2005,1,"All","DEG","All","P60",50400
2005,1,"All","DEG","All","P80",64400
2005,1,"All","DEG","All","P25",26900
2005,1,"All","DEG","All","P50",43800
2005,1,"All","DEG","All","P75",60600
2005,1,"All","DEG","All","Mean",45200
2005,1,"All","DEG","All","Mean L",44700
2005,1,"All","DEG","All","Mean H",45700
2005,1,"All","DEG","All","Count",13970
2005,2,"All","DEG","All","P10",17900
2005,2,"All","DEG","All","P90",83800
2005,2,"All","DEG","All","P20",30100
2005,2,"All","DEG","All","P40",45600
2005,2,"All","DEG","All","P60",58900
2005,2,"All","DEG","All","P80",72700
2005,2,"All","DEG","All","P25",34800
2005,2,"All","DEG","All","P50",52300
2005,2,"All","DEG","All","P75",68500
2005,2,"All","DEG","All","Mean",53000
2005,2,"All","DEG","All","Mean L",52500
2005,2,"All","DEG","All","Mean H",53500
2005,2,"All","DEG","All","Count",12170
2005,3,"All","DEG","All","P10",19500
2005,3,"All","DEG","All","P90",91900
2005,3,"All","DEG","All","P20",33600
2005,3,"All","DEG","All","P40",50700
2005,3,"All","DEG","All","P60",64200
2005,3,"All","DEG","All","P80",78700
2005,3,"All","DEG","All","P25",38900
2005,3,"All","DEG","All","P50",57700
2005,3,"All","DEG","All","P75",74300
2005,3,"All","DEG","All","Mean",58400
2005,3,"All","DEG","All","Mean L",57700
2005,3,"All","DEG","All","Mean H",59100
2005,3,"All","DEG","All","Count",10960
2005,4,"All","DEG","All","P10",20200
2005,4,"All","DEG","All","P90",97500
2005,4,"All","DEG","All","P20",35700
2005,4,"All","DEG","All","P40",54400
2005,4,"All","DEG","All","P60",69200
2005,4,"All","DEG","All","P80",84300
2005,4,"All","DEG","All","P25",41200
2005,4,"All","DEG","All","P50",62300
2005,4,"All","DEG","All","P75",79800
2005,4,"All","DEG","All","Mean",62400
2005,4,"All","DEG","All","Mean L",61600
2005,4,"All","DEG","All","Mean H",63300
2005,4,"All","DEG","All","Count",9980
2005,5,"All","DEG","All","P10",19500
2005,5,"All","DEG","All","P90",101600
2005,5,"All","DEG","All","P20",35200
2005,5,"All","DEG","All","P40",55400
2005,5,"All","DEG","All","P60",71400
2005,5,"All","DEG","All","P80",87300
2005,5,"All","DEG","All","P25",41600
2005,5,"All","DEG","All","P50",63700
2005,5,"All","DEG","All","P75",82600
2005,5,"All","DEG","All","Mean",64600
2005,5,"All","DEG","All","Mean L",63600
2005,5,"All","DEG","All","Mean H",65500
2005,5,"All","DEG","All","Count",9400
2005,6,"All","DEG","All","P10",19100
2005,6,"All","DEG","All","P90",107500
2005,6,"All","DEG","All","P20",35800
2005,6,"All","DEG","All","P40",57400
2005,6,"All","DEG","All","P60",74500
2005,6,"All","DEG","All","P80",91300
2005,6,"All","DEG","All","P25",42500
2005,6,"All","DEG","All","P50",66300
2005,6,"All","DEG","All","P75",86400
2005,6,"All","DEG","All","Mean",67300
2005,6,"All","DEG","All","Mean L",66400
2005,6,"All","DEG","All","Mean H",68200
2005,6,"All","DEG","All","Count",9010
2005,7,"All","DEG","All","P10",18900
2005,7,"All","DEG","All","P90",114000
2005,7,"All","DEG","All","P20",36900
2005,7,"All","DEG","All","P40",59400
2005,7,"All","DEG","All","P60",77200
2005,7,"All","DEG","All","P80",95300
2005,7,"All","DEG","All","P25",44000
2005,7,"All","DEG","All","P50",68300
2005,7,"All","DEG","All","P75",89600
2005,7,"All","DEG","All","Mean",70500
2005,7,"All","DEG","All","Mean L",69400
2005,7,"All","DEG","All","Mean H",71500
2005,7,"All","DEG","All","Count",8630
2005,8,"All","DEG","All","P10",20300
2005,8,"All","DEG","All","P90",120900
2005,8,"All","DEG","All","P20",37000
2005,8,"All","DEG","All","P40",62100
2005,8,"All","DEG","All","P60",80600
2005,8,"All","DEG","All","P80",100700
2005,8,"All","DEG","All","P25",44400
2005,8,"All","DEG","All","P50",71600
2005,8,"All","DEG","All","P75",94200
2005,8,"All","DEG","All","Mean",74900
2005,8,"All","DEG","All","Mean L",73200
2005,8,"All","DEG","All","Mean H",76600
2005,8,"All","DEG","All","Count",8380
2006,1,"All","DEG","All","P10",14500
2006,1,"All","DEG","All","P90",77400
2006,1,"All","DEG","All","P20",24400
2006,1,"All","DEG","All","P40",39700
2006,1,"All","DEG","All","P60",52500
2006,1,"All","DEG","All","P80",66600
2006,1,"All","DEG","All","P25",28500
2006,1,"All","DEG","All","P50",45500
2006,1,"All","DEG","All","P75",63000
2006,1,"All","DEG","All","Mean",47100
2006,1,"All","DEG","All","Mean L",46700
2006,1,"All","DEG","All","Mean H",47500
2006,1,"All","DEG","All","Count",15130
2006,2,"All","DEG","All","P10",18400
2006,2,"All","DEG","All","P90",87500
2006,2,"All","DEG","All","P20",31300
2006,2,"All","DEG","All","P40",47100
2006,2,"All","DEG","All","P60",60300
2006,2,"All","DEG","All","P80",74700
2006,2,"All","DEG","All","P25",36300
2006,2,"All","DEG","All","P50",53800
2006,2,"All","DEG","All","P75",70500
2006,2,"All","DEG","All","Mean",54700
2006,2,"All","DEG","All","Mean L",54200
2006,2,"All","DEG","All","Mean H",55200
2006,2,"All","DEG","All","Count",12990
2006,3,"All","DEG","All","P10",19200
2006,3,"All","DEG","All","P90",93600
2006,3,"All","DEG","All","P20",34700
2006,3,"All","DEG","All","P40",51700
2006,3,"All","DEG","All","P60",65800
2006,3,"All","DEG","All","P80",80700
2006,3,"All","DEG","All","P25",39900
2006,3,"All","DEG","All","P50",58900
2006,3,"All","DEG","All","P75",76100
2006,3,"All","DEG","All","Mean",59300
2006,3,"All","DEG","All","Mean L",58700
2006,3,"All","DEG","All","Mean H",59900
2006,3,"All","DEG","All","Count",11410
2006,4,"All","DEG","All","P10",19500
2006,4,"All","DEG","All","P90",97500
2006,4,"All","DEG","All","P20",35700
2006,4,"All","DEG","All","P40",54100
2006,4,"All","DEG","All","P60",68900
2006,4,"All","DEG","All","P80",84500
2006,4,"All","DEG","All","P25",41900
2006,4,"All","DEG","All","P50",61700
2006,4,"All","DEG","All","P75",79800
2006,4,"All","DEG","All","Mean",62200
2006,4,"All","DEG","All","Mean L",61600
2006,4,"All","DEG","All","Mean H",62900
2006,4,"All","DEG","All","Count",10420
2006,5,"All","DEG","All","P10",20100
2006,5,"All","DEG","All","P90",103200
2006,5,"All","DEG","All","P20",36100
2006,5,"All","DEG","All","P40",56400
2006,5,"All","DEG","All","P60",71600
2006,5,"All","DEG","All","P80",88500
2006,5,"All","DEG","All","P25",42500
2006,5,"All","DEG","All","P50",64200
2006,5,"All","DEG","All","P75",83400
2006,5,"All","DEG","All","Mean",65200
2006,5,"All","DEG","All","Mean L",64400
2006,5,"All","DEG","All","Mean H",65900
2006,5,"All","DEG","All","Count",9900
2006,6,"All","DEG","All","P10",20100
2006,6,"All","DEG","All","P90",109300
2006,6,"All","DEG","All","P20",37000
2006,6,"All","DEG","All","P40",58300
2006,6,"All","DEG","All","P60",75000
2006,6,"All","DEG","All","P80",92700
2006,6,"All","DEG","All","P25",43600
2006,6,"All","DEG","All","P50",66900
2006,6,"All","DEG","All","P75",87300
2006,6,"All","DEG","All","Mean",68400
2006,6,"All","DEG","All","Mean L",67600
2006,6,"All","DEG","All","Mean H",69300
2006,6,"All","DEG","All","Count",9400
2006,7,"All","DEG","All","P10",19300
2006,7,"All","DEG","All","P90",116000
2006,7,"All","DEG","All","P20",37700
2006,7,"All","DEG","All","P40",60700
2006,7,"All","DEG","All","P60",78300
2006,7,"All","DEG","All","P80",97100
2006,7,"All","DEG","All","P25",44600
2006,7,"All","DEG","All","P50",69800
2006,7,"All","DEG","All","P75",91300
2006,7,"All","DEG","All","Mean",71700
2006,7,"All","DEG","All","Mean L",70700
2006,7,"All","DEG","All","Mean H",72600
2006,7,"All","DEG","All","Count",9010
2007,1,"All","DEG","All","P10",14800
2007,1,"All","DEG","All","P90",79100
2007,1,"All","DEG","All","P20",24800
2007,1,"All","DEG","All","P40",39800
2007,1,"All","DEG","All","P60",52800
2007,1,"All","DEG","All","P80",67300
2007,1,"All","DEG","All","P25",29100
2007,1,"All","DEG","All","P50",45900
2007,1,"All","DEG","All","P75",63700
2007,1,"All","DEG","All","Mean",47600
2007,1,"All","DEG","All","Mean L",47200
2007,1,"All","DEG","All","Mean H",48100
2007,1,"All","DEG","All","Count",16390
2007,2,"All","DEG","All","P10",16700
2007,2,"All","DEG","All","P90",86700
2007,2,"All","DEG","All","P20",29200
2007,2,"All","DEG","All","P40",46000
2007,2,"All","DEG","All","P60",60100
2007,2,"All","DEG","All","P80",74200
2007,2,"All","DEG","All","P25",34700
2007,2,"All","DEG","All","P50",52900
2007,2,"All","DEG","All","P75",70300
2007,2,"All","DEG","All","Mean",53600
2007,2,"All","DEG","All","Mean L",53100
2007,2,"All","DEG","All","Mean H",54100
2007,2,"All","DEG","All","Count",13920
2007,3,"All","DEG","All","P10",18400
2007,3,"All","DEG","All","P90",91200
2007,3,"All","DEG","All","P20",32400
2007,3,"All","DEG","All","P40",49900
2007,3,"All","DEG","All","P60",64200
2007,3,"All","DEG","All","P80",78300
2007,3,"All","DEG","All","P25",37900
2007,3,"All","DEG","All","P50",57300
2007,3,"All","DEG","All","P75",74200
2007,3,"All","DEG","All","Mean",57700
2007,3,"All","DEG","All","Mean L",57100
2007,3,"All","DEG","All","Mean H",58300
2007,3,"All","DEG","All","Count",12290
2007,4,"All","DEG","All","P10",19400
2007,4,"All","DEG","All","P90",96700
2007,4,"All","DEG","All","P20",35000
2007,4,"All","DEG","All","P40",52800
2007,4,"All","DEG","All","P60",68300
2007,4,"All","DEG","All","P80",83100
2007,4,"All","DEG","All","P25",40500
2007,4,"All","DEG","All","P50",61000
2007,4,"All","DEG","All","P75",78600
2007,4,"All","DEG","All","Mean",61600
2007,4,"All","DEG","All","Mean L",60900
2007,4,"All","DEG","All","Mean H",62300
2007,4,"All","DEG","All","Count",11410
2007,5,"All","DEG","All","P10",20000
2007,5,"All","DEG","All","P90",103100
2007,5,"All","DEG","All","P20",36400
2007,5,"All","DEG","All","P40",55200
2007,5,"All","DEG","All","P60",71900
2007,5,"All","DEG","All","P80",88200
2007,5,"All","DEG","All","P25",42000
2007,5,"All","DEG","All","P50",63700
2007,5,"All","DEG","All","P75",82900
2007,5,"All","DEG","All","Mean",64900
2007,5,"All","DEG","All","Mean L",64200
2007,5,"All","DEG","All","Mean H",65600
2007,5,"All","DEG","All","Count",10780
2007,6,"All","DEG","All","P10",19300
2007,6,"All","DEG","All","P90",109500
2007,6,"All","DEG","All","P20",35900
2007,6,"All","DEG","All","P40",58000
2007,6,"All","DEG","All","P60",75800
2007,6,"All","DEG","All","P80",92900
2007,6,"All","DEG","All","P25",42700
2007,6,"All","DEG","All","P50",66900
2007,6,"All","DEG","All","P75",87700
2007,6,"All","DEG","All","Mean",68800
2007,6,"All","DEG","All","Mean L",67800
2007,6,"All","DEG","All","Mean H",69700
2007,6,"All","DEG","All","Count",10230
2008,1,"All","DEG","All","P10",12900
2008,1,"All","DEG","All","P90",78900
2008,1,"All","DEG","All","P20",22100
2008,1,"All","DEG","All","P40",38500
2008,1,"All","DEG","All","P60",52600
2008,1,"All","DEG","All","P80",67400
2008,1,"All","DEG","All","P25",26300
2008,1,"All","DEG","All","P50",45100
2008,1,"All","DEG","All","P75",63800
2008,1,"All","DEG","All","Mean",46600
2008,1,"All","DEG","All","Mean L",46200
2008,1,"All","DEG","All","Mean H",47000
2008,1,"All","DEG","All","Count",16150
2008,2,"All","DEG","All","P10",15000
2008,2,"All","DEG","All","P90",84600
2008,2,"All","DEG","All","P20",26500
2008,2,"All","DEG","All","P40",44000
2008,2,"All","DEG","All","P60",58400
2008,2,"All","DEG","All","P80",72400
2008,2,"All","DEG","All","P25",32200
2008,2,"All","DEG","All","P50",51300
2008,2,"All","DEG","All","P75",68500
2008,2,"All","DEG","All","Mean",51800
2008,2,"All","DEG","All","Mean L",51300
2008,2,"All","DEG","All","Mean H",52200
2008,2,"All","DEG","All","Count",13740
2008,3,"All","DEG","All","P10",17300
2008,3,"All","DEG","All","P90",90700
2008,3,"All","DEG","All","P20",30500
2008,3,"All","DEG","All","P40",48400
2008,3,"All","DEG","All","P60",63600
2008,3,"All","DEG","All","P80",77500
2008,3,"All","DEG","All","P25",36000
2008,3,"All","DEG","All","P50",56300
2008,3,"All","DEG","All","P75",73500
2008,3,"All","DEG","All","Mean",56700
2008,3,"All","DEG","All","Mean L",56200
2008,3,"All","DEG","All","Mean H",57300
2008,3,"All","DEG","All","Count",12450
2008,4,"All","DEG","All","P10",18900
2008,4,"All","DEG","All","P90",97100
2008,4,"All","DEG","All","P20",33700
2008,4,"All","DEG","All","P40",52100
2008,4,"All","DEG","All","P60",67900
2008,4,"All","DEG","All","P80",83000
2008,4,"All","DEG","All","P25",39400
2008,4,"All","DEG","All","P50",60400
2008,4,"All","DEG","All","P75",78600
2008,4,"All","DEG","All","Mean",61300
2008,4,"All","DEG","All","Mean L",60600
2008,4,"All","DEG","All","Mean H",62000
2008,4,"All","DEG","All","Count",11410
2008,5,"All","DEG","All","P10",19300
2008,5,"All","DEG","All","P90",104400
2008,5,"All","DEG","All","P20",35100
2008,5,"All","DEG","All","P40",55100
2008,5,"All","DEG","All","P60",72200
2008,5,"All","DEG","All","P80",88600
2008,5,"All","DEG","All","P25",40900
2008,5,"All","DEG","All","P50",64100
2008,5,"All","DEG","All","P75",83700
2008,5,"All","DEG","All","Mean",65500
2008,5,"All","DEG","All","Mean L",64700
2008,5,"All","DEG","All","Mean H",66300
2008,5,"All","DEG","All","Count",10790
2009,1,"All","DEG","All","P10",12100
2009,1,"All","DEG","All","P90",77100
2009,1,"All","DEG","All","P20",19900
2009,1,"All","DEG","All","P40",34700
2009,1,"All","DEG","All","P60",49400
2009,1,"All","DEG","All","P80",66300
2009,1,"All","DEG","All","P25",23700
2009,1,"All","DEG","All","P50",42100
2009,1,"All","DEG","All","P75",61600
2009,1,"All","DEG","All","Mean",44200
2009,1,"All","DEG","All","Mean L",43800
2009,1,"All","DEG","All","Mean H",44600
2009,1,"All","DEG","All","Count",15630
2009,2,"All","DEG","All","P10",14700
2009,2,"All","DEG","All","P90",84800
2009,2,"All","DEG","All","P20",25800
2009,2,"All","DEG","All","P40",42500
2009,2,"All","DEG","All","P60",56800
2009,2,"All","DEG","All","P80",72200
2009,2,"All","DEG","All","P25",30800
2009,2,"All","DEG","All","P50",49500
2009,2,"All","DEG","All","P75",68400
2009,2,"All","DEG","All","Mean",50800
2009,2,"All","DEG","All","Mean L",50300
2009,2,"All","DEG","All","Mean H",51300
2009,2,"All","DEG","All","Count",13600
2009,3,"All","DEG","All","P10",17100
2009,3,"All","DEG","All","P90",91300
2009,3,"All","DEG","All","P20",30200
2009,3,"All","DEG","All","P40",47500
2009,3,"All","DEG","All","P60",62500
2009,3,"All","DEG","All","P80",78000
2009,3,"All","DEG","All","P25",35700
2009,3,"All","DEG","All","P50",55000
2009,3,"All","DEG","All","P75",73600
2009,3,"All","DEG","All","Mean",56100
2009,3,"All","DEG","All","Mean L",55500
2009,3,"All","DEG","All","Mean H",56600
2009,3,"All","DEG","All","Count",12160
2009,4,"All","DEG","All","P10",17600
2009,4,"All","DEG","All","P90",97900
2009,4,"All","DEG","All","P20",32500
2009,4,"All","DEG","All","P40",50900
2009,4,"All","DEG","All","P60",67400
2009,4,"All","DEG","All","P80",84200
2009,4,"All","DEG","All","P25",38300
2009,4,"All","DEG","All","P50",59300
2009,4,"All","DEG","All","P75",79100
2009,4,"All","DEG","All","Mean",60500
2009,4,"All","DEG","All","Mean L",59900
2009,4,"All","DEG","All","Mean H",61200
2009,4,"All","DEG","All","Count",11200
2010,1,"All","DEG","All","P10",11800
2010,1,"All","DEG","All","P90",75700
2010,1,"All","DEG","All","P20",19900
2010,1,"All","DEG","All","P40",34700
2010,1,"All","DEG","All","P60",48200
2010,1,"All","DEG","All","P80",64700
2010,1,"All","DEG","All","P25",24000
2010,1,"All","DEG","All","P50",41500
2010,1,"All","DEG","All","P75",60100
2010,1,"All","DEG","All","Mean",43800
2010,1,"All","DEG","All","Mean L",43400
2010,1,"All","DEG","All","Mean H",44200
2010,1,"All","DEG","All","Count",16430
2010,2,"All","DEG","All","P10",14900
2010,2,"All","DEG","All","P90",84600
2010,2,"All","DEG","All","P20",25900
2010,2,"All","DEG","All","P40",42300
2010,2,"All","DEG","All","P60",56500
2010,2,"All","DEG","All","P80",71800
2010,2,"All","DEG","All","P25",30600
2010,2,"All","DEG","All","P50",49200
2010,2,"All","DEG","All","P75",67600
2010,2,"All","DEG","All","Mean",50800
2010,2,"All","DEG","All","Mean L",50300
2010,2,"All","DEG","All","Mean H",51300
2010,2,"All","DEG","All","Count",14140
2010,3,"All","DEG","All","P10",16900
2010,3,"All","DEG","All","P90",91900
2010,3,"All","DEG","All","P20",29400
2010,3,"All","DEG","All","P40",46800
2010,3,"All","DEG","All","P60",62400
2010,3,"All","DEG","All","P80",78100
2010,3,"All","DEG","All","P25",34700
2010,3,"All","DEG","All","P50",54400
2010,3,"All","DEG","All","P75",73900
2010,3,"All","DEG","All","Mean",56200
2010,3,"All","DEG","All","Mean L",55500
2010,3,"All","DEG","All","Mean H",56800
2010,3,"All","DEG","All","Count",12760
2011,1,"All","DEG","All","P10",11900
2011,1,"All","DEG","All","P90",77100
2011,1,"All","DEG","All","P20",20000
2011,1,"All","DEG","All","P40",35000
2011,1,"All","DEG","All","P60",48600
2011,1,"All","DEG","All","P80",64900
2011,1,"All","DEG","All","P25",23900
2011,1,"All","DEG","All","P50",41500
2011,1,"All","DEG","All","P75",60700
2011,1,"All","DEG","All","Mean",44000
2011,1,"All","DEG","All","Mean L",43600
2011,1,"All","DEG","All","Mean H",44400
2011,1,"All","DEG","All","Count",17280
2011,2,"All","DEG","All","P10",15100
2011,2,"All","DEG","All","P90",85600
2011,2,"All","DEG","All","P20",25800
2011,2,"All","DEG","All","P40",42400
2011,2,"All","DEG","All","P60",56500
2011,2,"All","DEG","All","P80",72100
2011,2,"All","DEG","All","P25",30700
2011,2,"All","DEG","All","P50",49100
2011,2,"All","DEG","All","P75",67900
2011,2,"All","DEG","All","Mean",51100
2011,2,"All","DEG","All","Mean L",50600
2011,2,"All","DEG","All","Mean H",51700
2011,2,"All","DEG","All","Count",14960
2012,1,"All","DEG","All","P10",11800
2012,1,"All","DEG","All","P90",77500
2012,1,"All","DEG","All","P20",19600
2012,1,"All","DEG","All","P40",34600
2012,1,"All","DEG","All","P60",48300
2012,1,"All","DEG","All","P80",65400
2012,1,"All","DEG","All","P25",23700
2012,1,"All","DEG","All","P50",41300
2012,1,"All","DEG","All","P75",60900
2012,1,"All","DEG","All","Mean",44100
2012,1,"All","DEG","All","Mean L",43700
2012,1,"All","DEG","All","Mean H",44500
2012,1,"All","DEG","All","Count",17790
2005,1,"M","DEG","All","P10",13500
2005,1,"M","DEG","All","P90",76000
2005,1,"M","DEG","All","P20",23100
2005,1,"M","DEG","All","P40",39300
2005,1,"M","DEG","All","P60",51900
2005,1,"M","DEG","All","P80",65800
2005,1,"M","DEG","All","P25",28000
2005,1,"M","DEG","All","P50",45500
2005,1,"M","DEG","All","P75",62000
2005,1,"M","DEG","All","Mean",46800
2005,1,"M","DEG","All","Mean L",46000
2005,1,"M","DEG","All","Mean H",47600
2005,1,"M","DEG","All","Count",5950
2005,2,"M","DEG","All","P10",19600
2005,2,"M","DEG","All","P90",87700
2005,2,"M","DEG","All","P20",32800
2005,2,"M","DEG","All","P40",49300
2005,2,"M","DEG","All","P60",61600
2005,2,"M","DEG","All","P80",76400
2005,2,"M","DEG","All","P25",38200
2005,2,"M","DEG","All","P50",55500
2005,2,"M","DEG","All","P75",72000
2005,2,"M","DEG","All","Mean",56600
2005,2,"M","DEG","All","Mean L",55700
2005,2,"M","DEG","All","Mean H",57500
2005,2,"M","DEG","All","Count",5250
2005,3,"M","DEG","All","P10",22200
2005,3,"M","DEG","All","P90",98800
2005,3,"M","DEG","All","P20",38200
2005,3,"M","DEG","All","P40",55800
2005,3,"M","DEG","All","P60",68800
2005,3,"M","DEG","All","P80",84400
2005,3,"M","DEG","All","P25",43700
2005,3,"M","DEG","All","P50",62400
2005,3,"M","DEG","All","P75",79600
2005,3,"M","DEG","All","Mean",64000
2005,3,"M","DEG","All","Mean L",62700
2005,3,"M","DEG","All","Mean H",65400
2005,3,"M","DEG","All","Count",4780
2005,4,"M","DEG","All","P10",24900
2005,4,"M","DEG","All","P90",106000
2005,4,"M","DEG","All","P20",41100
2005,4,"M","DEG","All","P40",60400
2005,4,"M","DEG","All","P60",73900
2005,4,"M","DEG","All","P80",90500
2005,4,"M","DEG","All","P25",46500
2005,4,"M","DEG","All","P50",67200
2005,4,"M","DEG","All","P75",85200
2005,4,"M","DEG","All","Mean",69000
2005,4,"M","DEG","All","Mean L",67300
2005,4,"M","DEG","All","Mean H",70700
2005,4,"M","DEG","All","Count",4340
2005,5,"M","DEG","All","P10",26200
2005,5,"M","DEG","All","P90",112700
2005,5,"M","DEG","All","P20",43400
2005,5,"M","DEG","All","P40",63500
2005,5,"M","DEG","All","P60",78100
2005,5,"M","DEG","All","P80",95300
2005,5,"M","DEG","All","P25",49400
2005,5,"M","DEG","All","P50",70800
2005,5,"M","DEG","All","P75",89900
2005,5,"M","DEG","All","Mean",73400
2005,5,"M","DEG","All","Mean L",71700
2005,5,"M","DEG","All","Mean H",75100
2005,5,"M","DEG","All","Count",4160
2005,6,"M","DEG","All","P10",27200
2005,6,"M","DEG","All","P90",120100
2005,6,"M","DEG","All","P20",47000
2005,6,"M","DEG","All","P40",66900
2005,6,"M","DEG","All","P60",82000
2005,6,"M","DEG","All","P80",100700
2005,6,"M","DEG","All","P25",52500
2005,6,"M","DEG","All","P50",74800
2005,6,"M","DEG","All","P75",94700
2005,6,"M","DEG","All","Mean",77500
2005,6,"M","DEG","All","Mean L",76000
2005,6,"M","DEG","All","Mean H",79000
2005,6,"M","DEG","All","Count",4020
2005,7,"M","DEG","All","P10",28300
2005,7,"M","DEG","All","P90",130400
2005,7,"M","DEG","All","P20",49300
2005,7,"M","DEG","All","P40",69900
2005,7,"M","DEG","All","P60",86800
2005,7,"M","DEG","All","P80",108000
2005,7,"M","DEG","All","P25",55600
2005,7,"M","DEG","All","P50",79100
2005,7,"M","DEG","All","P75",100500
2005,7,"M","DEG","All","Mean",82900
2005,7,"M","DEG","All","Mean L",80900
2005,7,"M","DEG","All","Mean H",84800
2005,7,"M","DEG","All","Count",3870
2005,8,"M","DEG","All","P10",29700
2005,8,"M","DEG","All","P90",141000
2005,8,"M","DEG","All","P20",50700
2005,8,"M","DEG","All","P40",74500
2005,8,"M","DEG","All","P60",91200
2005,8,"M","DEG","All","P80",114500
2005,8,"M","DEG","All","P25",58300
2005,8,"M","DEG","All","P50",83300
2005,8,"M","DEG","All","P75",107600
2005,8,"M","DEG","All","Mean",89800
2005,8,"M","DEG","All","Mean L",86500
2005,8,"M","DEG","All","Mean H",93200
2005,8,"M","DEG","All","Count",3800
2006,1,"M","DEG","All","P10",15000
2006,1,"M","DEG","All","P90",78600
2006,1,"M","DEG","All","P20",25500
2006,1,"M","DEG","All","P40",41700
2006,1,"M","DEG","All","P60",54600
2006,1,"M","DEG","All","P80",68000
2006,1,"M","DEG","All","P25",30300
2006,1,"M","DEG","All","P50",48200
2006,1,"M","DEG","All","P75",64400
2006,1,"M","DEG","All","Mean",49100
2006,1,"M","DEG","All","Mean L",48400
2006,1,"M","DEG","All","Mean H",49800
2006,1,"M","DEG","All","Count",6370
2006,2,"M","DEG","All","P10",20400
2006,2,"M","DEG","All","P90",91400
2006,2,"M","DEG","All","P20",34500
2006,2,"M","DEG","All","P40",51100
2006,2,"M","DEG","All","P60",64000
2006,2,"M","DEG","All","P80",78300
2006,2,"M","DEG","All","P25",39700
2006,2,"M","DEG","All","P50",57600
2006,2,"M","DEG","All","P75",74000
2006,2,"M","DEG","All","Mean",58600
2006,2,"M","DEG","All","Mean L",57800
2006,2,"M","DEG","All","Mean H",59400
2006,2,"M","DEG","All","Count",5570
2006,3,"M","DEG","All","P10",22800
2006,3,"M","DEG","All","P90",98600
2006,3,"M","DEG","All","P20",39600
2006,3,"M","DEG","All","P40",56500
2006,3,"M","DEG","All","P60",69100
2006,3,"M","DEG","All","P80",84100
2006,3,"M","DEG","All","P25",44700
2006,3,"M","DEG","All","P50",62900
2006,3,"M","DEG","All","P75",79400
2006,3,"M","DEG","All","Mean",63900
2006,3,"M","DEG","All","Mean L",62900
2006,3,"M","DEG","All","Mean H",64900
2006,3,"M","DEG","All","Count",4980
2006,4,"M","DEG","All","P10",23900
2006,4,"M","DEG","All","P90",105500
2006,4,"M","DEG","All","P20",42200
2006,4,"M","DEG","All","P40",59700
2006,4,"M","DEG","All","P60",73400
2006,4,"M","DEG","All","P80",89400
2006,4,"M","DEG","All","P25",48000
2006,4,"M","DEG","All","P50",66800
2006,4,"M","DEG","All","P75",85200
2006,4,"M","DEG","All","Mean",68500
2006,4,"M","DEG","All","Mean L",67400
2006,4,"M","DEG","All","Mean H",69600
2006,4,"M","DEG","All","Count",4600
2006,5,"M","DEG","All","P10",26900
2006,5,"M","DEG","All","P90",115300
2006,5,"M","DEG","All","P20",44900
2006,5,"M","DEG","All","P40",64000
2006,5,"M","DEG","All","P60",78300
2006,5,"M","DEG","All","P80",95900
2006,5,"M","DEG","All","P25",51000
2006,5,"M","DEG","All","P50",70800
2006,5,"M","DEG","All","P75",90700
2006,5,"M","DEG","All","Mean",73800
2006,5,"M","DEG","All","Mean L",72600
2006,5,"M","DEG","All","Mean H",75100
2006,5,"M","DEG","All","Count",4400
2006,6,"M","DEG","All","P10",28400
2006,6,"M","DEG","All","P90",125200
2006,6,"M","DEG","All","P20",48400
2006,6,"M","DEG","All","P40",68100
2006,6,"M","DEG","All","P60",83300
2006,6,"M","DEG","All","P80",102700
2006,6,"M","DEG","All","P25",53900
2006,6,"M","DEG","All","P50",75600
2006,6,"M","DEG","All","P75",96900
2006,6,"M","DEG","All","Mean",79700
2006,6,"M","DEG","All","Mean L",78200
2006,6,"M","DEG","All","Mean H",81100
2006,6,"M","DEG","All","Count",4200
2006,7,"M","DEG","All","P10",30400
2006,7,"M","DEG","All","P90",136600
2006,7,"M","DEG","All","P20",51400
2006,7,"M","DEG","All","P40",72100
2006,7,"M","DEG","All","P60",88800
2006,7,"M","DEG","All","P80",110600
2006,7,"M","DEG","All","P25",57800
2006,7,"M","DEG","All","P50",80400
2006,7,"M","DEG","All","P75",102300
2006,7,"M","DEG","All","Mean",85300
2006,7,"M","DEG","All","Mean L",83700
2006,7,"M","DEG","All","Mean H",86900
2006,7,"M","DEG","All","Count",4040
2007,1,"M","DEG","All","P10",15900
2007,1,"M","DEG","All","P90",80700
2007,1,"M","DEG","All","P20",26300
2007,1,"M","DEG","All","P40",41900
2007,1,"M","DEG","All","P60",54400
2007,1,"M","DEG","All","P80",68400
2007,1,"M","DEG","All","P25",30700
2007,1,"M","DEG","All","P50",48200
2007,1,"M","DEG","All","P75",64500
2007,1,"M","DEG","All","Mean",49500
2007,1,"M","DEG","All","Mean L",48700
2007,1,"M","DEG","All","Mean H",50300
2007,1,"M","DEG","All","Count",6760
2007,2,"M","DEG","All","P10",17400
2007,2,"M","DEG","All","P90",90100
2007,2,"M","DEG","All","P20",31000
2007,2,"M","DEG","All","P40",49100
2007,2,"M","DEG","All","P60",62000
2007,2,"M","DEG","All","P80",76100
2007,2,"M","DEG","All","P25",37300
2007,2,"M","DEG","All","P50",55500
2007,2,"M","DEG","All","P75",71700
