"Program","Year","Schedule","Period","Salary-Range","Salary-N"
"HUM",2008,"FT",6,"10-20",153
"HUM",2008,"FT",6,"20-30",285
"HUM",2008,"FT",6,"30-40",263
"HUM",2008,"FT",6,"40-50",151
"HUM",2008,"FT",6,"50-60",62
"HUM",2008,"FT",6,"60-70",20
"HUM",2008,"FT",6,"70-80",12
"JOU",2008,"FT",6,"20-30",11
"JOU",2008,"FT",6,"40-50",11
"KRP",2008,"FT",6,"0-10",21
"KRP",2008,"FT",6,"10-20",43
"KRP",2008,"FT",6,"20-30",93
"KRP",2008,"FT",6,"30-40",83
"KRP",2008,"FT",6,"40-50",51
"KRP",2008,"FT",6,"50-60",17
"KRP",2008,"FT",6,"60-70",10
"LAW",2008,"FT",6,"20-30",12
"LAW",2008,"FT",6,"30-40",25
"LAW",2008,"FT",6,"40-50",70
"LAW",2008,"FT",6,"50-60",47
"LAW",2008,"FT",6,"60-70",42
"LAW",2008,"FT",6,"70-80",52
"LAW",2008,"FT",6,"80-90",18
"LAW",2008,"FT",6,">100",23
"MAT",2008,"FT",6,"10-20",10
"MAT",2008,"FT",6,"20-30",17
"MAT",2008,"FT",6,"30-40",22
"MAT",2008,"FT",6,"40-50",24
"MAT",2008,"FT",6,"50-60",38
"MAT",2008,"FT",6,"60-70",27
"MED",2008,"FT",6,"40-50",46
"MED",2008,"FT",6,"50-60",57
"MED",2008,"FT",6,"60-70",23
"NUR",2008,"FT",6,"30-40",23
"NUR",2008,"FT",6,"40-50",95
"NUR",2008,"FT",6,"50-60",302
"NUR",2008,"FT",6,"60-70",154
"NUR",2008,"FT",6,"70-80",55
"NUR",2008,"FT",6,"80-90",40
"NUR",2008,"FT",6,"90-100",11
"OAS",2008,"FT",6,"10-20",23
"OAS",2008,"FT",6,"20-30",59
"OAS",2008,"FT",6,"30-40",90
"OAS",2008,"FT",6,"40-50",58
"OAS",2008,"FT",6,"50-60",47
"OAS",2008,"FT",6,"60-70",23
"OAS",2008,"FT",6,"70-80",14
"OAS",2008,"FT",6,"80-90",14
"OAS",2008,"FT",6,">100",16
"PHA",2008,"FT",6,"70-80",10
"PHA",2008,"FT",6,"80-90",15
"PHA",2008,"FT",6,"90-100",13
"PHA",2008,"FT",6,">100",13
"PSC",2008,"FT",6,"10-20",16
"PSC",2008,"FT",6,"20-30",22
"PSC",2008,"FT",6,"30-40",21
"PSC",2008,"FT",6,"40-50",26
"PSC",2008,"FT",6,"50-60",14
"SSC",2008,"FT",6,"0-10",68
"SSC",2008,"FT",6,"10-20",219
"SSC",2008,"FT",6,"20-30",493
"SSC",2008,"FT",6,"30-40",578
"SSC",2008,"FT",6,"40-50",435
"SSC",2008,"FT",6,"50-60",231
"SSC",2008,"FT",6,"60-70",88
"SSC",2008,"FT",6,"70-80",32
"SSC",2008,"FT",6,"80-90",24
"SSC",2008,"FT",6,"90-100",13
"SSC",2008,"FT",6,">100",13
"VME",2008,"FT",6,"60-70",27
"ABS",2008,"FT",24,"0-10",15
"ABS",2008,"FT",24,"10-20",31
"ABS",2008,"FT",24,"20-30",74
"ABS",2008,"FT",24,"30-40",103
"ABS",2008,"FT",24,"40-50",118
"ABS",2008,"FT",24,"50-60",84
"ABS",2008,"FT",24,"60-70",44
"ABS",2008,"FT",24,"70-80",11
"ALA",2008,"FT",24,"30-40",14
"ALA",2008,"FT",24,"40-50",22
"BCO",2008,"FT",24,"10-20",28
"BCO",2008,"FT",24,"20-30",104
"BCO",2008,"FT",24,"30-40",332
"BCO",2008,"FT",24,"40-50",464
"BCO",2008,"FT",24,"50-60",434
"BCO",2008,"FT",24,"60-70",291
"BCO",2008,"FT",24,"70-80",112
"BCO",2008,"FT",24,"80-90",59
"BCO",2008,"FT",24,"90-100",25
"BCO",2008,"FT",24,">100",54
"CSC",2008,"FT",24,"20-30",11
"CSC",2008,"FT",24,"30-40",23
"CSC",2008,"FT",24,"40-50",57
"CSC",2008,"FT",24,"50-60",81
"CSC",2008,"FT",24,"60-70",72
"CSC",2008,"FT",24,"70-80",36
"CSC",2008,"FT",24,"80-90",13
"CSC",2008,"FT",24,">100",11
"DEN",2008,"FT",24,">100",16
"EDU",2008,"FT",24,"10-20",40
"EDU",2008,"FT",24,"20-30",118
"EDU",2008,"FT",24,"30-40",229
"EDU",2008,"FT",24,"40-50",396
"EDU",2008,"FT",24,"50-60",435
"EDU",2008,"FT",24,"60-70",91
"EDU",2008,"FT",24,"70-80",33
"EDU",2008,"FT",24,"80-90",19
"EDU",2008,"FT",24,"90-100",10
"ENG",2008,"FT",24,"10-20",12
"ENG",2008,"FT",24,"20-30",27
"ENG",2008,"FT",24,"30-40",46
"ENG",2008,"FT",24,"40-50",139
"ENG",2008,"FT",24,"50-60",333
"ENG",2008,"FT",24,"60-70",274
"ENG",2008,"FT",24,"70-80",141
"ENG",2008,"FT",24,"80-90",58
"ENG",2008,"FT",24,"90-100",23
"ENG",2008,"FT",24,">100",35
"FAA",2008,"FT",24,"0-10",18
"FAA",2008,"FT",24,"10-20",47
"FAA",2008,"FT",24,"20-30",87
"FAA",2008,"FT",24,"30-40",107
"FAA",2008,"FT",24,"40-50",96
"FAA",2008,"FT",24,"50-60",31
"FAA",2008,"FT",24,"60-70",13
"FSN",2008,"FT",24,"20-30",16
"FSN",2008,"FT",24,"30-40",16
"FSN",2008,"FT",24,"40-50",21
"FSN",2008,"FT",24,"50-60",25
"FSN",2008,"FT",24,"60-70",11
"HPR",2008,"FT",24,"20-30",12
"HPR",2008,"FT",24,"30-40",19
"HPR",2008,"FT",24,"40-50",37
"HPR",2008,"FT",24,"50-60",56
"HPR",2008,"FT",24,"60-70",58
"HPR",2008,"FT",24,"70-80",16
"HUM",2008,"FT",24,"0-10",33
"HUM",2008,"FT",24,"10-20",104
"HUM",2008,"FT",24,"20-30",226
"HUM",2008,"FT",24,"30-40",357
"HUM",2008,"FT",24,"40-50",277
"HUM",2008,"FT",24,"50-60",180
"HUM",2008,"FT",24,"60-70",47
"HUM",2008,"FT",24,"70-80",21
"JOU",2008,"FT",24,"40-50",17
"KRP",2008,"FT",24,"10-20",20
"KRP",2008,"FT",24,"20-30",51
"KRP",2008,"FT",24,"30-40",92
"KRP",2008,"FT",24,"40-50",91
"KRP",2008,"FT",24,"50-60",82
"KRP",2008,"FT",24,"60-70",28
"KRP",2008,"FT",24,"70-80",17
"LAW",2008,"FT",24,"30-40",15
"LAW",2008,"FT",24,"40-50",28
"LAW",2008,"FT",24,"50-60",39
"LAW",2008,"FT",24,"60-70",58
"LAW",2008,"FT",24,"70-80",37
"LAW",2008,"FT",24,"80-90",36
"LAW",2008,"FT",24,"90-100",35
"LAW",2008,"FT",24,">100",54
"MAT",2008,"FT",24,"20-30",17
"MAT",2008,"FT",24,"30-40",17
"MAT",2008,"FT",24,"40-50",32
"MAT",2008,"FT",24,"50-60",36
"MAT",2008,"FT",24,"60-70",26
"MAT",2008,"FT",24,"70-80",19
"MAT",2008,"FT",24,"80-90",12
"MED",2008,"FT",24,"50-60",54
"MED",2008,"FT",24,"60-70",48
"MED",2008,"FT",24,">100",20
"NUR",2008,"FT",24,"30-40",12
"NUR",2008,"FT",24,"40-50",45
"NUR",2008,"FT",24,"50-60",247
"NUR",2008,"FT",24,"60-70",234
"NUR",2008,"FT",24,"70-80",67
"NUR",2008,"FT",24,"80-90",47
"NUR",2008,"FT",24,"90-100",15
"OAS",2008,"FT",24,"10-20",10
"OAS",2008,"FT",24,"20-30",44
"OAS",2008,"FT",24,"30-40",74
"OAS",2008,"FT",24,"40-50",79
"OAS",2008,"FT",24,"50-60",61
"OAS",2008,"FT",24,"60-70",32
"OAS",2008,"FT",24,"70-80",18
"OAS",2008,"FT",24,"80-90",16
"OAS",2008,"FT",24,"90-100",11
"OAS",2008,"FT",24,">100",23
"PHA",2008,"FT",24,"80-90",15
"PHA",2008,"FT",24,"90-100",16
"PHA",2008,"FT",24,">100",21
"PSC",2008,"FT",24,"10-20",10
"PSC",2008,"FT",24,"20-30",13
"PSC",2008,"FT",24,"30-40",20
"PSC",2008,"FT",24,"40-50",29
"PSC",2008,"FT",24,"50-60",26
"PSC",2008,"FT",24,"60-70",11
"SSC",2008,"FT",24,"0-10",38
"SSC",2008,"FT",24,"10-20",145
"SSC",2008,"FT",24,"20-30",370
"SSC",2008,"FT",24,"30-40",594
"SSC",2008,"FT",24,"40-50",625
"SSC",2008,"FT",24,"50-60",424
"SSC",2008,"FT",24,"60-70",220
"SSC",2008,"FT",24,"70-80",85
"SSC",2008,"FT",24,"80-90",37
"SSC",2008,"FT",24,"90-100",24
"SSC",2008,"FT",24,">100",23
"TRE",2008,"FT",24,"40-50",10
"VME",2008,"FT",24,"60-70",12
"VME",2008,"FT",24,"70-80",18
"ABS",2008,"PT",6,"0-10",72
"ABS",2008,"PT",6,"10-20",55
"ABS",2008,"PT",6,"20-30",22
"BCO",2008,"PT",6,"0-10",20
"BCO",2008,"PT",6,"10-20",51
"BCO",2008,"PT",6,"20-30",26
"CSC",2008,"PT",6,"0-10",11
"EDU",2008,"PT",6,"0-10",99
"EDU",2008,"PT",6,"10-20",188
"EDU",2008,"PT",6,"20-30",145
"EDU",2008,"PT",6,"30-40",69
"EDU",2008,"PT",6,"40-50",35
"ENG",2008,"PT",6,"10-20",21
"FAA",2008,"PT",6,"0-10",85
"FAA",2008,"PT",6,"10-20",57
"FAA",2008,"PT",6,"20-30",25
"FSN",2008,"PT",6,"0-10",11
"FSN",2008,"PT",6,"10-20",21
"HPR",2008,"PT",6,"0-10",21
"HPR",2008,"PT",6,"10-20",17
"HUM",2008,"PT",6,"0-10",176
"HUM",2008,"PT",6,"10-20",214
"HUM",2008,"PT",6,"20-30",67
"HUM",2008,"PT",6,"30-40",19
"KRP",2008,"PT",6,"0-10",32
"KRP",2008,"PT",6,"10-20",51
"KRP",2008,"PT",6,"20-30",18
"NUR",2008,"PT",6,"20-30",10
"NUR",2008,"PT",6,"30-40",13
"NUR",2008,"PT",6,"40-50",22
"NUR",2008,"PT",6,"50-60",11
"OAS",2008,"PT",6,"0-10",29
"OAS",2008,"PT",6,"10-20",31
"OAS",2008,"PT",6,"20-30",10
"OAS",2008,"PT",6,"30-40",10
"PSC",2008,"PT",6,"0-10",13
"PSC",2008,"PT",6,"10-20",10
"SSC",2008,"PT",6,"0-10",227
"SSC",2008,"PT",6,"10-20",320
"SSC",2008,"PT",6,"20-30",173
"SSC",2008,"PT",6,"30-40",56
"SSC",2008,"PT",6,"40-50",18
"ABS",2008,"PT",24,"0-10",46
"ABS",2008,"PT",24,"10-20",43
"ABS",2008,"PT",24,"20-30",32
"BCO",2008,"PT",24,"0-10",27
"BCO",2008,"PT",24,"10-20",22
"BCO",2008,"PT",24,"20-30",24
"EDU",2008,"PT",24,"0-10",66
"EDU",2008,"PT",24,"10-20",130
"EDU",2008,"PT",24,"20-30",139
"EDU",2008,"PT",24,"30-40",66
"EDU",2008,"PT",24,"40-50",35
"ENG",2008,"PT",24,"10-20",11
"FAA",2008,"PT",24,"0-10",76
"FAA",2008,"PT",24,"10-20",62
"FAA",2008,"PT",24,"20-30",23
"FSN",2008,"PT",24,"10-20",11
"HPR",2008,"PT",24,"0-10",17
"HUM",2008,"PT",24,"0-10",138
"HUM",2008,"PT",24,"10-20",156
"HUM",2008,"PT",24,"20-30",73
"HUM",2008,"PT",24,"30-40",23
"KRP",2008,"PT",24,"0-10",30
"KRP",2008,"PT",24,"10-20",32
"KRP",2008,"PT",24,"20-30",23
"NUR",2008,"PT",24,"20-30",11
"NUR",2008,"PT",24,"30-40",22
"NUR",2008,"PT",24,"40-50",18
"NUR",2008,"PT",24,"50-60",28
"NUR",2008,"PT",24,"60-70",10
"OAS",2008,"PT",24,"0-10",21
"OAS",2008,"PT",24,"10-20",24
"OAS",2008,"PT",24,"20-30",28
"PSC",2008,"PT",24,"0-10",10
"PSC",2008,"PT",24,"10-20",12
"SSC",2008,"PT",24,"0-10",186
"SSC",2008,"PT",24,"10-20",277
"SSC",2008,"PT",24,"20-30",146
"SSC",2008,"PT",24,"30-40",44
"SSC",2008,"PT",24,"40-50",22
"ABS",2007,"FT",6,"0-10",19
"ABS",2007,"FT",6,"10-20",80
"ABS",2007,"FT",6,"20-30",144
"ABS",2007,"FT",6,"30-40",120
"ABS",2007,"FT",6,"40-50",78
"ABS",2007,"FT",6,"50-60",34
"ABS",2007,"FT",6,"60-70",18
"ALA",2007,"FT",6,"30-40",20
"ALA",2007,"FT",6,"40-50",26
"BCO",2007,"FT",6,"0-10",14
"BCO",2007,"FT",6,"10-20",54
"BCO",2007,"FT",6,"20-30",225
"BCO",2007,"FT",6,"30-40",580
"BCO",2007,"FT",6,"40-50",644
"BCO",2007,"FT",6,"50-60",214
"BCO",2007,"FT",6,"60-70",89
"BCO",2007,"FT",6,"70-80",41
"BCO",2007,"FT",6,"80-90",24
"BCO",2007,"FT",6,"90-100",16
"BCO",2007,"FT",6,">100",26
"CSC",2007,"FT",6,"20-30",13
"CSC",2007,"FT",6,"30-40",51
"CSC",2007,"FT",6,"40-50",94
"CSC",2007,"FT",6,"50-60",84
"CSC",2007,"FT",6,"60-70",32
"CSC",2007,"FT",6,"70-80",10
"EDU",2007,"FT",6,"0-10",12
"EDU",2007,"FT",6,"10-20",63
"EDU",2007,"FT",6,"20-30",156
"EDU",2007,"FT",6,"30-40",279
"EDU",2007,"FT",6,"40-50",588
"EDU",2007,"FT",6,"50-60",155
"EDU",2007,"FT",6,"60-70",46
"EDU",2007,"FT",6,"70-80",16
"EDU",2007,"FT",6,"80-90",13
"ENG",2007,"FT",6,"10-20",15
"ENG",2007,"FT",6,"20-30",52
"ENG",2007,"FT",6,"30-40",78
"ENG",2007,"FT",6,"40-50",291
"ENG",2007,"FT",6,"50-60",332
"ENG",2007,"FT",6,"60-70",134
"ENG",2007,"FT",6,"70-80",46
"ENG",2007,"FT",6,"80-90",24
"ENG",2007,"FT",6,">100",13
"FAA",2007,"FT",6,"0-10",16
"FAA",2007,"FT",6,"10-20",66
"FAA",2007,"FT",6,"20-30",113
"FAA",2007,"FT",6,"30-40",86
"FAA",2007,"FT",6,"40-50",44
"FAA",2007,"FT",6,"50-60",18
"FSN",2007,"FT",6,"20-30",20
"FSN",2007,"FT",6,"30-40",26
"FSN",2007,"FT",6,"40-50",17
"HPR",2007,"FT",6,"10-20",13
"HPR",2007,"FT",6,"20-30",25
"HPR",2007,"FT",6,"30-40",33
"HPR",2007,"FT",6,"40-50",29
"HPR",2007,"FT",6,"50-60",47
"HPR",2007,"FT",6,"60-70",21
"HUM",2007,"FT",6,"0-10",41
"HUM",2007,"FT",6,"10-20",133
"HUM",2007,"FT",6,"20-30",302
"HUM",2007,"FT",6,"30-40",336
"HUM",2007,"FT",6,"40-50",196
"HUM",2007,"FT",6,"50-60",64
"HUM",2007,"FT",6,"60-70",25
"HUM",2007,"FT",6,"70-80",13
"JOU",2007,"FT",6,"20-30",11
"JOU",2007,"FT",6,"30-40",16
"KRP",2007,"FT",6,"0-10",11
"KRP",2007,"FT",6,"10-20",49
"KRP",2007,"FT",6,"20-30",110
"KRP",2007,"FT",6,"30-40",102
"KRP",2007,"FT",6,"40-50",64
"KRP",2007,"FT",6,"50-60",27
"KRP",2007,"FT",6,"60-70",15
"LAW",2007,"FT",6,"20-30",12
"LAW",2007,"FT",6,"30-40",36
"LAW",2007,"FT",6,"40-50",63
"LAW",2007,"FT",6,"50-60",40
"LAW",2007,"FT",6,"60-70",40
"LAW",2007,"FT",6,"70-80",44
"LAW",2007,"FT",6,"80-90",10
"LAW",2007,"FT",6,"90-100",19
"LAW",2007,"FT",6,">100",16
"MAT",2007,"FT",6,"10-20",12
"MAT",2007,"FT",6,"20-30",18
"MAT",2007,"FT",6,"30-40",40
"MAT",2007,"FT",6,"40-50",43
"MAT",2007,"FT",6,"50-60",39
"MAT",2007,"FT",6,"60-70",23
"MED",2007,"FT",6,"40-50",52
"MED",2007,"FT",6,"50-60",43
"MED",2007,"FT",6,"60-70",10
"NUR",2007,"FT",6,"20-30",10
"NUR",2007,"FT",6,"30-40",38
"NUR",2007,"FT",6,"40-50",126
"NUR",2007,"FT",6,"50-60",314
"NUR",2007,"FT",6,"60-70",117
"NUR",2007,"FT",6,"70-80",64
"NUR",2007,"FT",6,"80-90",38
"OAS",2007,"FT",6,"10-20",32
"OAS",2007,"FT",6,"20-30",83
"OAS",2007,"FT",6,"30-40",95
"OAS",2007,"FT",6,"40-50",73
"OAS",2007,"FT",6,"50-60",49
"OAS",2007,"FT",6,"60-70",19
"OAS",2007,"FT",6,"70-80",20
"PHA",2007,"FT",6,"80-90",13
"PSC",2007,"FT",6,"20-30",21
"PSC",2007,"FT",6,"30-40",21
"PSC",2007,"FT",6,"40-50",13
"SSC",2007,"FT",6,"0-10",69
"SSC",2007,"FT",6,"10-20",221
"SSC",2007,"FT",6,"20-30",535
"SSC",2007,"FT",6,"30-40",733
"SSC",2007,"FT",6,"40-50",465
"SSC",2007,"FT",6,"50-60",224
"SSC",2007,"FT",6,"60-70",65
"SSC",2007,"FT",6,"70-80",38
"SSC",2007,"FT",6,"80-90",18
"SSC",2007,"FT",6,">100",21
"TRE",2007,"FT",6,"30-40",10
"TRE",2007,"FT",6,"40-50",12
"TRE",2007,"FT",6,"50-60",10
"VME",2007,"FT",6,"60-70",17
"ABS",2007,"FT",24,"0-10",11
"ABS",2007,"FT",24,"10-20",41
"ABS",2007,"FT",24,"20-30",84
"ABS",2007,"FT",24,"30-40",117
"ABS",2007,"FT",24,"40-50",160
"ABS",2007,"FT",24,"50-60",81
"ABS",2007,"FT",24,"60-70",39
"ABS",2007,"FT",24,"70-80",17
"ALA",2007,"FT",24,"40-50",20
"BCO",2007,"FT",24,"10-20",34
"BCO",2007,"FT",24,"20-30",88
"BCO",2007,"FT",24,"30-40",386
"BCO",2007,"FT",24,"40-50",540
"BCO",2007,"FT",24,"50-60",470
"BCO",2007,"FT",24,"60-70",296
"BCO",2007,"FT",24,"70-80",125
"BCO",2007,"FT",24,"80-90",37
"BCO",2007,"FT",24,"90-100",26
"BCO",2007,"FT",24,">100",43
"CSC",2007,"FT",24,"20-30",12
"CSC",2007,"FT",24,"30-40",20
"CSC",2007,"FT",24,"40-50",60
"CSC",2007,"FT",24,"50-60",103
"CSC",2007,"FT",24,"60-70",60
"CSC",2007,"FT",24,"70-80",32
"CSC",2007,"FT",24,"80-90",15
"DEN",2007,"FT",24,">100",14
"EDU",2007,"FT",24,"10-20",27
"EDU",2007,"FT",24,"20-30",113
"EDU",2007,"FT",24,"30-40",213
"EDU",2007,"FT",24,"40-50",479
"EDU",2007,"FT",24,"50-60",547
"EDU",2007,"FT",24,"60-70",114
"EDU",2007,"FT",24,"70-80",43
"EDU",2007,"FT",24,"80-90",22
"EDU",2007,"FT",24,"90-100",11
"ENG",2007,"FT",24,"10-20",11
"ENG",2007,"FT",24,"20-30",28
"ENG",2007,"FT",24,"30-40",47
"ENG",2007,"FT",24,"40-50",158
"ENG",2007,"FT",24,"50-60",377
"ENG",2007,"FT",24,"60-70",254
"ENG",2007,"FT",24,"70-80",107
"ENG",2007,"FT",24,"80-90",66
"ENG",2007,"FT",24,"90-100",30
"ENG",2007,"FT",24,">100",32
"FAA",2007,"FT",24,"10-20",47
"FAA",2007,"FT",24,"20-30",105
"FAA",2007,"FT",24,"30-40",120
"FAA",2007,"FT",24,"40-50",70
"FAA",2007,"FT",24,"50-60",42
"FAA",2007,"FT",24,"60-70",12
"FSN",2007,"FT",24,"20-30",20
"FSN",2007,"FT",24,"30-40",24
"FSN",2007,"FT",24,"40-50",24
"FSN",2007,"FT",24,"50-60",18
"FSN",2007,"FT",24,"60-70",18
"HPR",2007,"FT",24,"20-30",12
"HPR",2007,"FT",24,"30-40",26
"HPR",2007,"FT",24,"40-50",29
"HPR",2007,"FT",24,"50-60",51
"HPR",2007,"FT",24,"60-70",46
"HPR",2007,"FT",24,"70-80",22
"HUM",2007,"FT",24,"0-10",29
"HUM",2007,"FT",24,"10-20",77
"HUM",2007,"FT",24,"20-30",227
"HUM",2007,"FT",24,"30-40",382
"HUM",2007,"FT",24,"40-50",397
"HUM",2007,"FT",24,"50-60",193
"HUM",2007,"FT",24,"60-70",68
"HUM",2007,"FT",24,"70-80",25
"HUM",2007,"FT",24,"80-90",12
"JOU",2007,"FT",24,"30-40",18
"JOU",2007,"FT",24,"50-60",12
"KRP",2007,"FT",24,"10-20",32
"KRP",2007,"FT",24,"20-30",78
"KRP",2007,"FT",24,"30-40",100
"KRP",2007,"FT",24,"40-50",127
"KRP",2007,"FT",24,"50-60",75
"KRP",2007,"FT",24,"60-70",35
"KRP",2007,"FT",24,"70-80",10
"LAW",2007,"FT",24,"40-50",18
"LAW",2007,"FT",24,"50-60",27
"LAW",2007,"FT",24,"60-70",54
"LAW",2007,"FT",24,"70-80",40
"LAW",2007,"FT",24,"80-90",35
"LAW",2007,"FT",24,"90-100",46
"LAW",2007,"FT",24,">100",50
"MAT",2007,"FT",24,"20-30",10
"MAT",2007,"FT",24,"30-40",31
"MAT",2007,"FT",24,"40-50",40
"MAT",2007,"FT",24,"50-60",57
"MAT",2007,"FT",24,"60-70",45
"MAT",2007,"FT",24,"70-80",17
"MAT",2007,"FT",24,"80-90",10
"MED",2007,"FT",24,"40-50",11
"MED",2007,"FT",24,"50-60",48
"MED",2007,"FT",24,"60-70",31
"MED",2007,"FT",24,">100",23
"NUR",2007,"FT",24,"30-40",11
"NUR",2007,"FT",24,"40-50",64
"NUR",2007,"FT",24,"50-60",265
"NUR",2007,"FT",24,"60-70",215
"NUR",2007,"FT",24,"70-80",74
"NUR",2007,"FT",24,"80-90",49
"NUR",2007,"FT",24,"90-100",13
"NUR",2007,"FT",24,">100",11
"OPT",2007,"FT",24,">100",15
"OAS",2007,"FT",24,"10-20",15
"OAS",2007,"FT",24,"20-30",54
"OAS",2007,"FT",24,"30-40",96
"OAS",2007,"FT",24,"40-50",111
"OAS",2007,"FT",24,"50-60",71
"OAS",2007,"FT",24,"60-70",38
"OAS",2007,"FT",24,"70-80",23
"OAS",2007,"FT",24,"80-90",16
"OAS",2007,"FT",24,"90-100",14
"OAS",2007,"FT",24,">100",10
"PHA",2007,"FT",24,"80-90",16
"PHA",2007,"FT",24,">100",16
"PSC",2007,"FT",24,"20-30",15
"PSC",2007,"FT",24,"30-40",20
"PSC",2007,"FT",24,"40-50",21
"PSC",2007,"FT",24,"50-60",19
"SSC",2007,"FT",24,"0-10",30
"SSC",2007,"FT",24,"10-20",125
"SSC",2007,"FT",24,"20-30",375
"SSC",2007,"FT",24,"30-40",721
"SSC",2007,"FT",24,"40-50",790
"SSC",2007,"FT",24,"50-60",507
"SSC",2007,"FT",24,"60-70",191
"SSC",2007,"FT",24,"70-80",85
"SSC",2007,"FT",24,"80-90",31
"SSC",2007,"FT",24,"90-100",10
"SSC",2007,"FT",24,">100",30
"TRE",2007,"FT",24,"40-50",10
"TRE",2007,"FT",24,"50-60",11
"VME",2007,"FT",24,"60-70",13
"VME",2007,"FT",24,"70-80",12
"ABS",2007,"PT",6,"0-10",55
"ABS",2007,"PT",6,"10-20",60
"ABS",2007,"PT",6,"20-30",23
"BCO",2007,"PT",6,"0-10",18
"BCO",2007,"PT",6,"10-20",41
"BCO",2007,"PT",6,"20-30",30
"CSC",2007,"PT",6,"0-10",10
"EDU",2007,"PT",6,"0-10",86
"EDU",2007,"PT",6,"10-20",135
"EDU",2007,"PT",6,"20-30",187
"EDU",2007,"PT",6,"30-40",74
"EDU",2007,"PT",6,"40-50",30
"ENG",2007,"PT",6,"10-20",16
"ENG",2007,"PT",6,"20-30",15
"FAA",2007,"PT",6,"0-10",67
"FAA",2007,"PT",6,"10-20",68
"FAA",2007,"PT",6,"20-30",30
"FAA",2007,"PT",6,"30-40",11
"FSN",2007,"PT",6,"10-20",12
"HPR",2007,"PT",6,"0-10",21
"HPR",2007,"PT",6,"10-20",21
"HUM",2007,"PT",6,"0-10",152
"HUM",2007,"PT",6,"10-20",193
"HUM",2007,"PT",6,"20-30",94
"HUM",2007,"PT",6,"30-40",14
"KRP",2007,"PT",6,"0-10",43
"KRP",2007,"PT",6,"10-20",58
"KRP",2007,"PT",6,"20-30",27
"MAT",2007,"PT",6,"10-20",12
"NUR",2007,"PT",6,"30-40",12
"NUR",2007,"PT",6,"40-50",21
"NUR",2007,"PT",6,"50-60",19
"OAS",2007,"PT",6,"0-10",30
"OAS",2007,"PT",6,"10-20",38
"OAS",2007,"PT",6,"20-30",20
"PSC",2007,"PT",6,"0-10",10
"SSC",2007,"PT",6,"0-10",206
"SSC",2007,"PT",6,"10-20",343
"SSC",2007,"PT",6,"20-30",187
"SSC",2007,"PT",6,"30-40",52
"SSC",2007,"PT",6,"40-50",14
"ABS",2007,"PT",24,"0-10",40
"ABS",2007,"PT",24,"10-20",59
"ABS",2007,"PT",24,"20-30",23
"ABS",2007,"PT",24,"30-40",10
"BCO",2007,"PT",24,"0-10",12
"BCO",2007,"PT",24,"10-20",28
"BCO",2007,"PT",24,"20-30",13
"BCO",2007,"PT",24,"30-40",10
"EDU",2007,"PT",24,"0-10",50
"EDU",2007,"PT",24,"10-20",106
"EDU",2007,"PT",24,"20-30",143
"EDU",2007,"PT",24,"30-40",73
"EDU",2007,"PT",24,"40-50",21
"ENG",2007,"PT",24,"0-10",11
"ENG",2007,"PT",24,"10-20",18
"FAA",2007,"PT",24,"0-10",52
"FAA",2007,"PT",24,"10-20",60
"FAA",2007,"PT",24,"20-30",38
"FAA",2007,"PT",24,"30-40",12
"FSN",2007,"PT",24,"10-20",14
"HPR",2007,"PT",24,"0-10",13
"HPR",2007,"PT",24,"10-20",18
"HUM",2007,"PT",24,"0-10",114
"HUM",2007,"PT",24,"10-20",165
"HUM",2007,"PT",24,"20-30",85
"HUM",2007,"PT",24,"30-40",29
"HUM",2007,"PT",24,"40-50",13
"KRP",2007,"PT",24,"0-10",23
"KRP",2007,"PT",24,"10-20",38
"KRP",2007,"PT",24,"20-30",34
"NUR",2007,"PT",24,"20-30",14
"NUR",2007,"PT",24,"30-40",13
"NUR",2007,"PT",24,"40-50",22
"NUR",2007,"PT",24,"50-60",27
"NUR",2007,"PT",24,"60-70",13
"OAS",2007,"PT",24,"0-10",22
"OAS",2007,"PT",24,"10-20",36
"OAS",2007,"PT",24,"20-30",16
"PSC",2007,"PT",24,"10-20",12
"SSC",2007,"PT",24,"0-10",153
"SSC",2007,"PT",24,"10-20",245
"SSC",2007,"PT",24,"20-30",158
"SSC",2007,"PT",24,"30-40",65
"SSC",2007,"PT",24,"40-50",27
