"Year","EducationLevel","Metric","AgeGroup","Sex","Count"
2001,"E3","EFT","55+","F",47.8
2001,"E3","EFT","55-64","M",62.2
2001,"E3","EFT","55-64","F",45.9
2001,"E3","EPT","15-24","M",28.5
2001,"E3","EPT","15-24","F",41.5
2001,"E3","EPT","25-34","M",5.3
2001,"E3","EPT","25-34","F",20
2001,"E3","EPT","55+","M",8.5
2001,"E3","EPT","55+","F",19.4
2001,"E3","EPT","55-64","M",4.7
2001,"E3","EPT","55-64","F",15.5
2001,"E3","UNE","15-24","M",18.2
2001,"E3","UNE","15-24","F",9.8
2001,"E3","UNE","25-34","M",10.5
2001,"E3","UNE","25-34","F",8.2
2001,"E3","UNE","55+","M",2.9
2001,"E3","UNE","55+","F",3.2
2001,"E3","UNE","55-64","M",2.6
2001,"E3","UNE","55-64","F",2.9
2001,"E3","NLF","15-24","M",32.9
2001,"E3","NLF","15-24","F",38.5
2001,"E3","NLF","25-34","M",10.7
2001,"E3","NLF","25-34","F",33.8
2001,"E3","NLF","55+","M",129.1
2001,"E3","NLF","55+","F",233.1
2001,"E3","NLF","55-64","M",38.3
2001,"E3","NLF","55-64","F",72.1
2001,"E3","URT","15-24","M",13.4
2001,"E3","URT","15-24","F",9.2
2001,"E3","URT","25-34","M",6.4
2001,"E3","URT","25-34","F",7.2
2001,"E3","URT","55+","M",3.6
2001,"E3","URT","55+","F",4.5
2001,"E3","URT","55-64","M",3.7
2001,"E3","URT","55-64","F",4.5
2001,"E3","PRT","15-24","M",80.5
2001,"E3","PRT","15-24","F",73.5
2001,"E3","PRT","25-34","M",93.9
2001,"E3","PRT","25-34","F",77.1
2001,"E3","PRT","55+","M",38.5
2001,"E3","PRT","55+","F",23.2
2001,"E3","PRT","55-64","M",64.5
2001,"E3","PRT","55-64","F",47.1
2001,"E3","ERT","15-24","M",69.8
2001,"E3","ERT","15-24","F",66.8
2001,"E3","ERT","25-34","M",87.9
2001,"E3","ERT","25-34","F",71.5
2001,"E3","ERT","55+","M",37.1
2001,"E3","ERT","55+","F",22.1
2001,"E3","ERT","55-64","M",62.1
2001,"E3","ERT","55-64","F",45
2001,"E4","LFO","15-24","M",90.4
2001,"E4","LFO","15-24","F",96.5
2001,"E4","LFO","25-34","M",62.3
2001,"E4","LFO","25-34","F",48.6
2001,"E4","LFO","55+","M",22.8
2001,"E4","LFO","55+","F",22.1
2001,"E4","LFO","55-64","M",17.9
2001,"E4","LFO","55-64","F",18.8
2001,"E4","EFT","15-24","M",48.7
2001,"E4","EFT","15-24","F",36.4
2001,"E4","EFT","25-34","M",53.1
2001,"E4","EFT","25-34","F",35.9
2001,"E4","EFT","55+","M",18
2001,"E4","EFT","55+","F",14.3
2001,"E4","EFT","55-64","M",15.7
2001,"E4","EFT","55-64","F",12.9
2001,"E4","EPT","15-24","M",32.8
2001,"E4","EPT","15-24","F",51.2
2001,"E4","EPT","25-34","M",5.6
2001,"E4","EPT","25-34","F",9.5
2001,"E4","EPT","55+","M",3.8
2001,"E4","EPT","55+","F",6
2001,"E4","EPT","55-64","M",1.5
2001,"E4","EPT","55-64","F",4.2
2001,"E4","UNE","15-24","M",8.8
2001,"E4","UNE","15-24","F",8.9
2001,"E4","UNE","25-34","M",3.5
2001,"E4","UNE","25-34","F",3.3
2001,"E4","UNE","55+","F",1.7
2001,"E4","UNE","55-64","F",1.7
2001,"E4","NLF","15-24","M",44.9
2001,"E4","NLF","15-24","F",45.9
2001,"E4","NLF","25-34","M",7.8
2001,"E4","NLF","25-34","F",15.4
2001,"E4","NLF","55+","M",41
2001,"E4","NLF","55+","F",51.2
2001,"E4","NLF","55-64","M",11.3
2001,"E4","NLF","55-64","F",17.1
2001,"E4","URT","15-24","M",9.7
2001,"E4","URT","15-24","F",9.2
2001,"E4","URT","25-34","M",5.6
2001,"E4","URT","25-34","F",6.8
2001,"E4","URT","55+","F",7.7
2001,"E4","URT","55-64","F",9
2001,"E4","PRT","15-24","M",66.8
2001,"E4","PRT","15-24","F",67.8
2001,"E4","PRT","25-34","M",88.9
2001,"E4","PRT","25-34","F",75.8
2001,"E4","PRT","55+","M",35.7
2001,"E4","PRT","55+","F",30.2
2001,"E4","PRT","55-64","M",61.3
