Credentials / Accréditations
----------------------------

ATC	Apprenticeship or trades certificate or diploma                     	Certificat ou diplôme technique ou d'apprentissage
BDE	Bachelor's degree                                                   	Baccalauréat
CCO	College, CEGEP or other non-university certificate or diploma       	Certificat ou diplôme non-universitaire
CDB	University certificate or diploma below bachelor level              	Certificat ou diplôme universitaire inférieur au baccalauréat
CDD	University certificate, diploma or degree above bachelor level      	Certificat ou diplôme universitaire supérieur au baccalauréat
HSD	High school diploma or equivalent                                   	Études secondaires ou equivalent
NCD	No certificate, diploma or degree                                   	Aucun certificat ou diplôme


Occupations (NOC / CNP)
-----------------------

1224	Property administrators                                                                                              	Agents/agentes de gestion immobilière
1225	Purchasing agents and officers                                                                                       	Agents/agentes aux achats
1226	Conference and event planners                                                                                        	Planificateurs/planificatrices de congrès et d'événements
1227	Court officers and justices of the peace                                                                             	Juges de paix et officiers/officières de justice
1228	Employment insurance, immigration, border services and revenue officers                                              	Agents/agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu
1241	Administrative assistants                                                                                            	Adjoints administratifs/adjointes administratives
1242	Legal administrative assistants                                                                                      	Adjoints administratifs juridiques/adjointes administratives juridiques
1243	Medical administrative assistants                                                                                    	Adjoints administratifs médicaux/adjointes administratives médicales
1251	Court reporters, medical transcriptionists and related occupations                                                   	Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé
1252	Health information management occupations                                                                            	Professionnels/professionnelles de la gestion de l'information sur la santé
1253	Records management technicians                                                                                       	Techniciens/techniciennes à la gestion des documents
1254	Statistical officers and related research support occupations                                                        	Agents/agentes de statistiques et professions connexes du soutien de la recherche
1311	Accounting technicians and bookkeepers                                                                               	Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres
1312	Insurance adjusters and claims examiners                                                                             	Experts/expertes en sinistres et rédacteurs/rédactrices sinistres
1313	Insurance underwriters                                                                                               	Assureurs/assureures
1314	Assessors, valuators and appraisers                                                                                  	Estimateurs/estimatrices et évaluateurs/évaluatrices
1315	Customs, ship and other brokers                                                                                      	Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières
1411	General office support workers                                                                                       	Employés de soutien de bureau généraux/employées de soutien de bureau générales
1414	Receptionists                                                                                                        	Réceptionnistes
1415	Personnel clerks                                                                                                     	Commis des services du personnel
1416	Court clerks                                                                                                         	Commis des services judiciaires
1422	Data entry clerks                                                                                                    	Commis à la saisie de données
1423	Desktop publishing operators and related occupations                                                                 	Opérateurs/opératrices d'équipement d'éditique et personnel assimilé
1431	Accounting and related clerks                                                                                        	Commis à la comptabilité et personnel assimilé
1432	Payroll clerks                                                                                                       	Administrateurs/administratrices de la paye
1434	Banking, insurance and other financial clerks                                                                        	Commis de banque, d'assurance et d'autres services financiers
1435	Collectors                                                                                                           	Agents/agentes de recouvrement
1451	Library assistants and clerks                                                                                        	Commis et assistants/assistantes dans les bibliothèques
1452	Correspondence, publication and regulatory clerks                                                                    	Correspondanciers/correspondancières et commis aux publications et aux règlements
1454	Survey interviewers and statistical clerks                                                                           	Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques
1511	Mail, postal and related workers                                                                                     	Commis au courrier et aux services postaux et personnel assimilé
1512	Letter carriers                                                                                                      	Facteurs/factrices
1513	Couriers, messengers and door-to-door distributors                                                                   	Messagers/messagères et distributeurs/distributrices porte-à-porte
1521	Shippers and receivers                                                                                               	Expéditeurs/expéditrices et réceptionnaires
1522	Storekeepers and partspersons                                                                                        	Magasiniers/magasinières et commis aux pièces
1523	Production logistics co-ordinators                                                                                   	Coordonnateurs/coordonnatrices de la logistique de la production
1524	Purchasing and inventory control workers                                                                             	Commis aux achats et au contrôle de l'inventaire
1525	Dispatchers                                                                                                          	Répartiteurs/répartitrices
1526	Transportation route and crew schedulers                                                                             	Horairistes de trajets et d'équipages
2111	Physicists and astronomers                                                                                           	Physiciens/physiciennes et astronomes
2112	Chemists                                                                                                             	Chimistes
2113	Geoscientists and oceanographers                                                                                     	Géoscientifiques et océanographes
2114	Meteorologists and climatologists                                                                                    	Météorologues et climatologues
2115	Other professional occupations in physical sciences                                                                  	Autres professionnels/professionnelles des sciences physiques
2121	Biologists and related scientists                                                                                    	Biologistes et personnel scientifique assimilé
2122	Forestry professionals                                                                                               	Professionnels/professionnelles des sciences forestières
2123	Agricultural representatives, consultants and specialists                                                            	Agronomes, conseillers/conseillères et spécialistes en agriculture
2131	Civil engineers                                                                                                      	Ingénieurs civils/ingénieures civiles
2132	Mechanical engineers                                                                                                 	Ingénieurs mécaniciens/ingénieures mécaniciennes
2133	Electrical and electronics engineers                                                                                 	Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes
2134	Chemical engineers                                                                                                   	Ingénieurs chimistes/ingénieures chimistes
2141	Industrial and manufacturing engineers                                                                               	Ingénieurs/ingénieures d'industrie et de fabrication
2142	Metallurgical and materials engineers                                                                                	Ingénieurs/ingénieures métallurgistes et des matériaux
2143	Mining engineers                                                                                                     	Ingénieurs miniers/ingénieures minières
2144	Geological engineers                                                                                                 	Ingénieurs géologues/ingénieures géologues
2145	Petroleum engineers                                                                                                  	Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole
2146	Aerospace engineers                                                                                                  	Ingénieurs/ingénieures en aérospatiale
2147	Computer engineers (except software engineers and designers)                                                         	Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel)
2148	Other professional engineers, n.e.c.                                                                                 	Autres ingénieurs/ingénieures, n.c.a.
2151	Architects                                                                                                           	Architectes
2152	Landscape architects                                                                                                 	Architectes paysagistes
2153	Urban and land use planners                                                                                          	Urbanistes et planificateurs/planificatrices de l'utilisation des sols
2154	Land surveyors                                                                                                       	Arpenteurs-géomètres/arpenteuses-géomètres
2161	Mathematicians, statisticians and actuaries                                                                          	Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires
2171	Information systems analysts and consultants                                                                         	Analystes et consultants/consultantes en informatique
2172	Database analysts and data administrators                                                                            	Analystes de bases de données et administrateurs/administratrices de données
2173	Software engineers and designers                                                                                     	Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel
2174	Computer programmers and interactive media developers                                                                	Programmeurs/programmeuses et développeurs/développeuses en médias interactifs
2175	Web designers and developers                                                                                         	Concepteurs/conceptrices et développeurs/développeuses Web
2211	Chemical technologists and technicians                                                                               	Technologues et techniciens/techniciennes en chimie
2212	Geological and mineral technologists and technicians                                                                 	Technologues et techniciens/techniciennes en géologie et en minéralogie
2221	Biological technologists and technicians                                                                             	Technologues et techniciens/techniciennes en biologie
2222	Agricultural and fish products inspectors                                                                            	Inspecteurs/inspectrices des produits agricoles et de la pêche
2223	Forestry technologists and technicians                                                                               	Technologues et techniciens/techniciennes en sciences forestières
2224	Conservation and fishery officers                                                                                    	Techniciens/techniciennes du milieu naturel et de la pêche
2225	Landscape and horticulture technicians and specialists                                                               	Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture
2231	Civil engineering technologists and technicians                                                                      	Technologues et techniciens/techniciennes en génie civil
2232	Mechanical engineering technologists and technicians                                                                 	Technologues et techniciens/techniciennes en génie mécanique
2233	Industrial engineering and manufacturing technologists and technicians                                               	Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication
2234	Construction estimators                                                                                              	Estimateurs/estimatrices en construction
2241	Electrical and electronics engineering technologists and technicians                                                 	Technologues et techniciens/techniciennes en génie électronique et électrique
2242	Electronic service technicians (household and business equipment)                                                    	Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux)
2243	Industrial instrument technicians and mechanics                                                                      	Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels
2244	Aircraft instrument, electrical and avionics mechanics, technicians and inspectors                                   	Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs
2251	Architectural technologists and technicians                                                                          	Technologues et techniciens/techniciennes en architecture
2252	Industrial designers                                                                                                 	Designers industriels/designers industrielles
2253	Drafting technologists and technicians                                                                               	Technologues et techniciens/techniciennes en dessin
2254	Land survey technologists and technicians                                                                            	Technologues et techniciens/techniciennes en arpentage
