"AcademicYear","Division","University","Range","StudentYear","Count","Percentage"
2014,"S","TMI","101-250",2,63,.309
2014,"S","TMI","101-250",3,12,.045
2014,"S","TSC","101-250",1,33,.299
2014,"S","TSC","101-250",2,32,.147
2014,"S","TSC","101-250",3,10,.038
2014,"S","TRE","101-250",1,32,.337
2014,"S","TRE","101-250",2,11,.066
2014,"S","TRE","101-250",3,3,.014
2014,"S","WAT","101-250",1,160,.268
2014,"S","WAT","101-250",2,101,.17
2014,"S","WAT","101-250",3,34,.072
2014,"S","WAT","101-250",4,20,.05
2014,"S","WMC","101-250",1,91,.243
2014,"S","WMC","101-250",2,122,.111
2014,"S","WMC","101-250",3,33,.04
2014,"S","WMC","101-250",4,8,.014
2014,"S","WHC","101-250",1,6,.077
2014,"S","WHC","101-250",2,1,.009
2014,"S","WLA","101-250",1,71,.34
2014,"S","WLA","101-250",2,78,.225
2014,"S","WLA","101-250",3,11,.035
2014,"S","WIN","101-250",1,59,.369
2014,"S","WIN","101-250",2,45,.184
2014,"S","WIN","101-250",3,16,.066
2014,"S","WIN","101-250",4,4,.027
2014,"S","YOR","101-250",1,167,.245
2014,"S","YOR","101-250",2,125,.19
2014,"S","YOR","101-250",3,48,.053
2014,"S","YOR","101-250",4,19,.023
2013,"S","BRO","101-250",1,60,.197
2013,"S","BRO","101-250",2,75,.138
2013,"S","BRO","101-250",3,19,.031
2013,"S","BRO","101-250",4,3,.007
2013,"S","CAR","101-250",1,83,.217
2013,"S","CAR","101-250",2,79,.202
2013,"S","CAR","101-250",3,24,.058
2013,"S","CAR","101-250",4,4,.01
2013,"S","GUE","101-250",1,41,.263
2013,"S","GUE","101-250",2,58,.239
2013,"S","GUE","101-250",3,51,.118
2013,"S","GUE","101-250",4,14,.02
2013,"S","LAK","101-250",1,14,.074
2013,"S","LAK","101-250",2,10,.042
2013,"S","LAK","101-250",3,1,.004
2013,"S","LAK","101-250",4,9,.017
2013,"S","LAU","101-250",1,18,.105
2013,"S","LAU","101-250",2,13,.055
2013,"S","MCM","101-250",1,59,.247
2013,"S","MCM","101-250",2,106,.286
2013,"S","MCM","101-250",3,55,.125
2013,"S","MCM","101-250",4,8,.024
2013,"S","NIP","101-250",1,3,.008
2013,"S","NIP","101-250",2,5,.016
2013,"S","OCA","101-250",1,10,.029
2013,"S","OCA","101-250",2,8,.016
2013,"S","OCA","101-250",3,2,.004
2013,"S","OTT","101-250",1,164,.294
2013,"S","OTT","101-250",2,104,.163
2013,"S","OTT","101-250",3,32,.036
2013,"S","OTT","101-250",4,14,.026
2013,"S","UOI","101-250",1,43,.35
2013,"S","UOI","101-250",2,33,.26
2013,"S","UOI","101-250",3,9,.045
2013,"S","UOI","101-250",4,1,.006
2013,"S","QUE","101-250",1,56,.179
2013,"S","QUE","101-250",2,75,.222
2013,"S","QUE","101-250",3,26,.057
2013,"S","QUE","101-250",4,8,.011
2013,"S","RYE","101-250",1,123,.196
2013,"S","RYE","101-250",2,92,.158
2013,"S","RYE","101-250",3,49,.092
2013,"S","RYE","101-250",4,23,.043
2013,"S","TAC","101-250",1,158,.261
2013,"S","TAC","101-250",2,250,.265
2013,"S","TAC","101-250",3,89,.072
2013,"S","TAC","101-250",4,7,.008
2013,"S","TSG","101-250",1,93,.232
2013,"S","TSG","101-250",2,166,.306
2013,"S","TSG","101-250",3,65,.089
2013,"S","TSG","101-250",4,6,.01
2013,"S","TMI","101-250",1,33,.369
2013,"S","TMI","101-250",2,54,.276
2013,"S","TMI","101-250",3,15,.056
2013,"S","TSC","101-250",1,32,.279
2013,"S","TSC","101-250",2,31,.147
2013,"S","TSC","101-250",3,10,.04
2013,"S","TSC","101-250",4,1,.006
2013,"S","TRE","101-250",1,29,.34
2013,"S","TRE","101-250",2,15,.09
2013,"S","TRE","101-250",3,2,.01
2013,"S","WAT","101-250",1,167,.285
2013,"S","WAT","101-250",2,107,.179
2013,"S","WAT","101-250",3,35,.076
2013,"S","WAT","101-250",4,19,.046
2013,"S","WMC","101-250",1,92,.256
2013,"S","WMC","101-250",2,123,.111
2013,"S","WMC","101-250",3,29,.036
2013,"S","WMC","101-250",4,5,.009
2013,"S","WHC","101-250",1,6,.092
2013,"S","WHC","101-250",2,1,.009
2013,"S","WLA","101-250",1,73,.348
2013,"S","WLA","101-250",2,71,.199
2013,"S","WLA","101-250",3,6,.017
2013,"S","WIN","101-250",1,50,.299
2013,"S","WIN","101-250",2,46,.191
2013,"S","WIN","101-250",3,15,.059
2013,"S","WIN","101-250",4,5,.034
2013,"S","YOR","101-250",1,175,.251
2013,"S","YOR","101-250",2,127,.187
2013,"S","YOR","101-250",3,49,.053
2013,"S","YOR","101-250",4,19,.022
2012,"S","BRO","101-250",1,50,.145
2012,"S","BRO","101-250",2,84,.161
2012,"S","BRO","101-250",3,37,.065
2012,"S","BRO","101-250",4,4,.008
2012,"S","CAR","101-250",1,72,.189
2012,"S","CAR","101-250",2,84,.216
2012,"S","CAR","101-250",3,21,.052
2012,"S","CAR","101-250",4,2,.005
2012,"S","GUE","101-250",1,108,.271
2012,"S","GUE","101-250",2,154,.254
2012,"S","GUE","101-250",3,130,.117
2012,"S","GUE","101-250",4,22,.008
2012,"S","LAK","101-250",1,15,.082
2012,"S","LAK","101-250",2,13,.055
2012,"S","LAK","101-250",3,5,.019
2012,"S","LAK","101-250",4,9,.016
2012,"S","LAU","101-250",1,15,.095
2012,"S","LAU","101-250",2,9,.037
2012,"S","LAU","101-250",3,1,.005
2012,"S","MCM","101-250",1,47,.199
2012,"S","MCM","101-250",2,110,.296
2012,"S","MCM","101-250",3,53,.126
2012,"S","MCM","101-250",4,6,.018
2012,"S","NIP","101-250",1,6,.019
2012,"S","NIP","101-250",2,2,.006
2012,"S","OCA","101-250",2,6,.015
2012,"S","OTT","101-250",1,166,.307
2012,"S","OTT","101-250",2,106,.17
2012,"S","OTT","101-250",3,30,.035
2012,"S","OTT","101-250",4,10,.018
2012,"S","UOI","101-250",1,45,.341
2012,"S","UOI","101-250",2,39,.317
2012,"S","UOI","101-250",3,13,.073
2012,"S","QUE","101-250",1,55,.18
2012,"S","QUE","101-250",2,67,.228
2012,"S","QUE","101-250",3,33,.074
2012,"S","QUE","101-250",4,13,.018
2012,"S","RYE","101-250",1,112,.183
2012,"S","RYE","101-250",2,74,.126
2012,"S","RYE","101-250",3,39,.07
2012,"S","RYE","101-250",4,19,.038
2012,"S","TAC","101-250",1,152,.262
2012,"S","TAC","101-250",2,244,.263
2012,"S","TAC","101-250",3,82,.068
2012,"S","TAC","101-250",4,5,.006
2012,"S","TSG","101-250",1,92,.235
2012,"S","TSG","101-250",2,162,.305
2012,"S","TSG","101-250",3,61,.086
2012,"S","TSG","101-250",4,5,.009
2012,"S","TMI","101-250",1,30,.333
2012,"S","TMI","101-250",2,54,.275
2012,"S","TMI","101-250",3,10,.037
2012,"S","TSC","101-250",1,31,.303
2012,"S","TSC","101-250",2,28,.14
2012,"S","TSC","101-250",3,11,.048
2012,"S","TRE","101-250",1,27,.29
2012,"S","TRE","101-250",2,8,.05
2012,"S","TRE","101-250",3,2,.01
2012,"S","WAT","101-250",1,124,.207
2012,"S","WAT","101-250",2,146,.251
2012,"S","WAT","101-250",3,123,.28
2012,"S","WAT","101-250",4,76,.189
2012,"S","WMC","101-250",1,86,.244
2012,"S","WMC","101-250",2,125,.114
2012,"S","WMC","101-250",3,29,.036
2012,"S","WMC","101-250",4,8,.014
2012,"S","WHC","101-250",1,6,.077
2012,"S","WHC","101-250",2,1,.009
2012,"S","WLA","101-250",1,65,.33
2012,"S","WLA","101-250",2,75,.215
2012,"S","WLA","101-250",3,10,.032
2012,"S","WIN","101-250",1,49,.304
2012,"S","WIN","101-250",2,52,.211
2012,"S","WIN","101-250",3,15,.06
2012,"S","WIN","101-250",4,4,.025
2012,"S","YOR","101-250",1,177,.261
2012,"S","YOR","101-250",2,117,.165
2012,"S","YOR","101-250",3,54,.051
2012,"S","YOR","101-250",4,6,.007
2011,"S","BRO","101-250",1,58,.179
2011,"S","BRO","101-250",2,79,.126
2011,"S","BRO","101-250",3,28,.041
2011,"S","BRO","101-250",4,4,.006
