"Year","College","MTCUCode","Entrants","Graduates"
"16-17","CONS","60503",42,29
"16-17","CONS","60504",34,23
"15-16","CONS","60504",35,24
"13-14","CONS","60504",11,10
"14-15","CONS","60504",12,11
"15-16","CONS","60509",33,14
"16-17","CONS","61003",41,28
"12-13","CONS","61003",32,12
"13-14","CONS","61003",32,18
"14-15","CONS","61003",32,15
"15-16","CONS","61003",45,33
"13-14","CONS","61003",14,11
"16-17","CONS","61007",23,13
"12-13","CONS","61007",29,13
"15-16","CONS","61007",28,16
"14-15","CONS","61007",34,14
"12-13","CONS","61007",21,13
"13-14","CONS","61007",15,10
"14-15","CONS","61007",21,15
"16-17","CONS","61007",46,27
"12-13","CONS","61007",56,33
"15-16","CONS","61007",45,24
"13-14","CONS","61007",64,34
"14-15","CONS","61007",41,23
"12-13","CONS","61615",35,26
"13-14","CONS","61615",28,22
"14-15","CONS","61615",33,19
"15-16","CONS","61615",33,26
"16-17","CONS","61615",39,29
"16-17","CONS","61820",34,25
"15-16","CONS","61820",33,22
"13-14","CONS","61820",28,26
"14-15","CONS","61820",31,25
"12-13","CONS","61820",35,29
"13-14","CONS","62801",47,32
"15-16","CONS","62801",33,14
"14-15","CONS","62801",43,27
"12-13","CONS","62801",36,23
"16-17","CONS","62801",34,14
"16-17","CONS","62900",87,40
"14-15","CONS","62900",22,17
"15-16","CONS","62900",83,48
"13-14","CONS","62900",30,20
"13-14","CONS","62900",87,42
"14-15","CONS","62900",90,44
"12-13","CONS","62900",27,14
"12-13","CONS","62900",83,43
"13-14","CONS","64300",12,10
"15-16","CONS","64300",15,12
"14-15","CONS","64300",17,14
"12-13","CONS","64300",14,10
"16-17","CONS","64300",15,10
"16-17","CONS","64300",16,11
"15-16","CONS","64300",19,13
"14-15","CONS","64300",19,14
"12-13","CONS","64300",15,12
"15-16","CONS","65203",18,11
"16-17","CONS","65203",19,12
"16-17","CONS","65613",49,34
"13-14","CONS","65613",29,25
"15-16","CONS","65613",59,37
"13-14","CONS","65613",19,11
"14-15","CONS","65613",42,25
"14-15","CONS","67000",30,22
"13-14","CONS","67000",28,20
"15-16","CONS","67000",19,16
"12-13","CONS","67000",36,23
"16-17","CONS","67000",18,14
"16-17","CONS","68200",79,50
"14-15","CONS","68200",13,10
"13-14","CONS","68200",14,10
"15-16","CONS","68200",82,50
"13-14","CONS","68200",60,33
"14-15","CONS","68200",59,38
"12-13","CONS","68200",17,17
"12-13","CONS","68200",71,39
"15-16","CONS","68900",45,30
"14-15","CONS","68900",25,17
"13-14","CONS","68900",27,13
"13-14","CONS","68900",31,20
"14-15","CONS","68900",28,17
"12-13","CONS","68900",21,16
"12-13","CONS","68900",54,35
"16-17","CONS","68900",36,21
"16-17","CONS","70100",20,14
"13-14","CONS","70100",18,11
"14-15","CONS","70100",14,13
"15-16","CONS","70100",25,22
"12-13","CONS","70100",39,30
"12-13","CONS","70103",16,15
"15-16","CONS","70207",19,19
"16-17","CONS","70207",12,12
"13-14","CONS","70223",37,33
"14-15","CONS","70223",60,59
"15-16","CONS","70223",125,110
"13-14","CONS","70223",46,44
"14-15","CONS","70223",52,42
"12-13","CONS","70223",42,35
"12-13","CONS","70223",63,55
"16-17","CONS","70223",122,110
"14-15","CONS","70230",16,10
"15-16","CONS","70231",14,12
"13-14","CONS","70243",16,16
"15-16","CONS","70243",18,18
"14-15","CONS","70243",27,27
"16-17","CONS","70243",18,18
"16-17","CONS","70501",14,12
"13-14","CONS","70501",16,12
"15-16","CONS","70501",13,10
"14-15","CONS","70501",14,12
"13-14","CONS","70724",14,14
"15-16","CONS","70724",11,11
"14-15","CONS","70724",17,17
"16-17","CONS","70724",18,16
"16-17","CONS","70913",16,11
"13-14","CONS","70913",18,15
"14-15","CONS","70913",22,14
"12-13","CONS","70913",16,12
"15-16","CONS","71206",15,14
"13-14","CONS","71206",20,17
"14-15","CONS","71206",18,17
"12-13","CONS","71206",21,18
"16-17","CONS","71206",13,13
"12-13","CONS","71214",15,14
"15-16","CONS","71396",17,16
"16-17","CONS","71396",17,17
"14-15","CONS","71637",12,11
"15-16","CONS","71637",14,14
"12-13","CONS","71637",14,13
"13-14","CONS","72004",23,23
"12-13","CONS","72004",23,21
"15-16","CONS","72205",30,28
"13-14","CONS","72205",28,28
"14-15","CONS","72205",23,22
"12-13","CONS","72205",29,26
"16-17","CONS","72205",30,28
"16-17","CONS","72614",34,31
"15-16","CONS","72614",72,70
"15-16","CONS","72700",36,19
"13-14","CONS","72700",27,24
"12-13","CONS","72700",26,21
"14-15","CONS","72700",27,21
"15-16","CONS","72801",15,12
"13-14","CONS","73016",18,16
"15-16","CONS","73016",19,19
"14-15","CONS","73016",19,19
"12-13","CONS","73016",18,18
"16-17","CONS","73016",18,18
"16-17","CONS","80103",37,29
"15-16","CONS","80103",34,31
"15-16","CONS","80202",40,35
"13-14","CONS","80202",27,22
"14-15","CONS","80202",27,16
"16-17","CONS","80202",35,23
"16-17","CONS","80243",13,13
"15-16","CONS","81643",18,11
"16-17","CONS","83007",21,18
"13-14","CONS","87000",11,11
"15-16","CONS","87000",17,14
"14-15","CONS","87000",15,12
"12-13","CONS","87000",24,21
"14-15","CONS","88200",37,30
"15-16","CONS","88200",43,38
"13-14","CONS","88200",29,26
"12-13","CONS","88200",35,29
"16-17","CONS","88200",35,31
"13-14","CONS","89302",12,10
"16-17","DURH","40208",44,25
"13-14","DURH","40208",20,10
"15-16","DURH","40208",28,16
"14-15","DURH","40208",37,14
"12-13","DURH","41007",15,10
"16-17","DURH","41007",37,31
"16-17","DURH","41469",62,42
"15-16","DURH","41469",69,59
"13-14","DURH","41469",47,41
"14-15","DURH","41469",57,49
"12-13","DURH","41469",67,60
"13-14","DURH","41603",34,32
"15-16","DURH","41603",122,94
"14-15","DURH","41603",103,90
"12-13","DURH","41603",40,37
"16-17","DURH","41603",114,85
"16-17","DURH","41629",76,56
"15-16","DURH","41629",75,54
"13-14","DURH","41629",57,45
"12-13","DURH","41629",74,55
"14-15","DURH","41629",79,55
"13-14","DURH","42305",48,37
"15-16","DURH","42305",51,34
"12-13","DURH","42305",49,39
"14-15","DURH","42305",35,28
"16-17","DURH","42305",40,35
"16-17","DURH","42313",37,28
"15-16","DURH","42313",39,29
"13-14","DURH","42313",20,13
"14-15","DURH","42313",33,21
"13-14","DURH","42320",33,24
"15-16","DURH","42320",35,30
"12-13","DURH","42320",34,31
"14-15","DURH","42320",32,25
"16-17","DURH","42320",27,20
"16-17","DURH","43006",70,49
"15-16","DURH","43006",55,47
"13-14","DURH","43006",73,56
"12-13","DURH","43006",75,61
"14-15","DURH","43006",71,47
"15-16","DURH","43107",24,13
"13-14","DURH","43107",41,31
"12-13","DURH","43107",31,23
"14-15","DURH","43107",34,21
"16-17","DURH","43107",45,27
"16-17","DURH","44900",91,70
"15-16","DURH","44900",77,69
"13-14","DURH","44900",37,25
"14-15","DURH","44900",41,34
"15-16","DURH","45500",94,74
"13-14","DURH","45500",66,49
"12-13","DURH","45500",75,51
"14-15","DURH","45500",73,60
"16-17","DURH","45500",87,64
"16-17","DURH","45501",40,23
"15-16","DURH","45501",38,30
"13-14","DURH","45501",20,19
"12-13","DURH","45501",32,28
"14-15","DURH","45501",30,25
"16-17","DURH","45613",38,33
"15-16","DURH","48202",38,32
"13-14","DURH","48202",18,15
"14-15","DURH","48202",37,32
"16-17","DURH","48202",36,35
"16-17","DURH","50100",102,51
"15-16","DURH","50100",31,23
"13-14","DURH","50100",58,26
"14-15","DURH","50100",81,38
"13-14","DURH","50200",51,28
"15-16","DURH","50200",53,26
"14-15","DURH","50200",59,30
"16-17","DURH","50200",55,24
"16-17","DURH","50223",34,21
"15-16","DURH","50223",32,16
"13-14","DURH","50223",16,10
"14-15","DURH","50223",23,18
"15-16","DURH","50503",17,10
"12-13","DURH","50503",25,11
"16-17","DURH","50505",15,12
"13-14","DURH","50505",28,16
"15-16","DURH","50513",33,22
"13-14","DURH","50513",52,28
"14-15","DURH","50513",42,24
"16-17","DURH","50513",41,24
"16-17","DURH","50721",100,80
"13-14","DURH","50721",76,61
"15-16","DURH","50721",81,55
"12-13","DURH","50721",58,47
"14-15","DURH","50721",77,60
"16-17","DURH","50805",33,24
"16-17","DURH","51007",26,18
"14-15","DURH","51007",18,13
"13-14","DURH","51007",23,14
"15-16","DURH","51007",29,21
"12-13","DURH","51007",30,22
"15-16","DURH","51007",25,17
"13-14","DURH","51007",39,26
"12-13","DURH","51007",21,11
"14-15","DURH","51007",30,26
"16-17","DURH","51007",28,19
"16-17","DURH","51211",186,142
"13-14","DURH","51211",128,89
"15-16","DURH","51211",119,78
"12-13","DURH","51211",116,82
"14-15","DURH","51211",128,79
"16-17","DURH","51302",25,13
"16-17","DURH","51407",158,143
"15-16","DURH","51407",196,168
"13-14","DURH","51407",90,76
"14-15","DURH","51407",163,140
"12-13","DURH","51407",78,64
"13-14","DURH","51628",45,39
"12-13","DURH","51628",42,39
"14-15","DURH","51628",45,41
"15-16","DURH","51634",56,35
"12-13","DURH","51634",37,15
"13-14","DURH","51634",44,27
"14-15","DURH","51634",63,32
"16-17","DURH","51634",65,44
"16-17","DURH","51637",36,28
"13-14","DURH","51637",34,23
"15-16","DURH","51637",30,25
"12-13","DURH","51637",31,24
"14-15","DURH","51637",30,25
"15-16","DURH","51641",29,25
"16-17","DURH","51641",35,25
"16-17","DURH","51830",63,38
"15-16","DURH","51830",56,38
"15-16","DURH","51830",45,27
"16-17","DURH","51830",71,50
"15-16","DURH","51901",25,12
"13-14","DURH","51901",26,17
"15-16","DURH","51914",45,24
"12-13","DURH","51914",62,29
"13-14","DURH","51914",59,39
"14-15","DURH","51914",36,16
"16-17","DURH","51914",47,27
"16-17","DURH","52005",45,14
"15-16","DURH","52005",51,18
"12-13","DURH","52005",58,16
"13-14","DURH","52005",56,20
"14-15","DURH","52005",42,15
"16-17","DURH","52203",32,18
"16-17","DURH","52209",103,59
"15-16","DURH","52209",86,50
"13-14","DURH","52209",77,48
"12-13","DURH","52209",76,56
"14-15","DURH","52209",80,48
"15-16","DURH","52211",46,10
"14-15","DURH","52211",29,11
"16-17","DURH","52211",41,12
"16-17","DURH","52306",26,19
"15-16","DURH","52306",18,15
"12-13","DURH","52306",43,28
"13-14","DURH","52306",28,18
"14-15","DURH","52306",19,14
"15-16","DURH","52308",57,52
"13-14","DURH","52308",44,29
"12-13","DURH","52308",50,32
"14-15","DURH","52308",30,24
"16-17","DURH","52308",51,45
"16-17","DURH","52316",30,23
"15-16","DURH","52316",26,22
"13-14","DURH","52316",39,24
"12-13","DURH","52316",34,21
"14-15","DURH","52316",35,21
"15-16","DURH","52613",61,46
"13-14","DURH","52613",55,46
"14-15","DURH","52613",69,56
"12-13","DURH","52613",35,23
"16-17","DURH","52613",74,59
"16-17","DURH","52705",31,26
"13-14","DURH","52705",46,41
"15-16","DURH","52705",24,19
"12-13","DURH","52705",35,25
"14-15","DURH","52705",35,28
"13-14","DURH","52900",39,17
"12-13","DURH","52900",22,13
"14-15","DURH","52900",47,17
"16-17","DURH","52900",57,31
"16-17","DURH","53007",151,94
"15-16","DURH","53007",161,102
"13-14","DURH","53007",113,73
"12-13","DURH","53007",105,78
"14-15","DURH","53007",163,106
"15-16","DURH","53008",214,142
"14-15","DURH","53008",208,149
"13-14","DURH","53008",221,159
"12-13","DURH","53008",135,107
"16-17","DURH","53008",216,146
"16-17","DURH","53011",30,21
"16-17","DURH","53107",25,20
"16-17","DURH","53200",46,26
"15-16","DURH","53200",50,26
"14-15","DURH","53200",38,27
"16-17","DURH","53905",29,16
"13-14","DURH","54701",19,12
"12-13","DURH","54701",16,13
"13-14","DURH","55203",33,13
"12-13","DURH","55203",22,10
"16-17","DURH","55300",31,19
"15-16","DURH","55300",40,28
"13-14","DURH","55300",41,35
"12-13","DURH","55300",38,29
"14-15","DURH","55300",43,31
"15-16","DURH","55503",37,25
"13-14","DURH","55503",52,33
"14-15","DURH","55503",61,47
"16-17","DURH","55503",27,17
"16-17","DURH","55613",71,50
"15-16","DURH","55613",67,45
"12-13","DURH","55613",59,39
"13-14","DURH","55613",46,31
"14-15","DURH","55613",54,38
"15-16","DURH","56405",31,16
"13-14","DURH","56405",28,18
"12-13","DURH","56405",30,14
"14-15","DURH","56405",31,18
"16-17","DURH","56405",28,13
"16-17","DURH","58100",45,33
"15-16","DURH","58100",29,20
"16-17","DURH","58900",56,39
"16-17","DURH","59100",50,45
"15-16","DURH","59100",54,51
"13-14","DURH","59100",72,55
"12-13","DURH","59100",38,33
"14-15","DURH","59100",48,36
"16-17","DURH","60100",72,37
"15-16","DURH","60100",82,33
"13-14","DURH","60100",53,30
"12-13","DURH","60100",61,23
"14-15","DURH","60100",49,30
"13-14","DURH","60204",25,11
"15-16","DURH","60204",28,13
"14-15","DURH","60204",32,16
"16-17","DURH","60223",57,34
"14-15","DURH","60223",102,48
"15-16","DURH","60223",55,29
"13-14","DURH","60223",115,46
"12-13","DURH","60223",58,20
"15-16","DURH","60243",45,38
"13-14","DURH","60243",45,32
"12-13","DURH","60243",46,38
"14-15","DURH","60243",50,37
"16-17","DURH","60243",54,39
"15-16","DURH","60503",27,12
"12-13","DURH","60503",14,10
"14-15","DURH","60503",28,14
"16-17","DURH","60503",28,15
"16-17","DURH","60505",53,29
"13-14","DURH","60505",38,21
"15-16","DURH","60505",46,26
"12-13","DURH","60505",32,21
"14-15","DURH","60505",45,28
"13-14","DURH","60513",32,10
"13-14","DURH","60701",38,34
"12-13","DURH","60701",32,27
"15-16","DURH","60701",42,36
"14-15","DURH","60701",38,31
"16-17","DURH","60701",75,59
"16-17","DURH","61007",46,34
"15-16","DURH","61007",49,32
"13-14","DURH","61007",40,21
"12-13","DURH","61007",33,19
"14-15","DURH","61007",39,27
"13-14","DURH","61021",36,25
"12-13","DURH","61021",50,29
"14-15","DURH","61021",12,11
"16-17","DURH","61021",28,21
"16-17","DURH","61301",28,17
"15-16","DURH","61301",19,13
"13-14","DURH","61301",19,12
"12-13","DURH","61301",19,14
"14-15","DURH","61301",20,15
"15-16","DURH","61302",29,26
"12-13","DURH","61302",20,13
"13-14","DURH","61302",16,11
"14-15","DURH","61302",20,11
"16-17","DURH","61302",34,24
"16-17","DURH","61303",23,14
"15-16","DURH","61303",23,16
"12-13","DURH","61303",25,16
"15-16","DURH","61304",33,24
"12-13","DURH","61304",27,19
"13-14","DURH","61304",27,15
"14-15","DURH","61304",25,17
"16-17","DURH","61304",39,29
"16-17","DURH","61820",64,35
"13-14","DURH","61820",61,42
"14-15","DURH","61820",77,48
"12-13","DURH","61820",52,29
"13-14","DURH","61900",21,17
"15-16","DURH","61900",22,18
"14-15","DURH","61900",21,16
"16-17","DURH","61900",27,20
"16-17","DURH","61901",16,14
"15-16","DURH","61901",18,18
"13-14","DURH","61901",28,17
"12-13","DURH","61901",22,15
"14-15","DURH","61901",35,35
"13-14","DURH","61914",14,10
"12-13","DURH","61914",19,15
"15-16","DURH","61914",12,12
"14-15","DURH","61914",19,18
"16-17","DURH","61914",31,29
"16-17","DURH","62006",15,15
"15-16","DURH","62006",15,15
"14-15","DURH","62006",12,12
"13-14","DURH","62006",22,21
"12-13","DURH","62006",19,19
"15-16","DURH","62100",69,52
"13-14","DURH","62100",60,41
"12-13","DURH","62100",71,49
"14-15","DURH","62100",58,47
"16-17","DURH","62100",62,38
"16-17","DURH","62211",28,27
"15-16","DURH","62211",41,37
"13-14","DURH","62211",41,40
"12-13","DURH","62211",51,49
"14-15","DURH","62211",55,53
"15-16","DURH","62611",68,42
"13-14","DURH","62611",73,52
"12-13","DURH","62611",68,49
"14-15","DURH","62611",64,46
"16-17","DURH","62611",90,70
"16-17","DURH","62700",39,22
"15-16","DURH","62700",36,21
"12-13","DURH","62700",30,18
"13-14","DURH","62700",27,13
"14-15","DURH","62700",33,17
"15-16","DURH","62900",70,33
"12-13","DURH","62900",77,31
"13-14","DURH","62900",57,34
"14-15","DURH","62900",70,43
"16-17","DURH","62900",57,27
"16-17","DURH","65203",32,18
"13-14","DURH","65203",30,15
"15-16","DURH","65203",29,21
"14-15","DURH","65203",33,16
"15-16","DURH","68900",31,12
"12-13","DURH","68900",54,17
"13-14","DURH","68900",24,12
"16-17","DURH","68900",56,27
"16-17","DURH","69403",50,17
"15-16","DURH","69403",51,22
"12-13","DURH","69403",21,17
"13-14","DURH","69403",49,21
"14-15","DURH","69403",50,23
"15-16","DURH","70207",18,16
"16-17","DURH","70207",16,16
"16-17","DURH","70223",46,43
"13-14","DURH","70223",30,28
"12-13","DURH","70223",50,44
"15-16","DURH","70223",54,49
"14-15","DURH","70223",42,41
"15-16","DURH","70705",23,22
"13-14","DURH","70705",35,33
"12-13","DURH","70705",34,30
"14-15","DURH","70705",32,29
"16-17","DURH","70705",23,22
"16-17","DURH","70708",18,18
"15-16","DURH","70708",19,19
"12-13","DURH","70708",22,20
"14-15","DURH","70708",18,15
"15-16","DURH","70739",20,19
"13-14","DURH","70739",23,21
"14-15","DURH","70739",28,24
"16-17","DURH","70739",20,20
"16-17","DURH","70902",61,58
"15-16","DURH","70902",56,52
"13-14","DURH","70902",19,18
"12-13","DURH","70902",21,19
"14-15","DURH","70902",58,55
"15-16","DURH","71423",242,129
"12-13","DURH","71423",209,66
"13-14","DURH","71423",219,93
"14-15","DURH","71423",253,158
"16-17","DURH","71423",258,102
"16-17","DURH","71496",20,19
"16-17","DURH","71506",32,31
"13-14","DURH","71506",32,30
"15-16","DURH","71506",28,24
"12-13","DURH","71506",32,31
"14-15","DURH","71506",38,38
"13-14","DURH","71637",18,15
"15-16","DURH","71637",23,14
"12-13","DURH","71637",46,35
"14-15","DURH","71637",28,24
"16-17","DURH","71637",29,25
"16-17","DURH","72205",13,11
"16-17","DURH","72211",31,31
"15-16","DURH","72211",35,35
"12-13","DURH","72211",29,28
"13-14","DURH","72211",25,25
"14-15","DURH","72211",31,30
"15-16","DURH","72614",40,39
"12-13","DURH","72614",34,34
"13-14","DURH","72614",40,40
"14-15","DURH","72614",40,40
"16-17","DURH","72614",42,40
"14-15","DURH","72616",13,11
"16-17","DURH","73016",28,23
"15-16","DURH","73016",25,22
"13-14","DURH","73016",30,28
"12-13","DURH","73016",27,25
"14-15","DURH","73016",21,19
"15-16","DURH","79406",14,13
"13-14","DURH","79406",11,11
"16-17","FANS","40208",73,30
"13-14","FANS","40208",97,56
"15-16","FANS","40208",87,44
"12-13","FANS","40208",100,58
"14-15","FANS","40208",96,50
"15-16","FANS","40231",38,20
"13-14","FANS","40231",27,13
"14-15","FANS","40231",30,17
"16-17","FANS","40231",38,21
"12-13","FANS","40508",17,15
"12-13","FANS","41007",15,13
"13-14","FANS","41007",13,12
"14-15","FANS","41007",15,12
"16-17","FANS","41469",189,149
"12-13","FANS","41469",207,164
"13-14","FANS","41469",132,118
"15-16","FANS","41469",155,130
"14-15","FANS","41469",162,139
"12-13","FANS","41629",53,52
"15-16","FANS","41629",44,39
"13-14","FANS","41629",52,48
"14-15","FANS","41629",49,46
"16-17","FANS","41629",48,45
"16-17","FANS","41636",54,47
"13-14","FANS","41636",56,51
"15-16","FANS","41636",69,61
"12-13","FANS","41636",61,56
"14-15","FANS","41636",63,57
"15-16","FANS","42313",30,18
"12-13","FANS","42313",36,28
"13-14","FANS","42313",41,33
"14-15","FANS","42313",42,31
"16-17","FANS","42313",32,22
"16-17","FANS","43107",91,62
"13-14","FANS","43107",88,67
"15-16","FANS","43107",108,79
"12-13","FANS","43107",115,75
"14-15","FANS","43107",112,80
"15-16","FANS","44900",61,54
"13-14","FANS","44900",31,24
"12-13","FANS","44900",54,37
"14-15","FANS","44900",39,27
"16-17","FANS","44900",94,74
"16-17","FANS","45613",123,80
"15-16","FANS","45613",142,90
"12-13","FANS","45613",138,72
"13-14","FANS","45613",146,94
"14-15","FANS","45613",122,95
"15-16","FANS","48200",110,74
"12-13","FANS","48200",80,61
"13-14","FANS","48200",95,58
"14-15","FANS","48200",94,59
"16-17","FANS","48200",73,49
"16-17","FANS","50100",188,115
"15-16","FANS","50100",215,131
"12-13","FANS","50100",136,83
"13-14","FANS","50100",342,214
"14-15","FANS","50100",254,160
"15-16","FANS","50200",251,140
"13-14","FANS","50200",233,124
"12-13","FANS","50200",228,123
"14-15","FANS","50200",225,131
"16-17","FANS","50200",197,107
"16-17","FANS","50201",52,27
"13-14","FANS","50201",70,41
"15-16","FANS","50201",61,34
"12-13","FANS","50201",44,26
"14-15","FANS","50201",58,42
"12-13","FANS","50223",103,78
"13-14","FANS","50223",114,86
"14-15","FANS","50223",73,57
"16-17","FANS","50223",81,56
"16-17","FANS","50265",108,94
"15-16","FANS","50265",105,97
"12-13","FANS","50265",100,86
"13-14","FANS","50265",101,90
"14-15","FANS","50265",113,95
"16-17","FANS","50303",40,21
"12-13","FANS","50303",48,26
"13-14","FANS","50303",50,25
"15-16","FANS","50303",40,28
"14-15","FANS","50303",43,24
"15-16","FANS","50500",11,10
"12-13","FANS","50500",25,19
"13-14","FANS","50500",31,22
"14-15","FANS","50500",19,15
"15-16","FANS","50505",61,40
"12-13","FANS","50505",46,31
"13-14","FANS","50505",47,30
"14-15","FANS","50505",56,37
"16-17","FANS","50505",53,32
"16-17","FANS","50513",18,10
"12-13","FANS","50721",37,31
"13-14","FANS","50721",47,43
"15-16","FANS","50721",141,100
"12-13","FANS","50721",96,70
"13-14","FANS","50721",106,78
"14-15","FANS","50721",128,93
"14-15","FANS","50721",46,41
"16-17","FANS","50721",138,103
"13-14","FANS","51007",40,23
"12-13","FANS","51007",32,22
"15-16","FANS","51007",18,17
"12-13","FANS","51007",30,22
"13-14","FANS","51007",20,14
"14-15","FANS","51007",12,10
"16-17","FANS","51007",16,10
"13-14","FANS","51007",17,15
"15-16","FANS","51007",20,18
"12-13","FANS","51007",24,24
"14-15","FANS","51007",14,10
"15-16","FANS","51021",25,19
"14-15","FANS","51021",21,16
"16-17","FANS","51021",17,11
"16-17","FANS","51211",307,246
"15-16","FANS","51211",223,177
"12-13","FANS","51211",168,132
"13-14","FANS","51211",169,128
"14-15","FANS","51211",150,112
"14-15","FANS","51211",57,52
"13-14","FANS","51213",104,52
"12-13","FANS","51213",128,69
"14-15","FANS","51213",114,41
"12-13","FANS","51213",18,15
"14-15","FANS","51213",13,10
"15-16","FANS","51407",124,97
"12-13","FANS","51407",78,68
"13-14","FANS","51407",144,128
"14-15","FANS","51407",119,107
"16-17","FANS","51407",136,126
"16-17","FANS","51623",30,25
"15-16","FANS","51623",26,22
"12-13","FANS","51623",36,31
"13-14","FANS","51623",44,40
"14-15","FANS","51623",32,26
"12-13","FANS","51628",32,31
"13-14","FANS","51628",32,30
"14-15","FANS","51628",32,31
"15-16","FANS","51637",47,39
"12-13","FANS","51637",35,29
"13-14","FANS","51637",36,32
"14-15","FANS","51637",40,38
"16-17","FANS","51637",39,31
"16-17","FANS","51641",159,123
"12-13","FANS","51641",169,136
"15-16","FANS","51641",205,154
"13-14","FANS","51641",147,108
"13-14","FANS","51641",15,15
"14-15","FANS","51641",111,82
"14-15","FANS","51641",14,14
"14-15","FANS","51641",25,24
"15-16","FANS","51831",101,43
"12-13","FANS","51831",88,35
"13-14","FANS","51831",100,45
"14-15","FANS","51831",120,60
"16-17","FANS","51831",130,45
"16-17","FANS","51838",43,23
"15-16","FANS","51838",46,32
"12-13","FANS","51838",41,28
"13-14","FANS","51838",41,26
"14-15","FANS","51838",38,22
"12-13","FANS","51903",34,24
"15-16","FANS","51903",38,25
"13-14","FANS","51903",46,30
"14-15","FANS","51903",41,29
"16-17","FANS","51903",42,25
"15-16","FANS","51904",57,42
"14-15","FANS","51904",63,52
"12-13","FANS","51904",54,38
"13-14","FANS","51904",61,47
"16-17","FANS","51904",76,67
"16-17","FANS","51904",13,12
"15-16","FANS","51904",12,11
"13-14","FANS","51904",24,23
"14-15","FANS","51904",14,10
"15-16","FANS","51911",32,22
"12-13","FANS","51911",38,22
"13-14","FANS","51911",36,26
"14-15","FANS","51911",30,25
"16-17","FANS","51995",32,20
"14-15","FANS","51995",30,21
"15-16","FANS","51995",23,14
"13-14","FANS","51995",34,15
"15-16","FANS","51995",11,10
"13-14","FANS","51995",13,10
"16-17","FANS","52203",84,50
"15-16","FANS","52203",85,59
"12-13","FANS","52203",73,51
"13-14","FANS","52203",84,62
"14-15","FANS","52203",73,53
"15-16","FANS","52209",74,53
"12-13","FANS","52209",51,31
"13-14","FANS","52209",89,72
"14-15","FANS","52209",66,50
"16-17","FANS","52209",70,47
"16-17","FANS","52220",17,13
"12-13","FANS","52220",30,21
"13-14","FANS","52220",19,13
"15-16","FANS","52308",93,72
"12-13","FANS","52308",76,56
"13-14","FANS","52308",104,83
"14-15","FANS","52308",99,77
"16-17","FANS","52308",89,67
"16-17","FANS","52316",40,33
"15-16","FANS","52316",41,30
"12-13","FANS","52316",22,13
"13-14","FANS","52316",40,28
"14-15","FANS","52316",37,33
"15-16","FANS","52611",106,66
"12-13","FANS","52611",96,56
"13-14","FANS","52611",123,85
"14-15","FANS","52611",110,82
"16-17","FANS","52611",86,52
"16-17","FANS","52803",59,45
"15-16","FANS","52803",50,38
"12-13","FANS","52803",56,36
"13-14","FANS","52803",77,59
"14-15","FANS","52803",60,41
"12-13","FANS","52900",222,137
"15-16","FANS","52900",246,144
"13-14","FANS","52900",307,208
"14-15","FANS","52900",220,130
"16-17","FANS","52900",199,109
"16-17","FANS","52909",57,37
"15-16","FANS","52909",96,73
"12-13","FANS","52909",91,72
"13-14","FANS","52909",87,61
"14-15","FANS","52909",110,80
"15-16","FANS","52925",32,26
"12-13","FANS","52925",31,24
"13-14","FANS","52925",51,38
"14-15","FANS","52925",29,18
"16-17","FANS","52925",44,30
"16-17","FANS","53007",59,50
"15-16","FANS","53007",69,61
"13-14","FANS","53007",34,22
"12-13","FANS","53007",46,39
"14-15","FANS","53007",53,42
"12-13","FANS","53008",248,133
"14-15","FANS","53008",30,22
"15-16","FANS","53008",294,182
"13-14","FANS","53008",256,134
"14-15","FANS","53008",315,190
"16-17","FANS","53008",316,190
"16-17","FANS","53107",65,44
"15-16","FANS","53107",64,47
"12-13","FANS","53107",17,10
"12-13","FANS","53107",57,37
"13-14","FANS","53107",71,39
"13-14","FANS","53107",44,21
"14-15","FANS","53107",31,19
"14-15","FANS","53107",22,14
"15-16","FANS","53200",71,44
"12-13","FANS","53200",93,47
"14-15","FANS","53200",79,53
"13-14","FANS","53200",97,69
"16-17","FANS","53200",39,33
"16-17","FANS","53201",23,19
"15-16","FANS","53201",25,12
"12-13","FANS","53201",30,24
"13-14","FANS","53201",45,24
"14-15","FANS","53201",33,20
"15-16","FANS","53204",28,24
"13-14","FANS","53204",31,25
"14-15","FANS","53204",25,11
"15-16","FANS","53205",58,40
"13-14","FANS","53205",79,46
"12-13","FANS","53205",89,58
"14-15","FANS","53205",86,59
"15-16","FANS","53400",21,19
"12-13","FANS","53400",32,28
"13-14","FANS","53400",33,30
"14-15","FANS","53400",32,26
"16-17","FANS","53400",23,17
"16-17","FANS","53905",43,29
"15-16","FANS","53905",36,25
"12-13","FANS","53905",33,21
"13-14","FANS","53905",34,25
"14-15","FANS","53905",32,17
"15-16","FANS","54701",84,56
"12-13","FANS","54701",85,58
"13-14","FANS","54701",86,54
"14-15","FANS","54701",78,49
"16-17","FANS","54701",81,64
"12-13","FANS","55203",34,25
"13-14","FANS","55203",17,10
"15-16","FANS","55203",20,13
"13-14","FANS","55203",29,22
"12-13","FANS","55203",80,69
"14-15","FANS","55203",25,22
"16-17","FANS","55203",17,12
"16-17","FANS","55211",24,16
"15-16","FANS","55211",18,10
"12-13","FANS","55300",21,14
"13-14","FANS","55300",22,16
"12-13","FANS","55300",26,16
"14-15","FANS","55300",17,10
"15-16","FANS","55500",19,16
