"Year","College","MTCUCode","Entrants","Graduates"
"12-13","ALGO","51838",44,29
"16-17","ALGO","51900",24,15
"16-17","ALGO","51903",48,33
"14-15","ALGO","51903",42,26
"15-16","ALGO","51903",47,36
"13-14","ALGO","51903",44,31
"12-13","ALGO","51903",48,34
"12-13","ALGO","51904",63,48
"15-16","ALGO","51904",67,48
"13-14","ALGO","51904",62,47
"14-15","ALGO","51904",61,43
"16-17","ALGO","51904",71,56
"16-17","ALGO","51911",23,14
"13-14","ALGO","51911",32,21
"12-13","ALGO","51911",36,25
"14-15","ALGO","51911",32,19
"15-16","ALGO","51911",25,12
"14-15","ALGO","52001",39,20
"15-16","ALGO","52001",41,27
"12-13","ALGO","52001",35,24
"13-14","ALGO","52001",34,19
"16-17","ALGO","52001",51,36
"16-17","ALGO","52005",52,34
"15-16","ALGO","52005",52,39
"14-15","ALGO","52005",53,38
"12-13","ALGO","52005",54,34
"13-14","ALGO","52005",46,32
"15-16","ALGO","52201",59,30
"12-13","ALGO","52201",61,38
"13-14","ALGO","52201",51,30
"14-15","ALGO","52201",64,32
"16-17","ALGO","52201",66,26
"16-17","ALGO","52201",31,14
"12-13","ALGO","52201",29,17
"15-16","ALGO","52201",29,10
"13-14","ALGO","52201",33,15
"12-13","ALGO","52203",57,40
"15-16","ALGO","52203",65,42
"14-15","ALGO","52203",58,35
"13-14","ALGO","52203",61,39
"16-17","ALGO","52203",59,45
"16-17","ALGO","52209",133,71
"13-14","ALGO","52209",59,40
"14-15","ALGO","52209",56,33
"15-16","ALGO","52209",74,50
"12-13","ALGO","52209",48,27
"12-13","ALGO","52219",29,18
"14-15","ALGO","52219",30,19
"13-14","ALGO","52219",30,15
"15-16","ALGO","52306",32,27
"12-13","ALGO","52306",32,29
"13-14","ALGO","52306",29,20
"14-15","ALGO","52306",23,22
"16-17","ALGO","52306",33,28
"16-17","ALGO","52308",23,17
"15-16","ALGO","52308",21,15
"15-16","ALGO","52316",99,84
"13-14","ALGO","52316",62,51
"12-13","ALGO","52316",76,63
"14-15","ALGO","52316",106,83
"16-17","ALGO","52316",102,80
"16-17","ALGO","52611",149,85
"12-13","ALGO","52611",156,99
"14-15","ALGO","52611",153,93
"15-16","ALGO","52611",174,112
"13-14","ALGO","52611",162,99
"15-16","ALGO","52613",61,48
"14-15","ALGO","52613",58,43
"12-13","ALGO","52613",58,45
"13-14","ALGO","52613",64,46
"16-17","ALGO","52613",69,51
"16-17","ALGO","52700",30,22
"15-16","ALGO","52700",28,21
"13-14","ALGO","52705",38,32
"15-16","ALGO","52705",38,28
"12-13","ALGO","52705",44,30
"14-15","ALGO","52705",33,27
"16-17","ALGO","52705",31,24
"16-17","ALGO","52900",178,93
"14-15","ALGO","52900",198,112
"12-13","ALGO","52900",209,116
"15-16","ALGO","52900",186,102
"13-14","ALGO","52900",207,117
"14-15","ALGO","53001",39,26
"13-14","ALGO","53001",36,21
"12-13","ALGO","53001",25,18
"14-15","ALGO","53008",440,285
"12-13","ALGO","53008",456,299
"13-14","ALGO","53008",453,275
"15-16","ALGO","53008",480,281
"16-17","ALGO","53008",453,280
"16-17","ALGO","53107",138,64
"12-13","ALGO","53107",136,66
"14-15","ALGO","53107",123,58
"15-16","ALGO","53107",132,70
"13-14","ALGO","53107",148,65
"12-13","ALGO","53200",138,64
"15-16","ALGO","53200",98,59
"14-15","ALGO","53200",117,60
"13-14","ALGO","53200",117,61
"16-17","ALGO","53200",99,63
"16-17","ALGO","53205",94,61
"15-16","ALGO","53205",105,67
"12-13","ALGO","53205",144,80
"14-15","ALGO","53205",103,54
"13-14","ALGO","53205",138,70
"15-16","ALGO","53400",66,40
"13-14","ALGO","53400",67,28
"14-15","ALGO","53400",48,23
"12-13","ALGO","53400",68,38
"16-17","ALGO","53400",64,42
"16-17","ALGO","53401",66,43
"12-13","ALGO","53401",47,28
"14-15","ALGO","53401",48,37
"13-14","ALGO","53401",53,36
"15-16","ALGO","53401",71,50
"13-14","ALGO","53905",56,26
"14-15","ALGO","53905",52,27
"15-16","ALGO","53905",51,31
"12-13","ALGO","53905",52,15
"16-17","ALGO","53907",57,26
"16-17","ALGO","54203",42,33
"15-16","ALGO","54203",40,35
"13-14","ALGO","54203",39,32
"14-15","ALGO","54203",39,32
"12-13","ALGO","54203",36,29
"15-16","ALGO","54701",155,87
"14-15","ALGO","54701",143,85
"13-14","ALGO","54701",180,105
"12-13","ALGO","54701",170,94
"16-17","ALGO","54701",152,93
"12-13","ALGO","55300",42,20
"13-14","ALGO","55300",26,11
"14-15","ALGO","55500",177,102
"12-13","ALGO","55500",174,114
"15-16","ALGO","55500",170,119
"13-14","ALGO","55500",172,110
"16-17","ALGO","55500",201,132
"16-17","ALGO","55610",45,38
"15-16","ALGO","55610",26,16
"13-14","ALGO","55613",157,87
"14-15","ALGO","55613",174,100
"12-13","ALGO","55613",135,66
"15-16","ALGO","55613",152,78
"16-17","ALGO","55613",157,84
"14-15","ALGO","55700",26,15
"12-13","ALGO","55700",17,11
"15-16","ALGO","55700",22,13
"13-14","ALGO","55700",35,18
"15-16","ALGO","55803",62,43
"12-13","ALGO","55803",51,29
"13-14","ALGO","55803",56,28
"14-15","ALGO","55803",61,36
"16-17","ALGO","55803",63,37
"16-17","ALGO","56405",62,35
"12-13","ALGO","56405",56,37
"13-14","ALGO","56405",53,23
"15-16","ALGO","56405",56,17
"14-15","ALGO","56405",55,23
"13-14","ALGO","57600",24,18
"14-15","ALGO","57600",40,28
"12-13","ALGO","57600",31,27
"15-16","ALGO","57600",15,10
"16-17","ALGO","57600",37,21
"16-17","ALGO","57600",29,18
"13-14","ALGO","57600",36,24
"14-15","ALGO","57600",34,27
"12-13","ALGO","57600",42,28
"15-16","ALGO","57600",30,22
"15-16","ALGO","57700",22,16
"14-15","ALGO","57700",16,11
"13-14","ALGO","57700",32,26
"12-13","ALGO","57700",32,24
"16-17","ALGO","58100",58,40
"15-16","ALGO","58100",55,30
"14-15","ALGO","58100",55,31
"13-14","ALGO","58100",54,29
"12-13","ALGO","58100",55,32
"13-14","ALGO","58200",95,60
"12-13","ALGO","58200",87,50
"15-16","ALGO","58200",129,83
"14-15","ALGO","58200",134,80
"16-17","ALGO","58200",191,129
"12-13","ALGO","59005",47,25
"14-15","ALGO","59005",28,17
"13-14","ALGO","59005",32,21
"15-16","ALGO","59403",41,24
"14-15","ALGO","59403",74,38
"13-14","ALGO","59403",55,30
"12-13","ALGO","59403",65,45
"16-17","ALGO","59403",81,41
"16-17","ALGO","60100",173,95
"13-14","ALGO","60100",109,53
"14-15","ALGO","60100",134,66
"15-16","ALGO","60100",152,81
"12-13","ALGO","60100",106,49
"15-16","ALGO","60200",67,32
"13-14","ALGO","60200",65,28
"12-13","ALGO","60200",56,25
"14-15","ALGO","60200",46,15
"16-17","ALGO","60200",76,30
"16-17","ALGO","60201",34,15
"13-14","ALGO","60201",65,35
"15-16","ALGO","60201",36,21
"12-13","ALGO","60201",121,35
"14-15","ALGO","60201",51,25
"13-14","ALGO","60202",102,49
"15-16","ALGO","60202",55,28
"14-15","ALGO","60202",69,33
"12-13","ALGO","60202",42,19
"16-17","ALGO","60202",44,25
"16-17","ALGO","60223",107,66
"13-14","ALGO","60223",104,54
"12-13","ALGO","60223",86,40
"15-16","ALGO","60223",85,50
"14-15","ALGO","60223",86,53
"15-16","ALGO","60505",19,17
"14-15","ALGO","60505",20,17
"16-17","ALGO","60505",24,21
"16-17","ALGO","60509",65,32
"12-13","ALGO","60509",37,20
"13-14","ALGO","60509",46,25
"15-16","ALGO","60509",76,35
"14-15","ALGO","60509",62,29
"15-16","ALGO","60600",67,63
"14-15","ALGO","60600",48,47
"12-13","ALGO","60600",41,40
"13-14","ALGO","60600",41,36
"16-17","ALGO","60600",76,75
"16-17","ALGO","60701",79,40
"12-13","ALGO","60701",71,45
"14-15","ALGO","60701",76,51
"13-14","ALGO","60701",68,43
"15-16","ALGO","60701",88,59
"15-16","ALGO","60807",48,32
"12-13","ALGO","60807",61,37
"14-15","ALGO","60807",42,29
"13-14","ALGO","60807",59,39
"16-17","ALGO","60807",52,32
"16-17","ALGO","61003",84,72
"15-16","ALGO","61003",50,46
"14-15","ALGO","61003",47,38
"12-13","ALGO","61003",47,40
"13-14","ALGO","61003",60,51
"14-15","ALGO","61007",48,23
"13-14","ALGO","61007",51,34
"15-16","ALGO","61007",44,17
"12-13","ALGO","61007",45,27
"16-17","ALGO","61007",33,23
"14-15","ALGO","61020",12,10
"13-14","ALGO","61020",21,10
"15-16","ALGO","61304",53,27
"14-15","ALGO","61304",55,30
"13-14","ALGO","61304",41,19
"16-17","ALGO","61304",48,26
"16-17","ALGO","61605",23,21
"16-17","ALGO","61615",32,20
"12-13","ALGO","61615",30,23
"13-14","ALGO","61615",31,20
"14-15","ALGO","61615",22,14
"15-16","ALGO","61615",29,19
"15-16","ALGO","61618",60,41
"14-15","ALGO","61618",56,34
"12-13","ALGO","61618",45,29
"13-14","ALGO","61618",42,31
"16-17","ALGO","61618",62,46
"16-17","ALGO","61820",81,58
"15-16","ALGO","61820",85,65
"12-13","ALGO","61820",49,40
"13-14","ALGO","61820",55,41
"14-15","ALGO","61820",62,46
"15-16","ALGO","61900",80,43
"13-14","ALGO","61900",61,33
"14-15","ALGO","61900",70,45
"12-13","ALGO","61900",64,38
"16-17","ALGO","61900",91,54
"16-17","ALGO","61901",49,32
"15-16","ALGO","61901",39,23
"12-13","ALGO","61901",44,19
"13-14","ALGO","61901",47,23
"14-15","ALGO","61901",61,32
"12-13","ALGO","62100",48,38
"14-15","ALGO","62100",54,42
"13-14","ALGO","62100",51,36
"15-16","ALGO","62100",55,43
"16-17","ALGO","62100",58,40
"16-17","ALGO","62900",60,33
"14-15","ALGO","62900",49,24
"15-16","ALGO","62900",67,35
"13-14","ALGO","62900",55,27
"12-13","ALGO","62900",76,27
"12-13","ALGO","65203",27,13
"12-13","ALGO","65613",24,19
"13-14","ALGO","65613",41,36
"15-16","ALGO","65613",58,49
"14-15","ALGO","65613",46,42
"16-17","ALGO","65613",72,68
"15-16","ALGO","68900",45,26
"13-14","ALGO","68900",65,32
"14-15","ALGO","68900",89,50
"12-13","ALGO","68900",125,61
"16-17","ALGO","68900",68,41
"15-16","ALGO","70202",11,10
"14-15","ALGO","70202",21,21
"16-17","ALGO","70202",14,13
"16-17","ALGO","70207",33,31
"15-16","ALGO","70223",73,68
"14-15","ALGO","70223",26,22
"16-17","ALGO","70223",116,92
"16-17","ALGO","70248",13,11
"16-17","ALGO","70301",28,15
"15-16","ALGO","70301",29,19
"12-13","ALGO","70301",25,22
"13-14","ALGO","70301",22,21
"16-17","ALGO","70711",70,39
"14-15","ALGO","70711",22,14
"15-16","ALGO","70711",40,33
"15-16","ALGO","70717",18,16
"14-15","ALGO","70717",19,17
"12-13","ALGO","70717",17,14
"16-17","ALGO","70717",13,13
"16-17","ALGO","70739",31,29
"13-14","ALGO","70739",18,15
"12-13","ALGO","70739",29,23
"15-16","ALGO","70739",37,36
"14-15","ALGO","70739",31,30
"15-16","ALGO","71206",20,19
"13-14","ALGO","71206",33,28
"12-13","ALGO","71206",28,26
"14-15","ALGO","71206",30,28
"16-17","ALGO","71206",27,20
"16-17","ALGO","71397",11,11
"15-16","ALGO","71397",10,10
"16-17","ALGO","71637",19,19
"14-15","ALGO","71637",15,15
"15-16","ALGO","71637",19,18
"13-14","ALGO","71637",13,11
"12-13","ALGO","71637",17,16
"13-14","ALGO","71820",17,13
"13-14","ALGO","71829",16,13
"14-15","ALGO","71833",20,17
"15-16","ALGO","71833",20,19
"16-17","ALGO","71833",12,11
"16-17","ALGO","72001",26,23
"15-16","ALGO","72001",28,25
"13-14","ALGO","72001",25,22
"12-13","ALGO","72001",23,16
"14-15","ALGO","72001",23,18
"12-13","ALGO","72005",15,15
"15-16","ALGO","72007",43,24
"12-13","ALGO","72007",23,22
"13-14","ALGO","72007",54,51
"16-17","ALGO","72007",43,16
"16-17","ALGO","72205",84,79
"14-15","ALGO","72205",97,91
"15-16","ALGO","72205",108,99
"12-13","ALGO","72205",108,98
"13-14","ALGO","72205",104,98
"15-16","ALGO","72231",22,18
"14-15","ALGO","72231",34,32
"13-14","ALGO","72231",32,28
"12-13","ALGO","72231",34,31
"16-17","ALGO","72231",41,37
"16-17","ALGO","72710",21,20
"15-16","ALGO","72710",15,15
"16-17","ALGO","72801",18,15
"16-17","ALGO","72900",12,12
"15-16","ALGO","73204",20,13
"12-13","ALGO","73204",17,13
"12-13","ALGO","73402",10,10
"14-15","ALGO","78205",12,11
"13-14","ALGO","78222",17,10
"13-14","ALGO","79403",30,25
"12-13","ALGO","79403",16,14
"14-15","ALGO","79403",30,27
"15-16","ALGO","79403",47,41
"16-17","ALGO","79403",28,25
"14-15","ALGO","81833",28,21
"12-13","ALGO","81833",40,34
"13-14","ALGO","81833",27,18
"15-16","ALGO","81833",36,30
"16-17","ALGO","81833",35,29
"16-17","ALGO","88902",37,22
"14-15","ALGO","88902",27,20
"13-14","ALGO","88902",30,23
"12-13","ALGO","88902",33,22
"15-16","ALGO","88902",35,23
"16-17","BORE","40510",16,11
"16-17","BORE","41007",18,18
"14-15","BORE","41007",18,14
"15-16","BORE","41007",20,15
"15-16","BORE","41469",35,28
"14-15","BORE","41469",29,26
"13-14","BORE","41469",44,39
"12-13","BORE","41469",30,26
"16-17","BORE","41469",31,26
"13-14","BORE","41629",18,12
"12-13","BORE","41629",13,11
"13-14","BORE","41911",12,10
"12-13","BORE","42313",26,23
"14-15","BORE","42313",27,22
"13-14","BORE","42313",19,17
"15-16","BORE","42313",31,21
"16-17","BORE","42313",26,21
"14-15","BORE","43107",17,12
"16-17","BORE","45613",42,38
"12-13","BORE","45613",53,43
"15-16","BORE","45613",49,42
"13-14","BORE","45613",47,39
"14-15","BORE","45613",45,37
"15-16","BORE","46705",24,18
"16-17","BORE","46705",21,16
"13-14","BORE","50200",29,22
"14-15","BORE","50200",23,10
"15-16","BORE","50200",25,17
"12-13","BORE","50200",14,10
"16-17","BORE","50200",26,21
"15-16","BORE","50509",15,12
"15-16","BORE","50721",46,35
"13-14","BORE","50721",40,32
"14-15","BORE","50721",59,49
"12-13","BORE","50721",38,30
"16-17","BORE","50721",74,56
"16-17","BORE","51007",13,12
"12-13","BORE","51007",24,16
"13-14","BORE","51007",30,21
"13-14","BORE","51211",58,45
"12-13","BORE","51211",41,33
"14-15","BORE","51211",51,41
"15-16","BORE","51211",80,62
"16-17","BORE","51211",62,53
"13-14","BORE","51407",73,59
"14-15","BORE","51407",95,70
"15-16","BORE","51407",60,36
"12-13","BORE","51407",66,50
"16-17","BORE","51407",97,63
"12-13","BORE","51502",10,10
"15-16","BORE","51603",47,39
"14-15","BORE","51603",31,20
"13-14","BORE","51603",27,23
"14-15","BORE","51603",20,15
"12-13","BORE","51603",25,22
"12-13","BORE","51603",12,10
"16-17","BORE","51603",56,37
"16-17","BORE","51623",11,10
"12-13","BORE","51623",11,11
"14-15","BORE","51628",16,15
"12-13","BORE","51628",16,15
"15-16","BORE","52209",14,10
"16-17","BORE","52316",16,14
"12-13","BORE","52316",21,20
"13-14","BORE","52316",19,18
"14-15","BORE","52316",17,14
"15-16","BORE","52611",23,21
"12-13","BORE","52611",11,10
"16-17","BORE","52611",17,12
"14-15","BORE","52709",25,20
"12-13","BORE","52709",18,15
"13-14","BORE","52709",17,12
"15-16","BORE","53008",24,21
"16-17","BORE","53008",29,17
"13-14","BORE","53303",11,11
"14-15","BORE","53303",10,10
"12-13","BORE","53303",11,10
"16-17","BORE","53400",13,12
"16-17","BORE","55613",33,31
"12-13","BORE","55613",36,34
"13-14","BORE","55613",35,32
"14-15","BORE","55613",46,36
"15-16","BORE","55613",41,38
"16-17","BORE","56705",16,10
"13-14","BORE","56705",29,18
"12-13","BORE","56705",26,18
"15-16","BORE","56705",14,10
"14-15","BORE","56705",20,11
"14-15","BORE","58200",17,12
"12-13","BORE","58200",41,32
"13-14","BORE","58200",17,11
"16-17","BORE","60701",13,11
"14-15","BORE","60701",17,15
"13-14","BORE","60701",22,16
"12-13","BORE","60701",19,15
"15-16","BORE","60701",15,10
"12-13","BORE","61301",10,10
"16-17","BORE","61605",23,22
"14-15","BORE","61605",22,20
"13-14","BORE","61605",22,21
"12-13","BORE","61605",24,24
"15-16","BORE","61605",24,21
"13-14","BORE","61618",15,12
"13-14","BORE","61901",10,10
"16-17","BORE","62709",12,11
"13-14","BORE","65613",12,12
"14-15","BORE","65613",17,12
"15-16","BORE","65613",17,14
"16-17","BORE","65613",21,15
"16-17","BORE","68200",11,10
"14-15","BORE","68200",20,19
"13-14","BORE","68200",16,14
"16-17","BORE","71609",11,11
"16-17","CAMB","40208",110,49
